size_ratio,normalised_l1_separation,overlap_fraction,small_large_spatial_correlation,small_centre_x,small_centre_z,large_centre_x,large_centre_z,centre_of_mass_separation
1.0,0.04532776771315915,0.9546722322868407,0.9886380324545606,-12.215514987018684,-10.047915243334591,-12.257527837923755,-10.235517883653863,0.19224939608730535
1.005,0.04986591117737025,0.9501340888226296,0.986070660632149,-12.214238361164222,-10.038598312412619,-12.266365306319509,-10.235801825559454,0.20397657710795206
1.01,0.054556772350443414,0.9454432276495566,0.9831418076250059,-12.21292377306364,-10.028988475753208,-12.27532042270562,-10.236279555453008,0.21647848301771938
1.015,0.05939036336697253,0.9406096366330275,0.9798320933972564,-12.211571825141641,-10.019096371164135,-12.284370973645325,-10.236971722015245,0.22971587783902836
1.02,0.06435598013213362,0.9356440198678663,0.9761239799085268,-12.210183301001075,-10.008934871823833,-12.29349323315235,-10.237898713039499,0.2436493081855208
1.025,0.06944485888706534,0.9305551411129349,0.9719960330956291,-12.208759163805693,-9.998519083401186,-12.302662229522713,-10.239080274404722,0.2582391766717336
1.03,0.07465162305552804,0.9253483769444718,0.9674327190037284,-12.207300551391317,-9.987866302930971,-12.311852045507152,-10.240535123151284,0.2734456941211149
1.035,0.07996943313866858,0.9200305668613317,0.9624458588226938,-12.205808767946392,-9.9769959372377,-12.321036143206706,-10.242280569620345,0.28922877482673903
1.04,0.08538699067435113,0.9146130093256487,0.9570076479196907,-12.20428527219875,-9.965929379834366,-12.330187703997131,-10.24433216390441,0.30554792179083445
1.045,0.09089489885372422,0.9091051011462756,0.951090564672825,-12.202731662153353,-9.954689846516247,-12.339279973289582,-10.24670338111857,0.32236213435373906
1.05,0.09648671397744736,0.9035132860225525,0.9447199574456184,-12.201149656542517,-9.943302171269636,-12.348286600058106,-10.249405358236174,0.33962985913812294
1.055,0.1021517643490953,0.8978482356509047,0.9379413022750112,-12.199541073269282,-9.931792565554366,-12.357181961794968,-10.252446692535116,0.3573089963672269
1.06,0.10787819435065339,0.8921218056493466,0.9307470541420723,-12.197907805240954,-9.920188345420705,-12.365941466824912,-10.255833308258762,0.37535696677146246
1.065,0.11365604666167396,0.8863439533383262,0.9231389243719346,-12.196251794096844,-9.90851763220658,-12.374541827599193,-10.25956839417265,0.39373083892835614
1.07,0.11947396583065456,0.8805260341693453,0.9151345562879545,-12.194575002425896,-9.89680903365221,-12.382961300546862,-10.263652410608874,0.41238751258578465
1.075,0.12531967409823094,0.874680325901769,0.9067751734543995,-12.192879385140538,-9.885091313098524,-12.39117989010845,-10.268083160668462,0.4312839500556031
1.08,0.1311824300054695,0.8688175699945305,0.8980466712232839,-12.191166860719052,-9.873393054949695,-12.39917951653859,-10.272855916821625,0.4503774450347286
1.085,0.13705156182680836,0.8629484381731917,0.8889943192437534,-12.189439283046696,-9.86174233474618,-12.40694414877474,-10.27796359148611,0.4696259162115527
1.09,0.1429165221846944,0.8570834778153056,0.8796471743109336,-12.187698414575136,-9.850166402002175,-12.414459904992308,-10.283396938490888,0.48898821180322444
1.095,0.14876774381395902,0.8512322561860409,0.8700358696174357,-12.185945901481015,-9.838691383424559,-12.421715124303747,-10.289144771775662,0.508424410809931
1.1,0.1545970378153046,0.8454029621846956,0.8601920324451215,-12.184183251440427,-9.82734201328546,-12.428700413358968,-10.295194188274875,0.5278961073118693
1.105,0.16039591619770596,0.8396040838022941,0.8501789934235296,-12.182411814550802,-9.816141396622648,-12.435408671363996,-10.301530783627665,0.5473666655674813
1.11,0.16615668603880424,0.8338433139611957,0.8400012139322824,-12.180632767829762,-9.805110809660347,-12.44183509630373,-10.308138851991187,0.5668014359292152
1.115,0.1718726077726231,0.828127392227377,0.8296898988534809,-12.178847103608621,-9.794269540454614,-12.44797717403165,-10.315001564575702,0.5861679245328504
1.12,0.17753793951433974,0.8224620604856603,0.819312080544188,-12.177055622021335,-9.78363477135023,-12.453834650518774,-10.322101125257175,0.6054359131285708
1.125,0.18314753889023686,0.8168524611097632,0.8088629270911067,-12.175258927674003,-9.773221503463422,-12.459409486117003,-10.329418905394645,0.6245775290374382
1.13,0.1886974762910212,0.8113025237089787,0.7982873806519368,-12.173457430470318,-9.763042522140431,-12.46470578939367,-10.33693556339576,0.6435672687270833
1.135,0.19418470614752592,0.8058152938524743,0.7876836963049063,-12.171651350468752,-9.75310840123607,-12.469729727145648,-10.344631157250596,0.6623819815826477
1.1400000000000001,0.1996074182881451,0.8003925817118549,0.7771183036257058,-12.169840726559972,-9.743427543143792,-12.474489406794508,-10.352485259852733,0.6810008227978532
1.145,0.20496439462554647,0.7950356053744535,0.7665697500282318,-12.168025428680858,-9.734006250808484,-12.478994727644727,-10.36047708719999,0.6994051856736221
1.15,0.21025483669058068,0.7897451633094192,0.7560067364394267,-12.166205173223666,-9.72484882746917,-12.48325719852468,-10.368585648402629,0.7175786238266787
1.155,0.2154792785293705,0.7845207214706297,0.7453882647092616,-12.164379541256253,-9.715957699602539,-12.487289721096948,-10.376789923881477,0.7355067728377479
1.16,0.22063854769150412,0.7793614523084957,0.7349222096915368,-12.16254799913961,-9.707333558450266,-12.491106340481412,-10.38506907445569,0.7531772788131714
1.165,0.22573442231292734,0.7742655776870726,0.7245218009573157,-12.160709921111286,-9.698975515587902,-12.494721967538206,-10.393402679616269,0.7705797384429335
1.17,0.23076911936454456,0.7692308806354555,0.714194291390201,-12.158864613395155,-9.690881268199963,-12.498152079885267,-10.401770998704096,0.7877056517846746
