size_ratio,bulk_integrated_volume,small_integrated_volume,large_integrated_volume,bulk_minimum,small_minimum,large_minimum,bulk_maximum,small_maximum,large_maximum,bulk_fraction_below_minus_1e_5,small_fraction_below_minus_1e_5,large_fraction_below_minus_1e_5,pointwise_identity_error
1.0,565.5548144700658,282.77809510235227,282.7767193677133,-5.235728966754378e-06,-2.1596105199957382e-06,-1.120919381650639e-05,0.557514630466285,0.2933773871023485,0.2919923980033332,0.0,0.0,0.0002,0.0
1.005,565.5537218764423,282.7777037365332,282.776018139909,-5.008060649622548e-06,-1.9999755332612025e-06,-1.0654979590519158e-05,0.5575371638210962,0.29636376863511826,0.2935465049129258,0.0,0.0,0.0001,0.0
1.01,565.5526201408529,282.7773003451294,282.77531979572353,-4.8152545295664135e-06,-1.836108808657648e-06,-1.0060661197381537e-05,0.5575598228985977,0.2997591757172477,0.29514601535179275,0.0,0.0,0.0001,0.0
1.015,565.5515125377266,282.77688537871916,282.7746271590076,-4.617829806145401e-06,-1.668086307507214e-06,-9.425274300570754e-06,0.5575826918295866,0.3034632491333681,0.2967897160498595,0.0,0.0,0.0,0.0
1.02,565.5504025435273,282.77645938142416,282.7739431621032,-4.41552154605406e-06,-1.4960051406891106e-06,-8.747996344341858e-06,0.5576058613610994,0.30736166249771235,0.29847610442842903,0.0,0.0,0.0,0.0
1.025,565.5492937999544,282.7760229908242,282.77327080913034,-4.208034440954037e-06,-1.3199834238039103e-06,-8.259667471852708e-06,0.5576294278354756,0.31139081144211206,0.30020338855694484,0.0,0.0,0.0,0.0
1.03,565.5481900727931,282.7755769362748,282.77261313651826,-3.9950408599315964e-06,-1.1401597570333732e-06,-7.770769943057026e-06,0.557653492033176,0.31551050870749786,0.3019694921031609,0.0,0.0,0.0,0.0
1.035,565.5470952075956,282.7751220355386,282.77197317205713,-3.7761792893075984e-06,-9.566923105500259e-07,-7.238108440030732e-06,0.5576781579139893,0.3198069562926946,0.3037720645936486,0.0,0.0,0.0,0.0
1.04,565.5460130835137,282.7746591896816,282.77135389383204,-3.5510533226676793e-06,-7.697575072837255e-07,-6.659884013595431e-06,0.5577035312949675,0.3242204260792463,0.3056084971538541,0.0,0.0,0.0,0.0
1.045,565.5449475666305,282.77418937624464,282.7707581903858,-3.3192313885846538e-06,-5.795483072653332e-07,-6.034424011801747e-06,0.5577297185045533,0.32871740453965986,0.3074759437257759,0.0,0.0,0.0,0.0
1.05,565.543902464117,282.77371364075674,282.7701888233602,-3.0802474270087362e-06,-4.3355579282806206e-07,-5.477150107003164e-06,0.5577568250507576,0.33336784094063243,0.30937134757373685,0.0,0.0,0.0,0.0
1.055,565.5428814803906,282.77323308671623,282.76964839367446,-2.8336027461404286e-06,-3.85651174837905e-07,-4.907098256254274e-06,0.5577849543370409,0.33806732251760385,0.31129147269356583,0.0,0.0,0.0,0.0
1.06,565.5418881762656,282.77274886422697,282.76913931203865,-2.578769307685797e-06,-3.360897289381822e-07,-4.314388794998122e-06,0.557814206453115,0.3428048392926748,0.3132329395481439,0.0,0.0,0.0,0.0
1.065,565.5409259318171,282.77226215752734,282.7686637742898,-2.3151946970104134e-06,-2.847136850516381e-07,-3.699524356320428e-06,0.5578446770598268,0.3475690560469627,0.3151922643737259,0.0,0.0,0.0,0.0
1.07,565.5399979134005,282.7717741716968,282.76822374170376,-2.22624243246224e-06,-2.5682377951772495e-07,-3.063125608101239e-06,0.5578764563783918,0.35234844060143444,0.3171659011476242,0.0,0.0,0.0,0.0
1.075,565.5391070449684,282.77128611885934,282.7678209261091,-2.574300617768125e-06,-3.0111599838850116e-07,-3.0229864927697347e-06,0.5579096282853968,0.3571313969095575,0.31915028518852184,0.0,0.0,0.0,0.0
1.08,565.538255983566,282.77079920422557,282.76745677934053,-2.8827992597729766e-06,-3.4655937119377435e-07,-3.0900834457782677e-06,0.5579442695070954,0.3619063996741082,0.3211418772837361,0.0,0.0,0.0,0.0
1.085,565.5374470986603,282.7703146123184,282.76713248634195,-3.14946036519886e-06,-4.5078380373522946e-07,-3.3781168647380546e-06,0.5579804489004213,0.36666212713418544,0.32313720720839745,0.0,0.0,0.0,0.0
1.09,565.536682454812,282.7698334937232,282.76684896108867,-3.3722676968510255e-06,-5.515073541343114e-07,-3.6149815508335485e-06,0.5580182268045605,0.37144267630738004,0.32514256143228903,0.0,0.0,0.0,0.0
1.095,565.5359637971404,282.7693569526788,282.76660684446165,-3.549494776534955e-06,-7.256296087192023e-07,-3.7998120657647188e-06,0.5580576544463621,0.3761890632873506,0.32714765904716214,0.0,0.0,0.0,0.0
1.1,565.5352925390575,282.76888603578965,282.766406503268,-3.819079446059051e-06,-8.921404534112044e-07,-3.932126858380519e-06,0.5580987733855952,0.38088267362474215,0.32914700496082416,0.0,0.0,0.0,0.0
1.105,565.5346697518721,282.7684217220952,282.76624802977705,-4.064043786907802e-06,-1.049008749835237e-06,-4.011847266115163e-06,0.5581416149920193,0.3855139600588405,0.3311377897518951,0.0,0.0,0.0,0.0
1.11,565.5340961560756,282.7679649146771,282.7661312413985,-4.2381095435452035e-06,-1.1953993965268015e-06,-4.039317436255246e-06,0.5581861999550645,0.3900741252703922,0.3331174466313971,0.0,0.0,0.0,0.0
1.115,565.5335721143865,282.7675164339291,282.76605568045744,-4.34077153179308e-06,-1.3305400386385087e-06,-4.015324456779499e-06,0.5582325378378562,0.3945551877275322,0.3350836716453311,0.0,0.0,0.0,0.0
1.12,565.5330976269371,282.7670770125511,282.7660206143861,-4.372093906054304e-06,-1.4537253507881692e-06,-3.941117348681386e-06,0.5582806266993101,0.39895003044669747,0.3370344381491615,0.0,0.0,0.0,0.0
1.125,565.5326723292867,282.7666472922779,282.7660250370089,-4.332730989110407e-06,-1.5643200248334468e-06,-3.818422963419534e-06,0.5583304528196295,0.4032524325889544,0.3389680055401179,0.0,0.0,0.0,0.0
1.13,565.532295494206,282.76622782229487,282.7660676719112,-4.22394055996319e-06,-1.661760510050351e-06,-3.649456329135637e-06,0.5583819905741851,0.407457084330744,0.3408829224127943,0.0,0.0,0.0,0.0
1.135,565.531966038345,282.76581905924866,282.7661469790964,-4.0475869717938734e-06,-1.7455555890898927e-06,-3.4369226791267524e-06,0.5584352025067162,0.41160140706134396,0.34277802445934463,0.0,0.0,0.0,0.0
1.1400000000000001,565.5316825349479,282.7654213687257,282.7662611662221,-3.806131472437399e-06,-1.815285901853372e-06,-3.1840083502001517e-06,0.5584900396535353,0.41563903116989315,0.34465242756143055,0.0,0.0,0.0,0.0
1.145,565.5314432336559,282.7650350280382,282.7664082056176,-3.5026074067615742e-06,-1.870602550443352e-06,-2.8943580120994615e-06,0.5585464421647837,0.4195623939787943,0.3465055166132071,0.0,0.0,0.0,0.0
1.15,565.5312460881695,282.7646602301414,282.7665858580282,-3.1405786170666817e-06,-1.9112249315254344e-06,-2.572036305365339e-06,0.5586043402562515,0.42336956445020923,0.348336930671899,0.0,0.0,0.0,0.0
1.155,565.5310887920886,282.76429708849264,282.7667917035959,-2.7240803054663407e-06,-1.9369379481368865e-06,-2.2214729045576405e-06,0.5586636555062291,0.42705941609925013,0.35014654505633763,0.0,0.0,0.0,0.0
1.16,565.5309688226786,282.7639456426613,282.76702318001713,-2.257542815303213e-06,-1.9475887519221336e-06,-1.9136921440188163e-06,0.5587243024876395,0.430631569130532,0.35193445100801435,0.0,0.0,0.0,0.0
1.165,565.5308834916701,282.7636058645008,282.7672776271694,-1.7457001159461652e-06,-1.953793015823445e-06,-1.5990909932155287e-06,0.5587861906986175,0.4340863267928678,0.3537009334994471,0.0,0.0,0.0,0.0
1.17,565.530830001548,282.76327766470456,282.7675523368433,-1.193486091751005e-06,-1.966638937069395e-06,-1.2693999421415156e-06,0.5588492267277556,0.4374246077723547,0.3554464477279491,0.0,0.0,0.0,0.0
1.175,565.5308055052229,282.7629608995837,282.76784460563914,-7.08946917376271e-07,-1.968186617473218e-06,-9.28999283195391e-07,0.5589133165667423,0.44064787630740354,0.35717159477670635,0.0,0.0,0.0,0.0
1.18,565.530807166575,282.76265537791306,282.76815178866195,-6.419898396716794e-07,-1.9584916919937073e-06,-5.821921427233854e-07,0.5589783679661708,0.44375807154283514,0.3588770968665368,0.0,0.0,0.0,0.0
1.185,565.5308322191626,282.7623608677224,282.76847135144004,-5.731868795980847e-07,-1.9376425188104633e-06,-4.0122668597832516e-07,0.5590442927222494,0.44675753745615654,0.36056377256679417,0.0,0.0,0.0,0.0
1.19,565.5308780204388,282.76207710291624,282.7688009175225,-5.445179277912744e-07,-1.905757157150272e-06,-3.626426508422949e-07,0.5591116544987735,0.4496489544979663,0.3622325122868264,0.0,0.0,0.0,0.0
1.195,565.5309420991167,282.7618037896343,282.76913830948246,-5.610883058591386e-07,-1.8629805133728128e-06,-3.229204032461172e-07,0.5591804895851374,0.45243527389878346,0.36388425433236876,0.0,0.0,0.0,0.0
1.2,565.5310221938084,282.7615406122775,282.76948158153084,-5.748294985858339e-07,-1.8094816804257846e-06,-2.8290199233883954e-07,0.5592500157824354,0.45511965541301774,0.3655199617843561,0.0,0.0,0.0,0.0
1.205,565.5311162817019,282.7612872391421,282.7698290425599,-6.211023222346743e-07,-1.7454514835737928e-06,-2.890205307228819e-07,0.5593201793508492,0.4577054091020593,0.36714060043929303,0.0,0.0,0.0,0.0
1.21,565.5312225967373,282.76104332762026,282.770179269117,-7.157384211952336e-07,-1.6711002345511446e-06,-3.1214800789265914e-07,0.5593909378047511,0.46019594160547184,0.3687471180377133,0.0,0.0,0.0,0.0
1.215,565.5313396374219,282.76080852893966,282.7705311084821,-8.335649347477895e-07,-1.586655687164689e-06,-3.337853595953634e-07,0.5594622601241612,0.4626374866734052,0.3703404249971295,0.0,0.0,0.0,0.0
1.22,565.53146616503,282.7605824924243,282.77088367260563,-9.359875454449693e-07,-1.4923611799773873e-06,-3.540942945673001e-07,0.5595341265625016,0.46500351800482376,0.37192137685495497,0.0,0.0,0.0,0.0
1.225,565.5316011933979,282.7603648692691,282.77123632412867,-1.0227886882222303e-06,-1.3985171115242136e-06,-3.7320183862671627e-07,0.5596065281008251,0.46728987140395406,0.3734907586125546,0.0,0.0,0.0,0.0
1.23,565.5317439718413,282.760155315832,282.7715886560094,-1.093884938968146e-06,-1.3354998013003153e-06,-3.9120207263314067e-07,0.5596794656120295,0.4694997141832695,0.3750492711520058,0.0,0.0,0.0,0.0
1.235,565.5318939628767,282.7599534964492,282.77194046642745,-1.1493156231995057e-06,-1.266244084581761e-06,-4.595407502152101e-07,0.5597529488051991,0.4716361046851681,0.37659751987145257,0.0,0.0,0.0,0.0
1.24,565.532050816432,282.7597590857904,282.77229173064177,-1.1892294817591246e-06,-1.1909421049873932e-06,-5.286001266051383e-07,0.5598269950207725,0.47370196920696045,0.378136005653093,0.0,0.0,0.0,0.0
1.245,565.5322143421357,282.7595717707703,282.77264257136545,-1.2138702649248669e-06,-1.1097896949881538e-06,-5.917610418891445e-07,0.5599016279428624,0.4757000837020293,0.37966511824051014,0.0,0.0,0.0,0.0
1.25,565.532384481064,282.759391252041,282.77299322902303,-1.2235620205930674e-06,-1.022985542840159e-06,-6.491536439364417e-07,0.559976876287168,0.4776330600531941,0.38118513206039534,0.0,0.0,0.0,0.0
1.255,565.5325612781031,282.75921724508896,282.77334403301427,-1.2186947073782403e-06,-9.307304081742893e-07,-7.009306808826522e-07,0.560052772512957,0.47950333667478356,0.38269620447915004,0.0,0.0,0.0,0.0
1.26,565.5327448558114,282.7590494809668,282.77369537484464,-1.1997106172925724e-06,-8.332263737360782e-07,-7.472619546889837e-07,0.5601293515968317,0.4813131731652153,0.3841983764389397,0.0,0.0,0.0,0.0
1.2650000000000001,565.5329353904135,282.75888770668786,282.77404768372577,-1.1670919493443e-06,-7.306761232216918e-07,-7.883293221146535e-07,0.5602066498954633,0.4830646487014144,0.3856915753720863,0.0,0.0,0.0,0.0
1.27,565.5331330903355,282.758731685317,282.7744014050185,-1.1213497450370883e-06,-6.232822378703233e-07,-8.243223209237271e-07,0.5602847041149086,0.48475966383988595,0.38717562024873675,0.0,0.0,0.0,0.0
1.275,565.5333381774776,282.7585811957883,282.77475698168934,-1.0630142855114875e-06,-5.451616713354249e-07,-8.554344543424191e-07,0.5603635503959544,0.48639994536676223,0.3886502285719406,0.0,0.0,0.0,0.0
