split,size_ratio,simulation_number,file_size_mb,filename,relative_path
training,1.0,1,1.3136234283447266,rotating_drum_bidisperse_size_ratio_1_000000_num_1.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_000000_num_1.stat
training,1.010101,2,1.3164043426513672,rotating_drum_bidisperse_size_ratio_1_010101_num_2.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_010101_num_2.stat
training,1.020202,3,1.3099517822265625,rotating_drum_bidisperse_size_ratio_1_020202_num_3.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_020202_num_3.stat
training,1.030303,4,1.3280010223388672,rotating_drum_bidisperse_size_ratio_1_030303_num_4.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_030303_num_4.stat
training,1.040404,5,1.3151140213012695,rotating_drum_bidisperse_size_ratio_1_040404_num_5.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_040404_num_5.stat
training,1.050505,6,1.3450984954833984,rotating_drum_bidisperse_size_ratio_1_050505_num_6.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_050505_num_6.stat
training,1.060606,7,1.3177947998046875,rotating_drum_bidisperse_size_ratio_1_060606_num_7.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_060606_num_7.stat
training,1.070707,8,1.313852310180664,rotating_drum_bidisperse_size_ratio_1_070707_num_8.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_070707_num_8.stat
training,1.080808,9,1.3222341537475586,rotating_drum_bidisperse_size_ratio_1_080808_num_9.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_080808_num_9.stat
training,1.090909,10,1.3229436874389648,rotating_drum_bidisperse_size_ratio_1_090909_num_10.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_090909_num_10.stat
training,1.10101,11,1.3195362091064453,rotating_drum_bidisperse_size_ratio_1_101010_num_11.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_101010_num_11.stat
training,1.111111,12,1.3309879302978516,rotating_drum_bidisperse_size_ratio_1_111111_num_12.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_111111_num_12.stat
training,1.121212,13,1.316309928894043,rotating_drum_bidisperse_size_ratio_1_121212_num_13.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_121212_num_13.stat
training,1.131313,14,1.3196849822998047,rotating_drum_bidisperse_size_ratio_1_131313_num_14.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_131313_num_14.stat
training,1.141414,15,1.3268566131591797,rotating_drum_bidisperse_size_ratio_1_141414_num_15.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_141414_num_15.stat
training,1.151515,16,1.320608139038086,rotating_drum_bidisperse_size_ratio_1_151515_num_16.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_151515_num_16.stat
training,1.161616,17,1.318868637084961,rotating_drum_bidisperse_size_ratio_1_161616_num_17.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_161616_num_17.stat
training,1.171717,18,1.337477684020996,rotating_drum_bidisperse_size_ratio_1_171717_num_18.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_171717_num_18.stat
training,1.181818,19,1.3199338912963867,rotating_drum_bidisperse_size_ratio_1_181818_num_19.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_181818_num_19.stat
training,1.191919,20,1.3217239379882812,rotating_drum_bidisperse_size_ratio_1_191919_num_20.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_191919_num_20.stat
training,1.20202,21,1.3315620422363281,rotating_drum_bidisperse_size_ratio_1_202020_num_21.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_202020_num_21.stat
training,1.212121,22,1.3374433517456055,rotating_drum_bidisperse_size_ratio_1_212121_num_22.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_212121_num_22.stat
training,1.222222,23,1.3256359100341797,rotating_drum_bidisperse_size_ratio_1_222222_num_23.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_222222_num_23.stat
training,1.232323,24,1.3257627487182617,rotating_drum_bidisperse_size_ratio_1_232323_num_24.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_232323_num_24.stat
training,1.242424,25,1.3414525985717773,rotating_drum_bidisperse_size_ratio_1_242424_num_25.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_242424_num_25.stat
training,1.252525,26,1.3475360870361328,rotating_drum_bidisperse_size_ratio_1_252525_num_26.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_252525_num_26.stat
training,1.262626,27,1.3322677612304688,rotating_drum_bidisperse_size_ratio_1_262626_num_27.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_262626_num_27.stat
training,1.272727,28,1.3228111267089844,rotating_drum_bidisperse_size_ratio_1_272727_num_28.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_272727_num_28.stat
training,1.282828,29,1.336069107055664,rotating_drum_bidisperse_size_ratio_1_282828_num_29.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_282828_num_29.stat
training,1.292929,30,1.3378534317016602,rotating_drum_bidisperse_size_ratio_1_292929_num_30.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_292929_num_30.stat
training,1.30303,31,1.3284797668457031,rotating_drum_bidisperse_size_ratio_1_303030_num_31.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_303030_num_31.stat
training,1.313131,32,1.3276166915893555,rotating_drum_bidisperse_size_ratio_1_313131_num_32.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_313131_num_32.stat
training,1.323232,33,1.3358135223388672,rotating_drum_bidisperse_size_ratio_1_323232_num_33.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_323232_num_33.stat
training,1.333333,34,1.3282384872436523,rotating_drum_bidisperse_size_ratio_1_333333_num_34.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_333333_num_34.stat
training,1.343434,35,1.3303947448730469,rotating_drum_bidisperse_size_ratio_1_343434_num_35.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_343434_num_35.stat
training,1.353535,36,1.3340349197387695,rotating_drum_bidisperse_size_ratio_1_353535_num_36.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_353535_num_36.stat
training,1.363636,37,1.3510618209838867,rotating_drum_bidisperse_size_ratio_1_363636_num_37.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_363636_num_37.stat
training,1.373737,38,1.3390693664550781,rotating_drum_bidisperse_size_ratio_1_373737_num_38.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_373737_num_38.stat
training,1.383838,39,1.3521509170532227,rotating_drum_bidisperse_size_ratio_1_383838_num_39.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_383838_num_39.stat
training,1.393939,40,1.338606834411621,rotating_drum_bidisperse_size_ratio_1_393939_num_40.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_393939_num_40.stat
training,1.40404,41,1.3309783935546875,rotating_drum_bidisperse_size_ratio_1_404040_num_41.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_404040_num_41.stat
training,1.414141,42,1.3461589813232422,rotating_drum_bidisperse_size_ratio_1_414141_num_42.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_414141_num_42.stat
training,1.424242,43,1.3466062545776367,rotating_drum_bidisperse_size_ratio_1_424242_num_43.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_424242_num_43.stat
training,1.434343,44,1.3420038223266602,rotating_drum_bidisperse_size_ratio_1_434343_num_44.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_434343_num_44.stat
training,1.444444,45,1.3433961868286133,rotating_drum_bidisperse_size_ratio_1_444444_num_45.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_444444_num_45.stat
training,1.454545,46,1.3629350662231445,rotating_drum_bidisperse_size_ratio_1_454545_num_46.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_454545_num_46.stat
training,1.464646,47,1.336125373840332,rotating_drum_bidisperse_size_ratio_1_464646_num_47.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_464646_num_47.stat
training,1.474747,48,1.364659309387207,rotating_drum_bidisperse_size_ratio_1_474747_num_48.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_474747_num_48.stat
training,1.484848,49,1.3651208877563477,rotating_drum_bidisperse_size_ratio_1_484848_num_49.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_484848_num_49.stat
training,1.494949,50,1.3403844833374023,rotating_drum_bidisperse_size_ratio_1_494949_num_50.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_494949_num_50.stat
training,1.505051,51,1.3275394439697266,rotating_drum_bidisperse_size_ratio_1_505051_num_51.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_505051_num_51.stat
training,1.515152,52,1.3422746658325195,rotating_drum_bidisperse_size_ratio_1_515152_num_52.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_515152_num_52.stat
training,1.525253,53,1.3537750244140625,rotating_drum_bidisperse_size_ratio_1_525253_num_53.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_525253_num_53.stat
training,1.535354,54,1.351968765258789,rotating_drum_bidisperse_size_ratio_1_535354_num_54.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_535354_num_54.stat
training,1.545455,55,1.3563270568847656,rotating_drum_bidisperse_size_ratio_1_545455_num_55.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_545455_num_55.stat
training,1.555556,56,1.3375530242919922,rotating_drum_bidisperse_size_ratio_1_555556_num_56.stat,data/raw/CG_field_phi_small/rotating_drum_bidisperse_size_ratio_1_555556_num_56.stat
