original_index,size_ratio,independent_identity_error,direct_bulk_error,bulk_from_species_error,direct_small_error,small_from_bulk_large_error,direct_large_error,large_from_bulk_small_error
5,1.050505,0.002720953068531487,0.006923222666427324,0.007048108342171859,0.020261416894912978,0.021605229133848883,0.020069160966655963,0.019180346075728046
15,1.151515,0.001971400508383644,0.0026977288058416945,0.0028656590705265095,0.009318472693759664,0.009553202450618711,0.008641408440009024,0.009019162968700267
25,1.252525,0.001033146300035792,0.0030504794529518466,0.0032200375293787147,0.005775360648780091,0.0060342652118859415,0.00632877572107939,0.006071959684710064
35,1.353535,0.0015655625066013895,0.002662221012486568,0.0031657306441575566,0.012198910866442002,0.01113194524077778,0.011053893554665694,0.012125675624944729
45,1.454545,0.002073340589974035,0.003393979612874477,0.003590342437776003,0.0061500723580050695,0.007683956634941214,0.007831044530774477,0.0069357749029677115
55,1.555556,0.0006840328036044296,0.004592752175200745,0.0047624644314679596,0.007802945289026345,0.007732344752926971,0.008209545744100065,0.008063844690951947
65,1.656566,0.0021003711335687873,0.005635269050458847,0.006354195453497019,0.007847836646861882,0.006034854988461508,0.009013409814948994,0.009769317137536027
75,1.757576,0.0018850022926595077,0.002629417163369143,0.0032852075753818833,0.010078140215330251,0.01193825955905338,0.012877150613595465,0.010953337540380168
85,1.858586,0.0005493367797640255,0.004848086001470024,0.005170151135562762,0.008389160209409132,0.008262599117719557,0.010546790685792697,0.010228105100535725
95,1.959596,0.0018854549705495033,0.0028241470403687634,0.003446637943884942,0.006218793986206355,0.005119954546058886,0.006463867845809196,0.007380900675505826
