field,fold,rank,original_index,size_ratio,captured_energy,projection_error,surrogate_error,excess_error
bulk,1,1,1,1.010101,0.9457373279857374,0.011427151973145654,0.011504068915485279,7.691694233962452e-05
bulk,1,1,7,1.070707,0.9457373279857374,0.007762244251042574,0.008048141414209647,0.00028589716316707384
bulk,1,1,12,1.121212,0.9457373279857374,0.0031105140796033356,0.003156620328785047,4.6106249181711474e-05
bulk,1,1,18,1.181818,0.9457373279857374,0.002443813065414581,0.003588762802941377,0.0011449497375267963
bulk,1,1,23,1.232323,0.9457373279857374,0.003370931829724643,0.0043652005455450255,0.0009942687158203825
bulk,1,1,29,1.292929,0.9457373279857374,0.0037053036572454678,0.0037110884222755045,5.7847650300367134e-06
bulk,1,1,34,1.343434,0.9457373279857374,0.004008566621479613,0.004369856733296069,0.0003612901118164556
bulk,1,1,40,1.40404,0.9457373279857374,0.005228970117121139,0.00522915614726754,1.860301464011102e-07
bulk,1,1,46,1.464646,0.9457373279857374,0.004219824746318126,0.004393214060971842,0.00017338931465371576
bulk,1,1,51,1.515152,0.9457373279857374,0.0037737773120480518,0.003984374381260438,0.00021059706921238612
bulk,1,1,57,1.575758,0.9457373279857374,0.00451350888901258,0.0045257425148165845,1.2233625804004486e-05
bulk,1,1,62,1.626263,0.9457373279857374,0.0052405077329492344,0.005258247749524536,1.774001657530149e-05
bulk,1,1,68,1.686869,0.9457373279857374,0.004040844181786479,0.0040842401561579705,4.339597437149137e-05
bulk,1,1,73,1.737374,0.9457373279857374,0.0029907072848825945,0.0033611973797105566,0.0003704900948279621
bulk,1,1,79,1.79798,0.9457373279857374,0.003004863977726902,0.003323862735583381,0.000318998757856479
bulk,1,1,84,1.848485,0.9457373279857374,0.003077512239757036,0.0032417496623119396,0.00016423742255490363
bulk,1,1,90,1.909091,0.9457373279857374,0.0037171762313987253,0.0037847812336537306,6.76050022550053e-05
bulk,1,1,96,1.969697,0.9457373279857374,0.0038231231604845617,0.004257487684385428,0.00043436452390086585
bulk,1,2,1,1.010101,0.9741817785530885,0.005157179038547438,0.005371621398442423,0.00021444235989498493
bulk,1,2,7,1.070707,0.9741817785530885,0.0031331418811569567,0.004091646016145395,0.0009585041349884382
bulk,1,2,12,1.121212,0.9741817785530885,0.0030711115247151455,0.003304421574963079,0.00023331005024793345
bulk,1,2,18,1.181818,0.9741817785530885,0.002355443281488443,0.0048874815208466964,0.0025320382393582536
bulk,1,2,23,1.232323,0.9741817785530885,0.0032928771368662527,0.0056899580565761354,0.0023970809197098827
bulk,1,2,29,1.292929,0.9741817785530885,0.003039519802124382,0.0031727825809447652,0.00013326277882038306
bulk,1,2,34,1.343434,0.9741817785530885,0.0039668398271159545,0.004812921036300643,0.0008460812091846889
bulk,1,2,40,1.40404,0.9741817785530885,0.003374619712597547,0.003375345862911869,7.261503143221257e-07
bulk,1,2,46,1.464646,0.9741817785530885,0.0036625728644179584,0.005233354116917906,0.0015707812524999474
bulk,1,2,51,1.515152,0.9741817785530885,0.003504988335592666,0.0037568282731546875,0.0002518399375620213
bulk,1,2,57,1.575758,0.9741817785530885,0.0033553841452042786,0.0041557405284026305,0.0008003563831983519
bulk,1,2,62,1.626263,0.9741817785530885,0.0037097673288288995,0.0045273372427229695,0.00081756991389407
bulk,1,2,68,1.686869,0.9741817785530885,0.002853118724907065,0.004061330150966878,0.0012082114260598131
bulk,1,2,73,1.737374,0.9741817785530885,0.0023827598511249066,0.0033718932974835902,0.0009891334463586836
bulk,1,2,79,1.79798,0.9741817785530885,0.0027050598380293544,0.00354806914248737,0.0008430093044580157
bulk,1,2,84,1.848485,0.9741817785530885,0.0027991491794765538,0.003937077787067906,0.0011379286075913525
