field,selected_rank,original_index,size_ratio,relative_field_error,exact_integrated_volume,predicted_integrated_volume,relative_volume_error,predicted_minimum,predicted_maximum,fraction_below_zero,fraction_below_minus_1e_6,fraction_below_minus_1e_5,fraction_above_one
bulk,6,5,1.050505,0.006923222666427324,565.5380208607895,565.543798189185,1.0215632163413084e-05,-3.0556926865346643e-06,0.5577596179790475,0.0492,0.0033,0.0,0.0
bulk,6,15,1.151515,0.0026977288058416945,565.5321377630609,565.5311943314608,1.6682192523432668e-06,-3.01993509854381e-06,0.5586221669293208,0.0269,0.0007,0.0,0.0
bulk,6,25,1.252525,0.0030504794529518466,565.5479798054131,565.5324729252303,2.741921240372781e-05,-1.2228970706861326e-06,0.5600151207561535,0.0243,0.0002,0.0,0.0
bulk,6,35,1.353535,0.002662221012486568,565.5597859743057,565.5376025463819,3.922384241935137e-05,-2.2758209012803834e-07,0.561724071851425,0.0223,0.0,0.0,0.0
bulk,6,45,1.454545,0.003393979612874477,565.5197250333706,565.5447806481469,4.430546569322203e-05,-2.6403961303716087e-07,0.5637689894558889,0.023,0.0,0.0,0.0
bulk,6,55,1.555556,0.004592752175200745,565.5741245594029,565.5505772208068,4.163439869968474e-05,-2.2155478446955302e-07,0.5659290959562128,0.0199,0.0,0.0,0.0
bulk,6,65,1.656566,0.005635269050458847,565.5326153535568,565.5537432142668,3.7359225863117325e-05,-1.99637546308133e-07,0.5681412149936769,0.0127,0.0,0.0,0.0
bulk,6,75,1.757576,0.002629417163369143,565.5252329903319,565.5548126024426,5.2304672515193395e-05,-3.6458770917192234e-07,0.5703566470645656,0.0064,0.0,0.0,0.0
bulk,6,85,1.858586,0.004848086001470024,565.5960439025404,565.5541499844153,7.407038747304666e-05,-9.910330571115537e-08,0.5725615724731586,0.0051,0.0,0.0,0.0
bulk,6,95,1.959596,0.0028241470403687634,565.5344775618054,565.5520800042997,3.112532160761899e-05,-2.7625881154943924e-07,0.5747818293285647,0.0149,0.0,0.0,0.0
small,3,5,1.050505,0.020261416894912978,282.7618673010019,282.7736653047247,4.172416823881347e-05,-4.287882143137866e-07,0.33384044225737564,0.0277,0.0,0.0,0.0
small,3,15,1.151515,0.009318472693759664,282.76589197703254,282.7645489641754,4.749557479364012e-06,-1.92059852768294e-06,0.4245000092365293,0.0601,0.002,0.0,0.0
small,3,25,1.252525,0.005775360648780091,282.75653738126636,282.75930258187395,9.779440055419995e-06,-9.770653559281458e-07,0.4785852405212073,0.0481,0.0,0.0,0.0
small,3,35,1.353535,0.012198910866442002,282.7663710018983,282.7568186336644,3.378183975705256e-05,-1.3409164934395417e-07,0.5063765731009285,0.0225,0.0,0.0,0.0
small,3,45,1.454545,0.0061500723580050695,282.7745595377103,282.7557375605865,6.656177682509674e-05,-2.1932411506451935e-07,0.5211944981191354,0.0182,0.0,0.0,0.0
small,3,55,1.555556,0.007802945289026345,282.74361311663483,282.75529036451366,4.1299775970554216e-05,-1.573998657154354e-07,0.52925486159312,0.0151,0.0,0.0,0.0
small,3,65,1.656566,0.007847836646861882,282.74603718635007,282.7549277935062,3.144379049352128e-05,-9.211246558804058e-07,0.5344823363556177,0.0113,0.0,0.0,0.0
small,3,75,1.757576,0.010078140215330251,282.75120711212884,282.7544536617542,1.1482000938323332e-05,-8.201682159210804e-07,0.5368852743872022,0.0097,0.0,0.0,0.0
small,3,85,1.858586,0.008389160209409132,282.7474030608849,282.753878107454,2.2900463449043235e-05,-1.0642807814772371e-07,0.5370647380732378,0.0097,0.0,0.0,0.0
small,3,95,1.959596,0.006218793986206355,282.75023841174516,282.75325545830685,1.0670359037155967e-05,-6.995200034452979e-07,0.5374518723363813,0.0374,0.0,0.0,0.0
large,3,5,1.050505,0.020069160966655963,282.7761535597877,282.7676230519935,3.016699847853918e-05,-5.932756841446891e-07,0.3080516683314174,0.0092,0.0,0.0,0.0
large,3,15,1.151515,0.008641408440009024,282.76624578602826,282.7715269517576,1.8676789779709187e-05,-1.0499522991038805e-07,0.3496632234679984,0.0078,0.0,0.0,0.0
large,3,25,1.252525,0.00632877572107939,282.79144242414685,282.7761460906256,5.409051062546832e-05,-4.947052879552417e-07,0.3817644400634795,0.0185,0.0,0.0,0.0
large,3,35,1.353535,0.011053893554665694,282.7934149724075,282.78181656383174,4.101371517754833e-05,-3.1465092390479095e-07,0.4111962502525542,0.022,0.0,0.0,0.0
large,3,45,1.454545,0.007831044530774477,282.7451654956603,282.7870989964205,0.00014830846245148224,-0.002595266461325473,0.4332582189554446,0.018,0.0026,0.0026,0.0
large,3,55,1.555556,0.008209545744100065,282.830511442768,282.791498353873,0.00013793804881933415,-0.0005137894147923018,0.44764679124675694,0.0152,0.0019,0.0019,0.0
large,3,65,1.656566,0.009013409814948994,282.7865781672069,282.79526956236606,3.073482205366083e-05,-4.560168190553914e-07,0.4586363793799702,0.0119,0.0,0.0,0.0
large,3,75,1.757576,0.012877150613595465,282.7740258782031,282.79857302617563,8.680835482084972e-05,-2.7666935102861587e-07,0.46777049720061326,0.0087,0.0,0.0,0.0
large,3,85,1.858586,0.010546790685792697,282.8486408416554,282.8014889121712,0.00016670375132062372,-2.468152991017431e-07,0.47563607849403333,0.0176,0.0,0.0,0.0
large,3,95,1.959596,0.006463867845809196,282.7842391500601,282.80396920113077,6.977068852906274e-05,-0.0024208906787202104,0.4823002810133403,0.0434,0.0109,0.0107,0.0
