field,rank,mean_captured_energy,mean_projection_error,maximum_projection_error,mean_linear_error,median_linear_error,maximum_linear_error,mean_linear_excess_error,mean_neural_error,median_neural_error,maximum_neural_error,mean_neural_excess_error
bulk,1,0.9433964721505913,0.004247372721937612,0.011427151973145654,0.004507657479745352,0.00414345849914537,0.011504068915485279,0.00026028475780774007,0.004466384495976258,0.004048442095022097,0.011933039144970715,0.00021901177403864616
bulk,2,0.9737995826624233,0.003235956120851574,0.005157179038547438,0.004040553346883428,0.0038933147803051943,0.006698606564615981,0.0008045972260318533,0.003837662140919962,0.0036194759170435145,0.005910064923093061,0.0006017060200683876
bulk,3,0.9804686477629385,0.0028653359583915255,0.0047447245070030555,0.003954589831166514,0.0037554574303417286,0.006564778585515854,0.0010892538727749887,0.003682294495137385,0.003608954414684404,0.005729819407655027,0.0008169585367458596
bulk,4,0.9837608424123012,0.002669739386187169,0.003839160213346444,0.003948919574089317,0.0037947392965899038,0.006448358077095861,0.0012791801879021487,0.003714109636535316,0.00361234822643898,0.0055154856272925795,0.001044370250348147
bulk,6,0.9876190321900465,0.0024390645688554193,0.0031335721000683484,0.004058941153496475,0.00396640009377126,0.0065461870931743365,0.0016198765846410562,0.0036758798784912966,0.0035443696623590924,0.005621493166621626,0.0012368153096358778
bulk,8,0.9901549785549858,0.002234249143137781,0.002924978965543117,0.004114457234591534,0.003993239585065051,0.006579171848825424,0.0018802080914537527,0.0036660094304542465,0.003520243195411053,0.005818577896706952,0.0014317602873164658
bulk,10,0.9918159652763467,0.002119216717308867,0.0025705398007256413,0.004164484572835354,0.0040820355724677185,0.006572122870433689,0.0020452678555264872,0.0036954287908774184,0.0034948931475363224,0.006015403759030446,0.0015762120735685517
bulk,15,0.9943334013182937,0.001929451353200279,0.0024260391962939165,0.004221983851775574,0.004154146462031612,0.006570203168598367,0.002292532498575295,0.003736267941332321,0.003642141213733326,0.005854567877610088,0.0018068165881320421
bulk,20,0.9958757749593032,0.0017978037771365786,0.0023023137297362435,0.004262141026233399,0.004171305487355267,0.006605682421692258,0.0024643372490968205,0.003886144649902586,0.0035968768581828825,0.00953565890812809,0.002088340872766007
large,1,0.9661728290030449,0.026489542584857997,0.07094443260994562,0.02716671283811002,0.025824155847268136,0.07177897408776858,0.0006771702532520251,0.027069993824063412,0.025625017377066753,0.07103124790016743,0.0005804512392054164
large,2,0.9965114440759656,0.009383738161700473,0.01631358455554069,0.011508968907614141,0.010520364133181716,0.023031066666193194,0.002125230745913667,0.011379530810701187,0.010545632811916818,0.027569547501230005,0.0019957926490007123
large,3,0.9977436154002164,0.00788906427551764,0.012667369357163845,0.010716599620065489,0.009954823792401469,0.024238556422790762,0.002827535344547849,0.010397003173993828,0.00963633086677851,0.02071695088851581,0.0025079388984761875
large,4,0.9982352687852823,0.007268057868408379,0.011457424311504625,0.010920492622213918,0.010111188994656574,0.024242786371366464,0.0036524347538055392,0.01017438092846838,0.00963836158041267,0.02180141634864066,0.0029063230600600005
large,6,0.9988172594895481,0.0061947387318858705,0.010602319905690445,0.011072170667391617,0.010153260673800346,0.02509875284270914,0.004877431935505746,0.010462886375212766,0.009712044755478128,0.02222670907434238,0.004268147643326895
large,8,0.9991258959397536,0.005480717400891276,0.009772362876150551,0.011176598232189949,0.010198194946987014,0.025139101881131744,0.005695880831298672,0.010139154181493741,0.009695347039963534,0.0201735642569623,0.004658436780602465
large,10,0.9993134366592006,0.004991989746808117,0.006979778871401045,0.011213669537860618,0.010151356805971361,0.025250936237558287,0.006221679791052501,0.010776292180492525,0.009986719117292616,0.03143194462827129,0.005784302433684409
large,15,0.9995582244019235,0.004408864389096552,0.006523247146387377,0.011350089515729236,0.010207435953454526,0.025423123934109032,0.006941225126632685,0.011018369222937812,0.010172784719091828,0.030772883240167918,0.0066095048338412595
large,20,0.9996815391011912,0.004146093996968515,0.006093125267175809,0.011423676664494653,0.010297173532072264,0.025447032167042586,0.007277582667526139,0.011413080213092909,0.010159532206805374,0.027232234819303043,0.007266986216124396
small,1,0.9644099558614233,0.026258091517477503,0.07251207581229772,0.02686330836251567,0.026350337704210934,0.07340145279988888,0.0006052168450381641,0.026772490306713484,0.02623340791859518,0.07251211511902049,0.000514398789235983
small,2,0.9968174538868574,0.008622855425757758,0.016286449461525087,0.010649577036706914,0.00993140010091825,0.020758891102436137,0.002026721610949156,0.010523356891003323,0.009755773592205141,0.024083779439279477,0.0019005014652455654
small,3,0.9981196911527587,0.006936616423111375,0.012062748050022717,0.009697797545413436,0.008820089970967747,0.022591623863265266,0.00276118112230206,0.009313289906755652,0.008882256849438374,0.018232383995006502,0.0023766734836442763
small,4,0.9986389385160691,0.006134133966674415,0.011714643763738031,0.00972052106139643,0.008946450203725444,0.02270424653289042,0.0035863870947220166,0.009244910409840145,0.00848647502902176,0.022202287530898618,0.0031107764431657294
small,6,0.9990953110536126,0.005224375868328311,0.010187345487914497,0.009894511533719301,0.009322113058947198,0.02288511847901807,0.00467013566539099,0.009090725077623672,0.00847451782423499,0.01913397182372278,0.003866349209295361
small,8,0.9993815845522177,0.0044452921981077064,0.008145719560938357,0.010004113886334823,0.009365130425652856,0.02284699927152451,0.005558821688227116,0.009447846512686623,0.008402525450430028,0.022311089114570103,0.005002554314578917
small,10,0.9995157765057001,0.004096485461627713,0.007905150323243779,0.01007778953033493,0.009486283291357367,0.02324426998536958,0.005981304068707217,0.009249921823196111,0.00819546772964494,0.018863216346953995,0.005153436361568398
small,15,0.9996921726769785,0.003600577652367431,0.006291453329903373,0.01014398882875833,0.00958408747887431,0.023300961255952997,0.0065434111763909,0.011203965112672038,0.009983272476268026,0.031881892287895335,0.007603387460304607
small,20,0.9997831845008978,0.0033815719290719247,0.006125513206269438,0.010197198076043872,0.00962135680780286,0.023364490726081672,0.006815626146971948,0.011712964656562613,0.010810644873587648,0.03708585754412439,0.008331392727490687
