field,seed,rank,mean_validation_error,median_validation_error,maximum_validation_error,standard_deviation_error
bulk,11,2,0.003851990305513862,0.0035724405360420927,0.006542775456017003,0.0008856705613960555
bulk,11,3,0.0036955707559512318,0.0036583085550503055,0.00557624463771478,0.0008418767791729305
bulk,11,4,0.0036772016226737504,0.003568903635441727,0.005428185518199444,0.0008266459069277765
bulk,11,6,0.0036347048723558094,0.003528526432515814,0.005304828747607757,0.0008286348545746155
bulk,11,8,0.0036647898179393346,0.0035529488004662022,0.005547044090819624,0.0008485155292010415
bulk,11,10,0.0036465330799842874,0.003476488561769163,0.005776695562425418,0.0008093072952863807
bulk,23,2,0.0038354798014677764,0.0036259578009365484,0.006101718671811374,0.0008714921076681904
bulk,23,3,0.0036730154811056457,0.0036152234763304173,0.005708368766571713,0.0008262624104540233
bulk,23,4,0.003695969355152606,0.003584629974188889,0.00581462062867721,0.0008294356069686623
bulk,23,6,0.003661092749201983,0.0035243444645534673,0.005492559261359351,0.0008430050014788683
bulk,23,8,0.0036860361406551327,0.0035255460691514403,0.00569331790304552,0.0008230550318381565
bulk,23,10,0.003676489492302216,0.0035240681224775455,0.006244204904885326,0.0008328837516220514
bulk,37,2,0.0038410921474402284,0.003636516842577033,0.006028554178647785,0.0008689007362700142
bulk,37,3,0.0036969811079268803,0.003611310897998636,0.005727271293159084,0.0008486024949622148
bulk,37,4,0.0036627911779494897,0.0035458387211616347,0.005540677767329848,0.000837861189506705
bulk,37,6,0.0036755359217780117,0.0035403464206808367,0.0056364328294586695,0.0008487111340873631
bulk,37,8,0.003687329864213599,0.0036111220320155344,0.006264548264684495,0.000868113740302003
bulk,37,10,0.003695264050870716,0.003582036401601136,0.005720043053001971,0.0007809973858530591
bulk,53,2,0.0038445590568666078,0.0036305850530675638,0.006011367354478075,0.0008630674167858955
bulk,53,3,0.003684541312126754,0.0036029638407525507,0.005678957158963127,0.0008388803655857654
bulk,53,4,0.0036806577415745057,0.003564536075407472,0.005661894360291004,0.0008367152040956179
bulk,53,6,0.0036812484618608597,0.0035159044859908754,0.005927792191330422,0.0008739862120970014
bulk,53,8,0.003686213648373095,0.0035635877322933666,0.005482327193695152,0.0007936135678821097
bulk,53,10,0.0036867689424980614,0.003473883920640355,0.00605637357763354,0.0008629226825701005
bulk,71,2,0.003841532829935212,0.0036298775044005228,0.006037767286419321,0.0008748734025576948
bulk,71,3,0.003692763997527393,0.003641345062239583,0.005947104027243993,0.0008460023704861669
bulk,71,4,0.0036771306018000298,0.0035414614052084598,0.0058143098254478396,0.0008401296509512678
bulk,71,6,0.0036681886438337187,0.0035607439434504756,0.005684595774723114,0.0008614218272961308
bulk,71,8,0.003696722372363599,0.0035748203406218526,0.0064759751060384195,0.0008784051021930166
bulk,71,10,0.0036915882230454775,0.0034825945348647444,0.006670430054085382,0.0008658470657196981
small,11,3,0.009211188014784532,0.008490798901445048,0.019708060007640263,0.0034176695865821313
small,11,4,0.009158535610450998,0.008797813924990601,0.01878959851583591,0.0033159357173763566
small,11,6,0.012281281577902502,0.009036694841242856,0.04300903765252979,0.00865900042878497
small,11,8,0.0096750706046927,0.009125328751228205,0.029305315116296173,0.0038648929062180403
small,11,10,0.00933411370638711,0.008428814091840792,0.01873027758729107,0.0035155862534759527
small,23,3,0.009270643189834803,0.008547654676343063,0.01870538898804112,0.0033546634823303197
small,23,4,0.009152031460554615,0.008478722764663183,0.019884039817725553,0.003207055378864719
small,23,6,0.00931215922697724,0.008734287078703232,0.022001019492881788,0.0033943062897543713
small,23,8,0.009250238760263658,0.008414167092299984,0.01930959731986784,0.0033713495293105147
small,23,10,0.010336457786265092,0.009463589051248916,0.023794845652486376,0.004295001185214221
small,37,3,0.009149770911246996,0.008454081445007654,0.019844817797629935,0.0032912971865335576
small,37,4,0.009297257014193268,0.008454218658919497,0.017823205819057,0.0032934689283257656
small,37,6,0.009326037027473916,0.008519324968016231,0.02093743349553129,0.003424038216746293
small,37,8,0.009456187113555848,0.008944133274200971,0.020138862323411007,0.0034812736258215625
small,37,10,0.009855821427493063,0.008824617678805583,0.022074219158385963,0.0036895421273863984
small,53,3,0.009279347105989526,0.008208322098117797,0.018432036241825295,0.0033954780671771167
small,53,4,0.009174093014997005,0.008443536415318274,0.021010462123910414,0.003570356945384588
small,53,6,0.009341099507542873,0.008646386034168663,0.021179353351345093,0.00337851600856211
small,53,8,0.00933870022997896,0.008550189663647813,0.019743994227559715,0.0033307971084494824
small,53,10,0.009262192706644691,0.008393262349942265,0.023016107721288162,0.0034047987967064366
