field,rank,number_of_seeds,mean_cv_error,median_cv_error,minimum_cv_error,maximum_cv_error,standard_deviation_across_seeds,worst_case_validation_error,standard_error
bulk,2,5,0.003842930828244737,0.003841532829935212,0.0038354798014677764,0.003851990305513862,6.03278963747625e-06,0.006542775456017003,2.6979455446706414e-06
bulk,3,5,0.003688574530927581,0.003692763997527393,0.0036730154811056457,0.0036969811079268803,9.943845044479219e-06,0.005947104027243993,4.4470226954359905e-06
bulk,4,5,0.0036787500998300762,0.0036772016226737504,0.0036627911779494897,0.003695969355152606,1.1830570504536282e-05,0.00581462062867721,5.290791972149422e-06
bulk,6,5,0.0036641541298060762,0.0036681886438337187,0.0036347048723558094,0.0036812484618608597,1.8129185695350913e-05,0.005927792191330422,8.107618318304286e-06
bulk,8,5,0.0036842183687089526,0.003686213648373095,0.0036647898179393346,0.003696722372363599,1.1734410215951544e-05,0.0064759751060384195,5.247787783747127e-06
bulk,10,5,0.003679328757740152,0.0036867689424980614,0.0036465330799842874,0.003695264050870716,1.9641806902974237e-05,0.006670430054085382,8.784083087195001e-06
large,3,5,0.010205030740989673,0.010209158282884667,0.010134294305156034,0.01025198410653755,4.469263346522336e-05,0.021586340458269505,1.9987153304344283e-05
large,4,5,0.010266694224468385,0.010240606392425078,0.010185278455292544,0.010344708231888407,7.328849708551936e-05,0.023171075622033122,3.27756122904033e-05
large,6,5,0.010286134580707346,0.010261213995784361,0.010178189093463257,0.010458454681854945,0.00010552515862325403,0.0228566703593374,4.719228560360883e-05
large,8,5,0.010401236589300936,0.010420520256514854,0.010259139056757736,0.010461028460949364,8.275456837535789e-05,0.023395990986830244,3.700896806719091e-05
large,10,5,0.010323634369059236,0.010292732221482961,0.01020162621490099,0.01055256115225431,0.0001346526077072411,0.024522159931304986,6.021847683620064e-05
small,3,5,0.009219869802302817,0.009211188014784532,0.009149770911246996,0.009279347105989526,5.49888083907395e-05,0.019844817797629935,2.459174271268087e-05
small,4,5,0.009233797870442028,0.009174093014997005,0.009152031460554615,0.009387072252014253,0.00010420523295465277,0.021010462123910414,4.660199689956097e-05
small,6,5,0.009856136770617845,0.009326037027473916,0.009020106513192704,0.012281281577902502,0.0013622091079981409,0.04300903765252979,0.0006091984330106391
small,8,5,0.009519095734167645,0.009456187113555848,0.009250238760263658,0.00987528196234706,0.00025494160815545743,0.029305315116296173,0.00011401335322574352
small,10,5,0.009744073384708283,0.009855821427493063,0.009262192706644691,0.010336457786265092,0.00044691081052540077,0.023794845652486376,0.0001998645904428649
