size_ratio,relative_field_error,projection_error,exact_integrated_volume,predicted_integrated_volume,relative_volume_error,predicted_minimum,predicted_maximum,fraction_below_zero,fraction_below_minus_1e_6,fraction_below_minus_1e_5,fraction_above_one
1.0625,0.013041642704225476,0.0064788276911780344,282.7468372814586,282.7712717080917,8.641803695497962e-05,-2.89275417211278e-07,0.34695671616305984,0.0496,0.0,0.0,0.0
1.125,0.012360503473529131,0.007215174135645699,282.75612401611096,282.7659080176223,3.4602262091989786e-05,-9.79455520491358e-07,0.4041913140705515,0.0311,0.0,0.0,0.0
1.25,0.008708136934115696,0.00561165261648062,282.75639803281877,282.7603591861062,1.400906686813455e-05,-1.2010771968447672e-06,0.47925298491384616,0.0269,0.0003,0.0,0.0
1.3125,0.008647790029453593,0.004811681134123623,282.76359574461804,282.7585455389817,1.7860169103586563e-05,-3.145947061946143e-07,0.49895430328442786,0.0224,0.0,0.0,0.0
1.375,0.0074682182598817285,0.0036771312726045467,282.74353835179846,282.7570059306931,4.763178311032843e-05,-1.1573994381004128e-07,0.510343184569565,0.0226,0.0,0.0,0.0
1.5,0.010770148191353275,0.004636172547846198,282.76878011298646,282.75542811290063,4.72187915529291e-05,-1.53046616646216e-07,0.5247254535067493,0.0221,0.0,0.0,0.0
1.5625,0.005837518464914172,0.0046124301786261935,282.75183881885954,282.7550395886626,1.1320067153031008e-05,-3.25288797248587e-07,0.5295516108331165,0.0229,0.0,0.0,0.0
1.625,0.007464106121538262,0.00452713203695909,282.7526912721858,282.75458961781914,6.713802173837824e-06,-3.3285494272219707e-07,0.5330310108435087,0.02,0.0,0.0,0.0
1.75,0.00477726457289605,0.004429950504553215,282.75977137601086,282.7536820397995,2.1535369694611102e-05,-1.5391106079875907e-07,0.5366056379235156,0.007,0.0,0.0,0.0
1.875,0.0048545183588311015,0.0043487646656415755,282.7534617309409,282.75334395885125,4.1651864819325596e-07,-3.34415228712677e-08,0.5374356458965861,0.0092,0.0,0.0,0.0
