split,size_ratio,simulation_number,time,n_x,n_z,phi_min,phi_max,phi_mean,phi_std,nonzero_fraction,filename
training,1.0,1,1720.72,100,100,0.0,0.298251,0.06492155386066348,0.10722106086755384,0.4121,rotating_drum_bidisperse_size_ratio_1_000000_num_1.stat
training,1.010101,2,1720.72,100,100,0.0,0.304087,0.06491507096161235,0.10711015534655921,0.4139,rotating_drum_bidisperse_size_ratio_1_010101_num_2.stat
training,1.020202,3,1720.72,100,100,0.0,0.307991,0.06491197391396322,0.10746147032528407,0.4102,rotating_drum_bidisperse_size_ratio_1_020202_num_3.stat
training,1.030303,4,1720.72,100,100,0.0,0.313504,0.06491514316686824,0.10728793091346632,0.4213,rotating_drum_bidisperse_size_ratio_1_030303_num_4.stat
training,1.040404,5,1720.72,100,100,0.0,0.328202,0.06491794026685833,0.10788143115132492,0.413,rotating_drum_bidisperse_size_ratio_1_040404_num_5.stat
training,1.050505,6,1720.72,100,100,0.0,0.342777,0.0649131926769977,0.10818401782444188,0.4314,rotating_drum_bidisperse_size_ratio_1_050505_num_6.stat
training,1.060606,7,1720.72,100,100,0.0,0.340802,0.06491262270210471,0.10831495740380055,0.4151,rotating_drum_bidisperse_size_ratio_1_060606_num_7.stat
training,1.070707,8,1720.72,100,100,0.0,0.348277,0.06491905444535179,0.10883784585003406,0.4123,rotating_drum_bidisperse_size_ratio_1_070707_num_8.stat
training,1.080808,9,1720.72,100,100,0.0,0.359774,0.06491597557625038,0.10884730781194511,0.4177,rotating_drum_bidisperse_size_ratio_1_080808_num_9.stat
training,1.090909,10,1720.72,100,100,0.0,0.380994,0.0649166339387538,0.10943038236913835,0.4182,rotating_drum_bidisperse_size_ratio_1_090909_num_10.stat
training,1.10101,11,1720.72,100,100,0.0,0.382175,0.06491513309864672,0.10988717570524222,0.4156,rotating_drum_bidisperse_size_ratio_1_101010_num_11.stat
training,1.111111,12,1720.72,100,100,0.0,0.394586,0.0649160857920213,0.11058154881223636,0.4226,rotating_drum_bidisperse_size_ratio_1_111111_num_12.stat
training,1.121212,13,1720.72,100,100,0.0,0.419125,0.06491634313562095,0.11098462147215883,0.4138,rotating_drum_bidisperse_size_ratio_1_121212_num_13.stat
training,1.131313,14,1720.72,100,100,0.0,0.404914,0.06491035114376964,0.11104180963991164,0.4159,rotating_drum_bidisperse_size_ratio_1_131313_num_14.stat
training,1.141414,15,1720.72,100,100,0.0,0.40802,0.06491450015441423,0.11124494402692067,0.4206,rotating_drum_bidisperse_size_ratio_1_141414_num_15.stat
training,1.151515,16,1720.72,100,100,0.0,0.428748,0.06491411661548038,0.11252990095419128,0.4163,rotating_drum_bidisperse_size_ratio_1_151515_num_16.stat
training,1.161616,17,1720.72,100,100,0.0,0.4303,0.06491522069088804,0.1124543975960156,0.4156,rotating_drum_bidisperse_size_ratio_1_161616_num_17.stat
training,1.171717,18,1720.72,100,100,0.0,0.445778,0.06491263956838844,0.11343525775546788,0.4262,rotating_drum_bidisperse_size_ratio_1_171717_num_18.stat
training,1.181818,19,1720.72,100,100,0.0,0.448173,0.06491055304822577,0.11393870398312951,0.4156,rotating_drum_bidisperse_size_ratio_1_181818_num_19.stat
training,1.191919,20,1720.72,100,100,0.0,0.445745,0.06491136550147487,0.11486337062043386,0.4168,rotating_drum_bidisperse_size_ratio_1_191919_num_20.stat
training,1.20202,21,1720.72,100,100,0.0,0.457442,0.06491355857488282,0.11482278499435067,0.423,rotating_drum_bidisperse_size_ratio_1_202020_num_21.stat
training,1.212121,22,1720.72,100,100,0.0,0.464832,0.06491057207025283,0.11501885088520665,0.4264,rotating_drum_bidisperse_size_ratio_1_212121_num_22.stat
training,1.222222,23,1720.72,100,100,0.0,0.471111,0.06491232587767495,0.11655251911379609,0.4186,rotating_drum_bidisperse_size_ratio_1_222222_num_23.stat
training,1.232323,24,1720.72,100,100,0.0,0.468449,0.06490944997739637,0.11636125215502353,0.4187,rotating_drum_bidisperse_size_ratio_1_232323_num_24.stat
training,1.242424,25,1720.72,100,100,0.0,0.480138,0.06491668197419061,0.11761809786250929,0.4284,rotating_drum_bidisperse_size_ratio_1_242424_num_25.stat
training,1.252525,26,1720.72,100,100,0.0,0.480558,0.06491196909579118,0.11776392614097775,0.4325,rotating_drum_bidisperse_size_ratio_1_252525_num_26.stat
training,1.262626,27,1720.72,100,100,0.0,0.490576,0.06491642440555112,0.11926147341771695,0.4228,rotating_drum_bidisperse_size_ratio_1_262626_num_27.stat
training,1.272727,28,1720.72,100,100,0.0,0.488442,0.06491585419132262,0.11866956841504961,0.4168,rotating_drum_bidisperse_size_ratio_1_272727_num_28.stat
training,1.282828,29,1720.72,100,100,0.0,0.486174,0.06490941546935812,0.1192237048384759,0.4246,rotating_drum_bidisperse_size_ratio_1_282828_num_29.stat
training,1.292929,30,1720.72,100,100,0.0,0.492316,0.06491062277614251,0.12050833115769233,0.426,rotating_drum_bidisperse_size_ratio_1_292929_num_30.stat
training,1.30303,31,1720.72,100,100,0.0,0.502151,0.06490991876505622,0.12135003097357738,0.4198,rotating_drum_bidisperse_size_ratio_1_303030_num_31.stat
training,1.313131,32,1720.72,100,100,0.0,0.502508,0.06491258043967613,0.12155516995038237,0.4194,rotating_drum_bidisperse_size_ratio_1_313131_num_32.stat
training,1.323232,33,1720.72,100,100,0.0,0.501782,0.06491109222408215,0.12241577383133592,0.4248,rotating_drum_bidisperse_size_ratio_1_323232_num_33.stat
training,1.333333,34,1720.72,100,100,0.0,0.500907,0.06491496106633411,0.12196430236911203,0.4199,rotating_drum_bidisperse_size_ratio_1_333333_num_34.stat
training,1.343434,35,1720.72,100,100,0.0,0.507974,0.06491341664940098,0.12239091093534181,0.4215,rotating_drum_bidisperse_size_ratio_1_343434_num_35.stat
training,1.353535,36,1720.72,100,100,0.0,0.510565,0.06491422658445781,0.1237362129789731,0.423,rotating_drum_bidisperse_size_ratio_1_353535_num_36.stat
training,1.363636,37,1720.72,100,100,0.0,0.50874,0.06491109869225473,0.12395631905469655,0.434,rotating_drum_bidisperse_size_ratio_1_363636_num_37.stat
training,1.373737,38,1720.72,100,100,0.0,0.514167,0.0649092482658191,0.1246784978667088,0.4264,rotating_drum_bidisperse_size_ratio_1_373737_num_38.stat
training,1.383838,39,1720.72,100,100,0.0,0.50933,0.06491510013022858,0.12476840264320253,0.4338,rotating_drum_bidisperse_size_ratio_1_383838_num_39.stat
training,1.393939,40,1720.72,100,100,0.0,0.514152,0.06491173865315748,0.12548071561705787,0.426,rotating_drum_bidisperse_size_ratio_1_393939_num_40.stat
training,1.40404,41,1720.72,100,100,0.0,0.515353,0.06491140445159789,0.12595386521645383,0.4209,rotating_drum_bidisperse_size_ratio_1_404040_num_41.stat
training,1.414141,42,1720.72,100,100,0.0,0.514946,0.06491252790353362,0.12607911164386268,0.4302,rotating_drum_bidisperse_size_ratio_1_414141_num_42.stat
training,1.424242,43,1720.72,100,100,0.0,0.5156,0.06491398165544711,0.1256371955189821,0.4304,rotating_drum_bidisperse_size_ratio_1_424242_num_43.stat
training,1.434343,44,1720.72,100,100,0.0,0.52198,0.06491100146417089,0.12710083258618712,0.4278,rotating_drum_bidisperse_size_ratio_1_434343_num_44.stat
training,1.444444,45,1720.72,100,100,0.0,0.518946,0.06490930148284828,0.1275499186495706,0.4285,rotating_drum_bidisperse_size_ratio_1_444444_num_45.stat
training,1.454545,46,1720.72,100,100,0.0,0.520538,0.06491610641361577,0.12773531345194009,0.4403,rotating_drum_bidisperse_size_ratio_1_454545_num_46.stat
training,1.464646,47,1720.72,100,100,0.0,0.521836,0.06491346955147115,0.12778688261630508,0.4235,rotating_drum_bidisperse_size_ratio_1_464646_num_47.stat
training,1.474747,48,1720.72,100,100,0.0,0.526002,0.06491066191299869,0.128984921273179,0.4409,rotating_drum_bidisperse_size_ratio_1_474747_num_48.stat
training,1.484848,49,1720.72,100,100,0.0,0.52154,0.06491452129317178,0.1292011266629393,0.4412,rotating_drum_bidisperse_size_ratio_1_484848_num_49.stat
training,1.494949,50,1720.72,100,100,0.0,0.525842,0.06491294343898274,0.12961954678359155,0.4264,rotating_drum_bidisperse_size_ratio_1_494949_num_50.stat
training,1.505051,51,1720.72,100,100,0.0,0.523745,0.0649115630555634,0.12895617601450945,0.4181,rotating_drum_bidisperse_size_ratio_1_505051_num_51.stat
training,1.515152,52,1720.72,100,100,0.0,0.525814,0.06491313604829424,0.1296528593456902,0.4273,rotating_drum_bidisperse_size_ratio_1_515152_num_52.stat
training,1.525253,53,1720.72,100,100,0.0,0.527445,0.0649121773329371,0.12955410168957168,0.4345,rotating_drum_bidisperse_size_ratio_1_525253_num_53.stat
training,1.535354,54,1720.72,100,100,0.0,0.525933,0.06491052590874585,0.1301340931712119,0.433,rotating_drum_bidisperse_size_ratio_1_535354_num_54.stat
training,1.545455,55,1720.72,100,100,0.0,0.528859,0.06491001531520973,0.1304056321589858,0.4358,rotating_drum_bidisperse_size_ratio_1_545455_num_55.stat
training,1.555556,56,1720.72,100,100,0.0,0.529556,0.06490900209289135,0.13096275839231614,0.4244,rotating_drum_bidisperse_size_ratio_1_555556_num_56.stat
training,1.565657,57,1720.72,100,100,0.0,0.530555,0.06491090918648185,0.13049525101718232,0.4254,rotating_drum_bidisperse_size_ratio_1_565657_num_57.stat
training,1.575758,58,1720.72,100,100,0.0,0.530477,0.06490973734163755,0.13151826045384946,0.4337,rotating_drum_bidisperse_size_ratio_1_575758_num_58.stat
training,1.585859,59,1720.72,100,100,0.0,0.528493,0.064910163354421,0.1315383836276052,0.4317,rotating_drum_bidisperse_size_ratio_1_585859_num_59.stat
