seed,rank,mean_validation_error,median_validation_error,maximum_validation_error,standard_deviation_error
11,3,0.009249075861339598,0.008788666273916855,0.020450413110046736,0.003377966585543435
11,4,0.009186560404298287,0.008496616667244888,0.02053874090026482,0.003461916732219285
11,6,0.009260861773760676,0.00822304190737,0.02073127103770133,0.0034974136810720963
11,8,0.009285698662659426,0.008629764457658097,0.020515436397236495,0.0032099375289834377
11,10,0.009561830273778481,0.008483920173673925,0.02197755233405352,0.0037561049703096322
23,3,0.009352195933783256,0.008890183603245751,0.020402604721020307,0.0035108773168760076
23,4,0.009196219903398438,0.008617935048596596,0.020353955682996503,0.003402235936789051
23,6,0.009157511370278716,0.008553502952106811,0.022080322476740927,0.0032931103522096956
23,8,0.009311243800652031,0.008808216631544514,0.020254029834017074,0.003275980080266354
23,10,0.010130710756783895,0.00844872701746206,0.02921681319061634,0.004711834085947338
37,3,0.009237029889506825,0.008266971152755119,0.020641861979359057,0.0034126473891035445
37,4,0.00930841682609796,0.008821293665391711,0.020355296741636924,0.0033135914751737873
37,6,0.00906928102475977,0.008495730322856554,0.02057765451889764,0.00326749644016872
37,8,0.009232106662377752,0.00876865911907948,0.020006519672526448,0.003258585408250282
37,10,0.009586522041470239,0.008844343039149842,0.02266073588502571,0.003329133461714354
53,3,0.009278406381484762,0.008524946884054972,0.02082771565926546,0.0035709068336242595
53,4,0.009288027608798434,0.00857082241258032,0.020241247959708747,0.003371672466244055
53,6,0.009152267163193612,0.008813225901840114,0.023183834156940253,0.003420720441861163
53,8,0.009263268468889427,0.008716044983822266,0.019915098169260365,0.0034350668195609773
53,10,0.0094741764763661,0.008499294937116146,0.022628393640389665,0.0036160231549785017
71,3,0.009232997262604363,0.008426668869354139,0.020427193809944625,0.0034513268240710473
71,4,0.009102812793521552,0.00839606284029535,0.02057309344769296,0.0033953161471918848
71,6,0.009471563131860984,0.008454126549030262,0.02057561616074232,0.003660622491082082
71,8,0.009452434734896235,0.008578218431195474,0.021407829165931265,0.003492369040177315
71,10,0.009649516156385369,0.008359102296482965,0.027360544449879592,0.003936039267491532
