size_ratio,relative_field_error,projection_error,exact_integrated_volume,predicted_integrated_volume,relative_volume_error,predicted_minimum,predicted_maximum,fraction_below_zero,fraction_below_minus_1e_6,fraction_below_minus_1e_5,fraction_above_one
1.0625,0.01527619829865854,0.007285230601806995,282.7468372814586,282.77168578292526,8.788250898064144e-05,-6.886185964313919e-07,0.34523021086923245,0.0431,0.0,0.0,0.0
1.125,0.01224698972970944,0.008066839663642607,282.75612401611096,282.7659024042061,3.458240959113998e-05,-1.5987463945768625e-06,0.40534166101976316,0.0586,0.0014,0.0,0.0
1.25,0.0077287339819807985,0.005675062944804406,282.75639803281877,282.75978610253645,1.1982291970255115e-05,-6.689682504467172e-07,0.47697579489977815,0.0451,0.0,0.0,0.0
1.3125,0.008037947472132092,0.0056697731883516966,282.76359574461804,282.75816202471515,1.9216476182471414e-05,-3.1617414270674316e-07,0.49876089066083396,0.0232,0.0,0.0,0.0
1.375,0.010357237126447765,0.00464729050374588,282.74353835179846,282.7570899682419,4.792900492956079e-05,-3.9825097737042874e-07,0.5132779910187995,0.0254,0.0,0.0,0.0
1.5,0.012674852366500391,0.0055869767573650695,282.76878011298646,282.75585674094424,4.570296634960788e-05,-6.980212497093534e-07,0.5261416796427469,0.0255,0.0,0.0,0.0
1.5625,0.007740492548920222,0.005067686062052388,282.75183881885954,282.7553178180757,1.2304072824739855e-05,-6.784850355697303e-07,0.529676241221634,0.0235,0.0,0.0,0.0
1.625,0.008281972191525485,0.004884215189672652,282.7526912721858,282.7547284474501,7.204795311044895e-06,-5.835219878846092e-07,0.5331372919612993,0.0201,0.0,0.0,0.0
1.75,0.0048596722165846285,0.0044415097839503375,282.75977137601086,282.7536705417085,2.1576033509489987e-05,-1.515266028812247e-07,0.5375315098610632,0.0123,0.0,0.0,0.0
1.875,0.0055296459117276705,0.004541012931461789,282.7534617309409,282.7532054699717,9.063053291238018e-07,-7.007360144657496e-08,0.5361955207538693,0.0096,0.0,0.0,0.0
