size_ratio,simulation_number,normalised_l1_separation,overlap_fraction,small_large_spatial_correlation,small_centre_x,small_centre_z,large_centre_x,large_centre_z,centre_of_mass_separation
1.0,1,0.04077342099619736,0.9592265963135228,0.9870825549794515,-12.202494726284927,-10.063979644707045,-12.245198679116207,-10.241783313551295,0.1828599798804866
1.010101,2,0.054282186685630784,0.9457447199647143,0.9768448952929208,-12.197543528988305,-10.0631320679197,-12.288008131304538,-10.221650479725204,0.1825155641406334
1.020202,3,0.06801768688193138,0.9320068706837917,0.9657179967648191,-12.184423556909884,-10.021063658228023,-12.319174971630325,-10.223218799992063,0.2429498818908939
1.030303,4,0.061643971938021465,0.9383853629240122,0.9691189226732502,-12.20580318303977,-10.014307012476266,-12.325794874438177,-10.208914705993585,0.22862668344001683
1.040404,5,0.0849631441924302,0.9150601097189005,0.9403365460919693,-12.210284627098803,-9.972182902339807,-12.326754849084343,-10.273157524369473,0.3227243959096709
1.050505,6,0.0997269769418318,0.9002957657524119,0.9288693880836966,-12.185752775292604,-9.964963069275862,-12.331196338965169,-10.262797201843854,0.33144984648707215
1.060606,7,0.11120827824962255,0.8887962974186743,0.9080025265617349,-12.204846384038378,-9.894513630770813,-12.375106675884862,-10.255571919299463,0.3991887457016887
1.070707,8,0.12320533996577578,0.8768078943370048,0.8866869027877935,-12.187350112056679,-9.911070233061062,-12.358689720665115,-10.2956223741083,0.4209959746388395
1.080808,9,0.1311895690984838,0.8688381346945482,0.8763863221050385,-12.182312850350906,-9.88622137261265,-12.377575390923944,-10.300671466303594,0.45814445310564356
1.090909,10,0.14273303131246182,0.8573019505803327,0.8407687772988081,-12.194887245768506,-9.827171528151016,-12.406751179223345,-10.295783153638661,0.5142792838926428
1.10101,11,0.15586476632408564,0.8441502448453617,0.8190467916441126,-12.202102196869184,-9.794685154734454,-12.418004349665772,-10.308199318964755,0.5570552364419041
1.111111,12,0.17273518093379478,0.827271270850998,0.7822911508586722,-12.20102367247896,-9.771238165643425,-12.442760205338244,-10.329230112870105,0.6081048959584605
1.121212,13,0.18346516212956526,0.816540261719243,0.7465356283858433,-12.169955590845111,-9.758912208019515,-12.458522730925536,-10.331026396344884,0.6407695676429949
1.131313,14,0.18607278897729715,0.8139605644388119,0.7433534247678681,-12.194646693133103,-9.737571730970886,-12.452236884997737,-10.355876302239443,0.6698158327454283
1.141414,15,0.19402365553221673,0.8059835680541977,0.7354912468526309,-12.189626617898483,-9.736699257306736,-12.471371646342496,-10.343895300400764,0.6693782905069166
1.151515,16,0.21421971150923189,0.7857807800920218,0.6801492220656744,-12.158964057895716,-9.71918970196469,-12.485470838140433,-10.380618196118094,0.7376275011303559
1.161616,17,0.21800178950126722,0.7820282267004109,0.6717026521095323,-12.164277306144157,-9.70742459012624,-12.475239420949103,-10.380459052371714,0.7413992340257831
1.171717,18,0.23635024577106992,0.7636697182941051,0.6402475713596666,-12.189239983882768,-9.67224562479254,-12.510708235860056,-10.39136520229823,0.7877022304026414
1.181818,19,0.24369595063624855,0.7563557928816067,0.6068840776619078,-12.155256156611228,-9.67198726171616,-12.489968964466547,-10.444097341793004,0.8415382578936398
1.191919,20,0.2580255426668576,0.7420202031272309,0.5756372805920624,-12.1758501290851,-9.623913002728836,-12.520084957288004,-10.435042884641701,0.8811522582844931
1.20202,21,0.25879744781152614,0.741209515228202,0.5725417683562931,-12.161139981859518,-9.631518328500569,-12.504961792787213,-10.446755505536176,0.8847740347063682
1.212121,22,0.2611848551891313,0.7388200088194067,0.5749798732834889,-12.141719826039475,-9.655024047035509,-12.511699822302036,-10.468873655682252,0.8940002142778835
1.222222,23,0.2908912565615807,0.7091125042568386,0.4921355914858148,-12.142880894962559,-9.606866210375518,-12.522112424112049,-10.49762961204088,0.9681301516054064
1.232323,24,0.28298760103595716,0.7170562616811772,0.5120703554477828,-12.118762865951002,-9.6512611177497,-12.524204714513644,-10.500548222238828,0.9411013114523966
1.242424,25,0.3060597199934185,0.6939643466663918,0.47314211629686614,-12.13791455825227,-9.581342800361485,-12.5638408174904,-10.48304201205736,0.9972334965701617
1.252525,26,0.30874172776682446,0.6913009386200564,0.47028292240014713,-12.118980895107887,-9.603995060371243,-12.531397078448919,-10.530405138784738,1.0140624939655747
1.262626,27,0.3293526575634816,0.6706581902153901,0.407238346651201,-12.1144921444166,-9.569131658537179,-12.558524905971362,-10.557993307976574,1.0839799145122335
1.272727,28,0.3228663939351422,0.6771654605394878,0.4116523520929309,-12.100551905339739,-9.589407277772954,-12.544651332315576,-10.555232362721998,1.0630345223731426
1.282828,29,0.3342312347349407,0.6658321219623832,0.40367717988507185,-12.1001779098919,-9.576004511304788,-12.552884797641997,-10.55440918453796,1.0780627211906038
1.292929,30,0.3508772658656813,0.6491683418095571,0.3686379664236958,-12.091063130213405,-9.558095068686557,-12.559875655293457,-10.588906029043326,1.1324117712491242
1.30303,31,0.3631657957007477,0.6368660200715235,0.33405307759862224,-12.104835143552714,-9.53289656238036,-12.559627048738827,-10.620934032614343,1.1792629959665404
1.313131,32,0.36223406106082656,0.6377800413501393,0.32241484894410827,-12.07337845832181,-9.578082643073747,-12.570925777834256,-10.63401196213419,1.1672789135444324
1.323232,33,0.3770108604702449,0.6230153750780507,0.30433717409764866,-12.104349722871783,-9.519683747134742,-12.59333094177624,-10.621769379485377,1.2056929018099867
1.333333,34,0.37240544224166283,0.6276127828225793,0.3115137529932839,-12.097189370985625,-9.550964679811766,-12.557665187970827,-10.636016108055486,1.17871734523673
1.343434,35,0.3774324930961003,0.622579599657889,0.3003600139939145,-12.07030676547782,-9.56364022960367,-12.555154726435264,-10.672158073252088,1.2099129534522428
1.353535,36,0.3939400356261064,0.6060889463701356,0.264515542970033,-12.07493480823843,-9.532432175547289,-12.575436010927746,-10.67629047429258,1.248564480314062
1.363636,37,0.39950321332901084,0.6005501901649958,0.27614853184193144,-12.083724685576732,-9.532660018137813,-12.563610911906888,-10.70461116539637,1.2663965736616818
1.373737,38,0.40968796244932026,0.5903410044520149,0.24430512344674907,-12.062182294714692,-9.539588909796256,-12.571580945134068,-10.72304318782936,1.2884296694984698
1.383838,39,0.41231988126838953,0.5877138251610025,0.2554588111937496,-12.067474565064055,-9.519211402568779,-12.566584403921947,-10.708266112981406,1.28955873677751
1.393939,40,0.42221758130113246,0.577807533788682,0.21706920490209106,-12.080267887816841,-9.499461122642678,-12.59901452887021,-10.717697026304451,1.3240833790115973
1.40404,41,0.4277774548538818,0.5722570996857624,0.19905658961448472,-12.089363652833185,-9.489423312447189,-12.600944011032638,-10.723905047718052,1.3362857544750084
1.414141,42,0.42838015031951565,0.5716617234715052,0.21445905991395967,-12.07654697457729,-9.506451697047039,-12.594359414571924,-10.71428939934457,1.3141543433343654
1.424242,43,0.4204487925202003,0.5796158918757827,0.22497984510126987,-12.076718964110851,-9.482395831252258,-12.584006318427447,-10.725313734392346,1.3424549801746362
1.434343,44,0.4398300382759358,0.5601940604444126,0.1840514539720976,-12.065385175698028,-9.511253150372038,-12.599485567904033,-10.76128331293462,1.359352285565019
1.444444,45,0.4486817468932723,0.5513325926793793,0.17766678518523374,-12.061952413016659,-9.503318422363966,-12.56056295676865,-10.811252372374847,1.3997512964565244
1.454545,46,0.45060129571394275,0.5494272618894863,0.1928631915705304,-12.080438692964133,-9.479937144067579,-12.590906251196817,-10.794482627023312,1.4101797597353891
