split,data_group,filename,extension,logical_size_bytes,relative_path,logical_size_MiB,size_ratio,simulation_number,parameter_parsed,cg_experiment,source_simulation,window_number,start_time,end_time
training,CG_windows,rotating_drum_bidisperse_size_ratio_1_000000.1_w1.stat,.stat,1341706,bidisperse_mixtures/CG_windows/rotating_drum_bidisperse_size_ratio_1_000000.1_w1.stat,1.279550552368164,1.0,,False,numbered_windows,1,1,,
training,CG_windows,rotating_drum_bidisperse_size_ratio_1_000000.1_w2.stat,.stat,1350651,bidisperse_mixtures/CG_windows/rotating_drum_bidisperse_size_ratio_1_000000.1_w2.stat,1.288081169128418,1.0,,False,numbered_windows,1,2,,
training,CG_windows,rotating_drum_bidisperse_size_ratio_1_000000.1_w3.stat,.stat,1343906,bidisperse_mixtures/CG_windows/rotating_drum_bidisperse_size_ratio_1_000000.1_w3.stat,1.2816486358642578,1.0,,False,numbered_windows,1,3,,
training,CG_windows,rotating_drum_bidisperse_size_ratio_1_000000.1_w4.stat,.stat,1345708,bidisperse_mixtures/CG_windows/rotating_drum_bidisperse_size_ratio_1_000000.1_w4.stat,1.2833671569824219,1.0,,False,numbered_windows,1,4,,
training,CG_windows,rotating_drum_bidisperse_size_ratio_1_000000.1_w5.stat,.stat,1348363,bidisperse_mixtures/CG_windows/rotating_drum_bidisperse_size_ratio_1_000000.1_w5.stat,1.2858991622924805,1.0,,False,numbered_windows,1,5,,
training,CG_windows,rotating_drum_bidisperse_size_ratio_1_000000.1_w6.stat,.stat,1331108,bidisperse_mixtures/CG_windows/rotating_drum_bidisperse_size_ratio_1_000000.1_w6.stat,1.2694435119628906,1.0,,False,numbered_windows,1,6,,
training,CG_windows,rotating_drum_bidisperse_size_ratio_1_000000.1_w7.stat,.stat,1336001,bidisperse_mixtures/CG_windows/rotating_drum_bidisperse_size_ratio_1_000000.1_w7.stat,1.2741098403930664,1.0,,False,numbered_windows,1,7,,
training,CG_windows,rotating_drum_bidisperse_size_ratio_1_000000.1_w8.stat,.stat,1332012,bidisperse_mixtures/CG_windows/rotating_drum_bidisperse_size_ratio_1_000000.1_w8.stat,1.2703056335449219,1.0,,False,numbered_windows,1,8,,
training,CG_windows,rotating_drum_bidisperse_size_ratio_1_000000.1_w9.stat,.stat,1337330,bidisperse_mixtures/CG_windows/rotating_drum_bidisperse_size_ratio_1_000000.1_w9.stat,1.2753772735595703,1.0,,False,numbered_windows,1,9,,
training,CG_windows,rotating_drum_bidisperse_size_ratio_1_000000.1_w10.stat,.stat,1340189,bidisperse_mixtures/CG_windows/rotating_drum_bidisperse_size_ratio_1_000000.1_w10.stat,1.2781038284301758,1.0,,False,numbered_windows,1,10,,
