model,rank,method,evaluation_role,heldout_position,source_index,size_ratio,projection_error_percent,coefficient_error_percent,rom_error_percent,pythagorean_residual
validation_selected_rank,6,piecewise_linear,fitting_loo,1,1,1.010101,0.9105354575241457,1.4033374878528198,1.6728511363004703,6.776263578034403e-19
validation_selected_rank,6,piecewise_linear,fitting_loo,2,2,1.020202,0.5929461257495774,1.6637862663168235,1.7662870231154193,2.0057740190981832e-18
validation_selected_rank,6,piecewise_linear,fitting_loo,3,3,1.030303,0.592262090990205,1.846702336082763,1.9393514128485612,8.673617379884035e-18
validation_selected_rank,6,piecewise_linear,fitting_loo,4,4,1.040404,0.6625982524553792,1.1161314733085985,1.2979930315170911,-1.6805133673525319e-18
validation_selected_rank,6,piecewise_linear,fitting_loo,5,6,1.060606,0.8412934606039757,0.6919628966854762,1.0893058970024851,2.0599841277224584e-18
validation_selected_rank,6,piecewise_linear,fitting_loo,6,7,1.070707,0.5036708833710041,1.0101404625079171,1.128746257026537,-1.9109063290057016e-18
validation_selected_rank,6,piecewise_linear,fitting_loo,7,9,1.090909,0.45887632108415943,1.1247882956428308,1.2147905943276205,1.7076184216646695e-18
validation_selected_rank,6,piecewise_linear,fitting_loo,8,10,1.10101,0.6457846038043286,0.6973714223705447,0.9504549727629569,2.710505431213761e-19
validation_selected_rank,6,piecewise_linear,fitting_loo,9,11,1.111111,0.7278307320640548,0.5739616970654462,0.9269140220296256,-7.928228386300251e-19
validation_selected_rank,6,piecewise_linear,fitting_loo,10,12,1.121212,0.8808729646721035,1.1100133624620683,1.4170627525746906,-9.486769009248164e-19
validation_selected_rank,6,piecewise_linear,fitting_loo,11,13,1.131313,0.6000761679028763,0.7041559955776866,0.9251632685061647,5.89534931288993e-19
validation_selected_rank,6,piecewise_linear,fitting_loo,12,14,1.141414,0.7221331605007077,1.5114108967231188,1.675063939146248,2.3310346708438345e-18
validation_selected_rank,6,piecewise_linear,fitting_loo,13,15,1.151515,0.4822133619459863,1.839717743450489,1.90186516399185,-6.342582709040201e-18
validation_selected_rank,6,piecewise_linear,fitting_loo,14,16,1.161616,0.619088846210787,1.0829976121336056,1.2474593489928674,1.328147661294743e-18
validation_selected_rank,6,piecewise_linear,fitting_loo,15,17,1.171717,0.6126133923753077,0.599829788000173,0.8573744474206745,-8.131516293641283e-19
validation_selected_rank,6,piecewise_linear,fitting_loo,16,18,1.181818,0.674928878863484,0.7028594164862251,0.9744436109223131,4.0115480381963664e-18
validation_selected_rank,6,piecewise_linear,fitting_loo,17,19,1.191919,0.7643931362053072,1.4199006867807535,1.6125801769208767,-7.508100044462118e-18
validation_selected_rank,6,piecewise_linear,fitting_loo,18,20,1.20202,0.5944376368496731,1.1461570254285636,1.291135945995892,3.0357660829594124e-18
validation_selected_rank,6,piecewise_linear,fitting_loo,19,21,1.212121,0.6601019965587553,1.7724862203347462,1.8914127120058755,1.1384122811097797e-18
validation_selected_rank,6,piecewise_linear,fitting_loo,20,22,1.222222,0.5908439924109983,2.1917495345294875,2.2699917721168785,-6.613633252161577e-18
