model,rank,method,evaluation_role,case_index,source_index,simulation_number,size_ratio,truth_norm,projection_error_percent,coefficient_error_percent,rom_error_percent,pythagorean_residual,integral_error_percent,minimum_prediction,maximum_prediction,fraction_phi_lt_threshold_percent,fraction_phi_gt_one_percent,filename
validation_selected_rank,6,frozen_nn,fitting,0,0,1,1.0,12.534418235102383,0.6124280116773605,0.8577058656302178,1.0539105376755482,-3.2526065174565133e-19,0.04285908849751306,-3.07049320756208e-06,0.29319581784296467,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_000000_num_1.stat
validation_selected_rank,6,frozen_nn,fitting,1,1,2,1.010101,12.524596526960545,0.9105354575241453,1.0582637167975741,1.3960647956663486,2.846030702774449e-19,0.027655182997572393,-2.454230447841668e-06,0.29928192878607845,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_010101_num_2.stat
validation_selected_rank,6,frozen_nn,fitting,2,2,3,1.020202,12.554494000906189,0.592946125749577,1.0914553293724678,1.24211909415201,1.4907779871675686e-18,0.013390844907438706,-1.938178057278174e-06,0.3067243157327667,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_020202_num_3.stat
validation_selected_rank,6,frozen_nn,fitting,3,3,4,1.030303,12.539806988972247,0.5922620909902053,1.5598044477906914,1.6684616566681367,6.993104012531504e-18,-0.005220942951171236,-1.4361963469461493e-06,0.31573159573393395,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_030303_num_4.stat
validation_selected_rank,6,frozen_nn,fitting,4,4,5,1.040404,12.590767314087513,0.6625982524553792,0.6925372728593364,0.9584593462721126,-3.9302328752599536e-19,-0.018769619058833908,-9.479162192918133e-07,0.3251574513112736,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_040404_num_5.stat
validation_selected_rank,6,frozen_nn,fitting,5,6,7,1.060606,12.627659554902852,0.8412934606039755,0.6303888890209327,1.0512682047204034,1.0842021724855044e-19,-0.018638443222660308,-3.9662683480397993e-07,0.3446580459094824,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_060606_num_7.stat
validation_selected_rank,6,frozen_nn,fitting,6,7,8,1.070707,12.672868783094982,0.5036708833710044,0.9506598353927014,1.075843149062438,-2.2632720350634905e-18,-0.02874292394375093,-4.762647165456748e-07,0.35423204609467274,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_070707_num_8.stat
validation_selected_rank,6,frozen_nn,fitting,7,9,10,1.090909,12.723670047354258,0.45887632108415977,0.7814169676285969,0.9061898009521033,8.131516293641283e-19,-0.02072290271537452,-5.962377752187617e-07,0.37313908643893595,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_090909_num_10.stat
validation_selected_rank,6,frozen_nn,fitting,8,10,11,1.10101,12.762901664468703,0.6457846038043286,0.33722766092900536,0.7285329435285345,-1.1045309632196076e-18,-0.014901330866123573,-7.98731382935523e-07,0.38240980279255343,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_101010_num_11.stat
validation_selected_rank,6,frozen_nn,fitting,9,11,12,1.111111,12.822783290795366,0.7278307320640548,0.8652230288696737,1.1306407317195428,-7.318364664277155e-19,-0.012486583507224501,-1.0385057232488117e-06,0.39148795097117134,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_111111_num_12.stat
validation_selected_rank,6,frozen_nn,fitting,10,12,13,1.121212,12.857572791713086,0.8808729646721037,1.2017682134072345,1.490028193909842,-1.1926223897340549e-18,-0.008945018847208195,-1.255388597824193e-06,0.4002837030769348,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_121212_num_13.stat
validation_selected_rank,6,frozen_nn,fitting,11,13,14,1.131313,12.862207109867983,0.6000761679028767,0.39263232083757965,0.7171133429600461,2.727446090158847e-18,0.004029407429273314,-1.4445904372721011e-06,0.408775210892413,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_131313_num_14.stat
validation_selected_rank,6,frozen_nn,fitting,12,14,15,1.141414,12.879957259964085,0.722133160500708,1.171211377266312,1.375940548037165,2.1141942363467336e-18,0.0009994923765843226,-1.601672450857717e-06,0.41694179668591197,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_141414_num_15.stat
validation_selected_rank,6,frozen_nn,fitting,13,15,16,1.151515,12.991081996788521,0.4822133619459876,0.8880167950020856,1.0104966871024368,-2.8324781756183803e-18,0.004439834735883755,-1.722604140542278e-06,0.4247642861852969,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_151515_num_16.stat
validation_selected_rank,6,frozen_nn,fitting,14,16,17,1.161616,12.984597574060377,0.6190888462107866,0.9109867054397652,1.1014389574509382,9.0801931945661e-19,0.004997337845703985,-1.8038207339626283e-06,0.4322253455129453,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_161616_num_17.stat
validation_selected_rank,6,frozen_nn,fitting,15,17,18,1.171717,13.069509737471007,0.6126133923753069,0.760633735471371,0.9766569756340833,1.0842021724855044e-19,0.010607759900031004,-1.8422792711465793e-06,0.4393098142347965,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_171717_num_18.stat
validation_selected_rank,6,frozen_nn,fitting,16,18,19,1.181818,13.113126310068756,0.6749288788634847,0.286482229514705,0.7332128335972027,2.642742795433417e-19,0.014836935741523314,-1.835511779301729e-06,0.44600502556814425,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_181818_num_19.stat
validation_selected_rank,6,frozen_nn,fitting,17,19,20,1.191919,13.193589080137826,0.764393136205306,1.0641768610497166,1.310255417188329,-4.946672411965114e-18,0.014016156999322241,-1.781673701063404e-06,0.4523011038061991,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_191919_num_20.stat
validation_selected_rank,6,frozen_nn,fitting,18,20,21,1.20202,13.190163774841318,0.5944376368496735,0.8883286067076683,1.068870346486721,3.1712913545201005e-18,0.01054530671910383,-1.6795855252990514e-06,0.4581912282482557,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_202020_num_21.stat
