model,rank,method,evaluation_role,case_count,mean_projection_error_percent,mean_coefficient_error_percent,mean_rom_error_percent,median_rom_error_percent,maximum_rom_error_percent,mean_absolute_integral_error_percent,minimum_prediction,maximum_prediction,maximum_fraction_phi_lt_threshold_percent,maximum_fraction_phi_gt_one_percent,maximum_pythagorean_residual
paper_rank15,15,frozen_nn,external,10,0.36116830204825934,0.7736908301540416,0.8598677038134133,0.8254669534598715,1.449864490091903,0.013017900453280945,-3.329090392212977e-06,0.5380274272264752,0.0,0.0,5.434563389583591e-18
paper_rank15,15,frozen_nn,fitting,90,0.29680864173985255,0.7616885838797166,0.8217467056056492,0.7623696232805197,1.566439252523711,0.01093391680590636,-4.029071318581744e-06,0.5391445669141215,0.0,0.0,9.2970336290632e-18
paper_rank15,15,frozen_nn,internal_validation,10,0.3235948598230014,0.9725731554925753,1.0326288199122038,0.954518133765935,1.9654877842373755,0.011528270922184392,-3.2925388560504143e-06,0.5328007161490326,0.0,0.0,8.673617379884035e-18
paper_rank15,15,pchip,external,10,0.36116830204825934,0.9390270396054134,1.0117588504622606,0.8747725469549397,2.0635340946289857,0.006119523969246192,-1.0506133117886652e-05,0.538061407444071,0.0,0.0,6.911788849595091e-18
paper_rank15,15,pchip,fitting,90,0.29680864173985255,3.7506967939768735e-16,0.29680864173985255,0.29027454993422547,0.45594357534554514,0.009065134930996248,-2.171504352985459e-05,0.5400977806599979,0.0,0.0,2.032879073410431e-20
paper_rank15,15,pchip,internal_validation,10,0.3235948598230014,1.1494131840127308,1.2001883426295947,1.1315370565408678,2.264182503726313,0.0063863653451049955,-1.1496562146267052e-05,0.5332920524271835,0.0,0.0,8.05020113070487e-18
paper_rank15,15,piecewise_linear,external,10,0.36116830204825934,0.8956250154823916,0.9725201128942886,0.8685935084436491,1.9915775625613898,0.007038112819779415,-9.130397681435136e-06,0.5380141028549413,0.0,0.0,7.074419175467916e-18
paper_rank15,15,piecewise_linear,fitting,90,0.29680864173985255,4.259201780445175e-16,0.29680864173985255,0.29027454993422547,0.45594357534554514,0.009065134930996248,-2.171504352985459e-05,0.5400977806599979,0.0,0.0,2.8799120206647307e-20
paper_rank15,15,piecewise_linear,internal_validation,10,0.3235948598230014,1.1173525782093474,1.1687888898627772,1.0878084963844357,2.2116803535209133,0.00866982593711088,-1.0528116593303868e-05,0.5331603182287,0.0,0.0,8.61940727125976e-18
validation_selected_rank,6,frozen_nn,external,10,0.5333208527841324,0.6510692056909007,0.8578501575244903,0.8143109729288709,1.32850392085006,0.009268264092401638,-1.3298322080818913e-06,0.5376565214047758,0.0,0.0,6.139294801699169e-18
validation_selected_rank,6,frozen_nn,fitting,90,0.5139796015806459,0.6376208618697237,0.8322170290832656,0.7801159654343324,1.6684616566681367,0.012817026471904313,-3.07049320756208e-06,0.5398430300983695,0.0,0.0,8.321251673826247e-18
validation_selected_rank,6,frozen_nn,internal_validation,10,0.596119291378195,0.8132383035119084,1.0187103306887637,0.9568432760306835,1.9058406526792586,0.007888403981731526,-5.532638345994996e-07,0.5331742757009954,0.0,0.0,8.51098705401121e-18
validation_selected_rank,6,pchip,external,10,0.5333208527841324,0.744098726817374,0.9308262687819641,0.8201047033712716,1.840082335130312,0.010269633064496454,-2.0113636217091686e-06,0.5374871269109981,0.0,0.0,6.667843360785852e-18
validation_selected_rank,6,pchip,fitting,90,0.5139796015806459,7.21726744351615e-16,0.5139796015806459,0.4929216092364543,0.9105354575241453,0.025806183613083192,-8.210912218204738e-06,0.5409086341887884,0.0,0.0,3.049318610115119e-20
validation_selected_rank,6,pchip,internal_validation,10,0.596119291378195,0.9368295650841179,1.1249940890022132,1.141501686025855,2.12716595914655,0.016724187788645397,-1.66849073426019e-06,0.533130259834022,0.0,0.0,8.809142651444724e-18
validation_selected_rank,6,piecewise_linear,external,10,0.5333208527841324,0.7059416475167766,0.903361946563739,0.8022556505865406,1.8041753077471034,0.00967257700683809,-1.8200103838254262e-06,0.5374100086697995,0.0,0.0,6.5865281978494394e-18
validation_selected_rank,6,piecewise_linear,fitting,90,0.5139796015806459,7.548639461611846e-16,0.5139796015806459,0.4929216092364543,0.9105354575241451,0.02580618361308297,-8.210912218204738e-06,0.5409086341887884,0.0,0.0,3.0493186101151195e-20
validation_selected_rank,6,piecewise_linear,internal_validation,10,0.596119291378195,0.9201783121600624,1.1025386967497233,1.071530851718457,2.077907554756917,0.015397885277475518,-1.4703961180681042e-06,0.5331313679566099,0.0,0.0,7.643625316022806e-18
