model,rank,method,evaluation_role,case_index,source_index,simulation_number,size_ratio,mode,absolute_coefficient_error,field_normalised_error_percent
validation_selected_rank,6,frozen_nn,fitting,0,0,1,1.0,1,0.011562209604550233,0.09224368764216356
validation_selected_rank,6,frozen_nn,fitting,0,0,1,1.0,2,0.0020514468281431775,0.016366510113713473
validation_selected_rank,6,frozen_nn,fitting,0,0,1,1.0,3,0.04332984212370283,0.3456869023434888
validation_selected_rank,6,frozen_nn,fitting,0,0,1,1.0,4,0.04382143769929511,0.349608867977407
validation_selected_rank,6,frozen_nn,fitting,0,0,1,1.0,5,0.053973576431701614,0.43060296392974756
validation_selected_rank,6,frozen_nn,fitting,0,0,1,1.0,6,0.06862383743482564,0.5474832269649818
validation_selected_rank,6,frozen_nn,fitting,1,1,2,1.010101,1,0.010427240546572847,0.08325410342861814
validation_selected_rank,6,frozen_nn,fitting,1,1,2,1.010101,2,0.051111637094802376,0.4080900888486033
validation_selected_rank,6,frozen_nn,fitting,1,1,2,1.010101,3,0.0025593740845200053,0.02043478270146808
validation_selected_rank,6,frozen_nn,fitting,1,1,2,1.010101,4,0.05926185406344017,0.4731637776584071
validation_selected_rank,6,frozen_nn,fitting,1,1,2,1.010101,5,0.0858023091309219,0.6850704447542336
validation_selected_rank,6,frozen_nn,fitting,1,1,2,1.010101,6,0.0629764652505488,0.5028223074091461
validation_selected_rank,6,frozen_nn,fitting,2,2,3,1.020202,1,0.027622184288079055,0.22001830010899104
validation_selected_rank,6,frozen_nn,fitting,2,2,3,1.020202,2,0.06851324643442336,0.5457268642565606
validation_selected_rank,6,frozen_nn,fitting,2,2,3,1.020202,3,0.0855578546949678,0.6814918601163232
validation_selected_rank,6,frozen_nn,fitting,2,2,3,1.020202,4,0.015530456653355479,0.12370436157948289
validation_selected_rank,6,frozen_nn,fitting,2,2,3,1.020202,5,0.03855793764081916,0.3071245853320415
validation_selected_rank,6,frozen_nn,fitting,2,2,3,1.020202,6,0.06535448482146641,0.5205664586461956
validation_selected_rank,6,frozen_nn,fitting,3,3,4,1.030303,1,0.08521531280897854,0.6795584085458298
validation_selected_rank,6,frozen_nn,fitting,3,3,4,1.030303,2,0.1679685828285029,1.3394829998278106
validation_selected_rank,6,frozen_nn,fitting,3,3,4,1.030303,3,0.0025148063469593307,0.02005458576173382
validation_selected_rank,6,frozen_nn,fitting,3,3,4,1.030303,4,0.027853822627228048,0.22212321650343778
validation_selected_rank,6,frozen_nn,fitting,3,3,4,1.030303,5,0.03672596576166441,0.2928750481882373
validation_selected_rank,6,frozen_nn,fitting,3,3,4,1.030303,6,0.025532868292532623,0.2036145238518163
validation_selected_rank,6,frozen_nn,fitting,4,4,5,1.040404,1,0.0034474175983092437,0.027380520283716223
validation_selected_rank,6,frozen_nn,fitting,4,4,5,1.040404,2,0.02745190095443384,0.21803199336166393
validation_selected_rank,6,frozen_nn,fitting,4,4,5,1.040404,3,0.06034040940103125,0.4792433050011002
validation_selected_rank,6,frozen_nn,fitting,4,4,5,1.040404,4,0.024420188004968042,0.19395313562537903
