model,rank,method,evaluation_role,mode,case_count,mean_absolute_coefficient_error,median_absolute_coefficient_error,maximum_absolute_coefficient_error,mean_field_normalised_error_percent,median_field_normalised_error_percent,maximum_field_normalised_error_percent
paper_rank15,15,frozen_nn,external,1,10,0.02668469614745774,0.025672425520880893,0.05705178773824926,0.19577352854635668,0.18180953754611423,0.40773094775070823
paper_rank15,15,frozen_nn,external,2,10,0.03935095778126109,0.03536013417438372,0.07680535950177103,0.287638926328311,0.2615578969940461,0.5648443224934155
paper_rank15,15,frozen_nn,external,3,10,0.0400070616865373,0.029334483067936637,0.10758465730193995,0.29038636380575433,0.20558490598078755,0.8502347474852382
paper_rank15,15,frozen_nn,external,4,10,0.02574342460835209,0.016712525559186703,0.09497790403926828,0.18973387681491932,0.1180754762749473,0.7506043731762514
paper_rank15,15,frozen_nn,external,5,10,0.032325510923107134,0.02280954449210703,0.06544140309613247,0.23344399883487627,0.16633326127096132,0.5079789382613211
paper_rank15,15,frozen_nn,external,6,10,0.02168989604240959,0.01954760786811323,0.04173064963270603,0.1558802607430343,0.13487125862984267,0.32392782077482685
paper_rank15,15,frozen_nn,external,7,10,0.022699149822969857,0.022326384927375334,0.046689599065542826,0.16563529600884438,0.16415892497785048,0.3689849507097236
paper_rank15,15,frozen_nn,external,8,10,0.02623910666970395,0.02336030047465753,0.0510786551396982,0.18493968208185096,0.16434113235297892,0.33722586213538464
paper_rank15,15,frozen_nn,external,9,10,0.019437930079778926,0.023030791766420044,0.03699459273053633,0.13578152803808444,0.16774475953002435,0.25315646100368566
paper_rank15,15,frozen_nn,external,10,10,0.013258187489538938,0.008346711677652356,0.043394784430115824,0.09644578810706661,0.058097521849569844,0.3368454140340995
paper_rank15,15,frozen_nn,external,11,10,0.014346097103696697,0.01144753246674363,0.039859401253613695,0.10591974174723758,0.07970614794746698,0.30940253983856403
paper_rank15,15,frozen_nn,external,12,10,0.008861100714660331,0.0052868169834050256,0.038042679736949955,0.06579694310097073,0.03562313955093649,0.3006488937268213
paper_rank15,15,frozen_nn,external,13,10,0.01131542106317989,0.011258152505733077,0.02548605180045916,0.08221392349761954,0.075679496370219,0.20141465670280442
paper_rank15,15,frozen_nn,external,14,10,0.008985299719743557,0.00994895363321351,0.014496477451017826,0.0643433503095848,0.0707578267549335,0.10814146431781992
paper_rank15,15,frozen_nn,external,15,10,0.01183241264180289,0.010995901385949504,0.02575225331537542,0.08608701597681369,0.07400378574598554,0.1998979495865073
paper_rank15,15,frozen_nn,fitting,1,90,0.023211959330736755,0.019098173518438344,0.07657395820287505,0.16635163455404475,0.12920013965082588,0.6086594800927554
paper_rank15,15,frozen_nn,fitting,2,90,0.04401434606598735,0.037308282900503975,0.15448895495455428,0.3142677668403107,0.25383832534732204,1.2319883000624723
paper_rank15,15,frozen_nn,fitting,3,90,0.02771407782540985,0.022380641550340225,0.10418280895633036,0.19831979703414282,0.15379807141979118,0.8220933297700153
paper_rank15,15,frozen_nn,fitting,4,90,0.025833115569791787,0.020897173988107927,0.08504516096491374,0.18574013247046445,0.14697255526149788,0.6602907078680079
paper_rank15,15,frozen_nn,fitting,5,90,0.03573497576645522,0.03339832343151275,0.08680282605699309,0.2538576349439908,0.2302710692928058,0.6817821294904695
paper_rank15,15,frozen_nn,fitting,6,90,0.027722675212370266,0.02608176689721084,0.07627262185797776,0.1969753302325341,0.17971592414301846,0.6085054800898364
paper_rank15,15,frozen_nn,fitting,7,90,0.024501116834768636,0.025536547630290077,0.06434209535606349,0.1734258862606218,0.17686791505490174,0.4518448284576529
paper_rank15,15,frozen_nn,fitting,8,90,0.021975448642819174,0.018847780310999714,0.06911479715431794,0.156519956634307,0.125805155923028,0.5375415583792265
paper_rank15,15,frozen_nn,fitting,9,90,0.02037059023240099,0.018352247087312305,0.061154349927684135,0.14351252815968682,0.12711583213001137,0.40425390623094876
paper_rank15,15,frozen_nn,fitting,10,90,0.013778015441002855,0.011955844228976964,0.047696927178575405,0.0994955345442524,0.08306819676380156,0.3709636954909316
paper_rank15,15,frozen_nn,fitting,11,90,0.012187205980845082,0.011837398021478505,0.03670389201409023,0.08673073357538229,0.08123774914002901,0.2751219874437361
paper_rank15,15,frozen_nn,fitting,12,90,0.01136105156336362,0.00968198756966487,0.04234307254687805,0.0810133610606375,0.06687338124291174,0.3209367238109838
paper_rank15,15,frozen_nn,fitting,13,90,0.010645176697377782,0.008943760132937231,0.0366723917889206,0.07537097700425735,0.06349439778478888,0.2724220719869967
paper_rank15,15,frozen_nn,fitting,14,90,0.010339403236262392,0.009287366208736367,0.03283883806180581,0.07366158416719454,0.061037669466497815,0.26005482582919104
paper_rank15,15,frozen_nn,fitting,15,90,0.008915772991781134,0.007317186157056094,0.03770646277769715,0.06364928855637852,0.05074866519543027,0.2940583329109535
paper_rank15,15,frozen_nn,internal_validation,1,10,0.02567816558984415,0.017457231653997596,0.08887494424874554,0.1860859646218014,0.132747447485417,0.6284638554086565
paper_rank15,15,frozen_nn,internal_validation,2,10,0.04442037875535667,0.031057776893228972,0.16097287308685707,0.3187986679107259,0.24556998397903473,1.1382919369629028
paper_rank15,15,frozen_nn,internal_validation,3,10,0.03943439287381047,0.027869555030090493,0.08443721230138268,0.2883588556841591,0.20431950986452146,0.6692623572547418
paper_rank15,15,frozen_nn,internal_validation,4,10,0.04234521322049688,0.03161952827294667,0.145847457923732,0.3174016129579711,0.22727320693587233,1.1560094279433033
paper_rank15,15,frozen_nn,internal_validation,5,10,0.040359914861140794,0.024610370429905576,0.08733501718076711,0.2947849200527752,0.17255586842146597,0.6337732492892197
paper_rank15,15,frozen_nn,internal_validation,6,10,0.034361739393786846,0.02235349912659825,0.1107335306090137,0.25622964444245133,0.15566747397647787,0.8776910286664574
paper_rank15,15,frozen_nn,internal_validation,7,10,0.03127320404800592,0.03615370849177617,0.06564391896566185,0.22991677076696293,0.2614324429384663,0.5203038180558064
paper_rank15,15,frozen_nn,internal_validation,8,10,0.02664879496822123,0.019052310983467456,0.07042561325590609,0.19361275829652622,0.1335753865331976,0.5582042639035193
paper_rank15,15,frozen_nn,internal_validation,9,10,0.024663407061186325,0.020776825120406912,0.092348791630215,0.1734324451349708,0.14945538823928617,0.6530285686347959
paper_rank15,15,frozen_nn,internal_validation,10,10,0.025543635571792473,0.02232346987307635,0.06603382315649078,0.18721259500262183,0.15585054460987013,0.523394258760152
paper_rank15,15,frozen_nn,internal_validation,11,10,0.01974435032666081,0.01741978498587244,0.04040979590620253,0.14391265938510261,0.12336013643209043,0.2932460367137611
paper_rank15,15,frozen_nn,internal_validation,12,10,0.00814025589830766,0.004639457219276815,0.03214148965158708,0.0614646194605583,0.03304651148320794,0.254758400278781
paper_rank15,15,frozen_nn,internal_validation,13,10,0.013566879415187093,0.014317800367606607,0.02146081411842371,0.09887212823145951,0.10308831625991599,0.17010172001221907
paper_rank15,15,frozen_nn,internal_validation,14,10,0.009101450664103162,0.0106238344231813,0.015077397041507139,0.06526721369822311,0.07258093994338244,0.11782184481145515
paper_rank15,15,frozen_nn,internal_validation,15,10,0.012837968639259572,0.012116018083867745,0.02277761677225377,0.09346630981000734,0.08781381685614648,0.18053890077792248
paper_rank15,15,pchip,external,1,10,0.027590654324019505,0.029948994350804448,0.0432423784384568,0.19934927030551647,0.22524119362513695,0.3225814092230874
paper_rank15,15,pchip,external,2,10,0.03955810304180653,0.04825272070614406,0.06314737825512662,0.28219084709149195,0.34359478455072556,0.471069608145473
paper_rank15,15,pchip,external,3,10,0.05042227876112071,0.03482109307060105,0.13624601153155985,0.36543595916288973,0.24408418975958052,1.0767436186118504
paper_rank15,15,pchip,external,4,10,0.0385019843047804,0.029846664995820046,0.15126338265982434,0.28802526096705866,0.22006235720198342,1.195424953565564
paper_rank15,15,pchip,external,5,10,0.03200337057173064,0.027650668128655964,0.06987306357121542,0.22953587864329017,0.1883230528234609,0.4840957872827628
paper_rank15,15,pchip,external,6,10,0.030916054814300115,0.026255540937310945,0.07168274427388274,0.22557168189621338,0.18694249843216834,0.5564263998804259
paper_rank15,15,pchip,external,7,10,0.028314360963671396,0.020017808702636197,0.095886135985352,0.2056709188105564,0.13805539316990992,0.7577820728473977
paper_rank15,15,pchip,external,8,10,0.033563715062756086,0.030182244341841812,0.06365011891674208,0.2388054925076372,0.21990830190649407,0.440981872738942
paper_rank15,15,pchip,external,9,10,0.031167152650202184,0.02773299924472268,0.07458297207481382,0.220848304785566,0.20557978322549098,0.5103762433370854
paper_rank15,15,pchip,external,10,10,0.020836978618729168,0.022898988804221206,0.032406027456545625,0.14934292738972887,0.16421972449758204,0.2350108444298485
paper_rank15,15,pchip,external,11,10,0.01690675024882208,0.018868578047339428,0.03307618699338392,0.12174002317330195,0.13981760065005266,0.2567488708325856
paper_rank15,15,pchip,external,12,10,0.014634966457046969,0.008812523132416752,0.044677349134538406,0.11011422080298874,0.06024312982243854,0.3515846775856505
paper_rank15,15,pchip,external,13,10,0.01468773294680498,0.013010114814591626,0.03670616722743074,0.10675454823515315,0.09529392530437078,0.2900865198294659
paper_rank15,15,pchip,external,14,10,0.01343178138940726,0.01674827479921996,0.020052936753351208,0.0946069962917886,0.11317185690655106,0.15093145383825143
paper_rank15,15,pchip,external,15,10,0.014229712613848023,0.010765512749032993,0.03776173480311623,0.10459395396701374,0.0766728532500646,0.29842860366998747
paper_rank15,15,pchip,fitting,1,90,0.0,0.0,0.0,0.0,0.0,0.0
paper_rank15,15,pchip,fitting,2,90,0.0,0.0,0.0,0.0,0.0,0.0
paper_rank15,15,pchip,fitting,3,90,0.0,0.0,0.0,0.0,0.0,0.0
paper_rank15,15,pchip,fitting,4,90,0.0,0.0,0.0,0.0,0.0,0.0
paper_rank15,15,pchip,fitting,5,90,2.312964634635743e-19,0.0,2.0816681711721685e-17,1.512630780190411e-18,0.0,1.36136770217137e-16
paper_rank15,15,pchip,fitting,6,90,2.8912057932946785e-20,0.0,2.6020852139652106e-18,1.8907884752380137e-19,0.0,1.7017096277142124e-17
paper_rank15,15,pchip,fitting,7,90,0.0,0.0,0.0,0.0,0.0,0.0
paper_rank15,15,pchip,fitting,8,90,6.0233454026972465e-21,0.0,5.421010862427522e-19,3.939142656745862e-20,0.0,3.545228391071276e-18
paper_rank15,15,pchip,fitting,9,90,0.0,0.0,0.0,0.0,0.0,0.0
paper_rank15,15,pchip,fitting,10,90,1.566069804701284e-20,0.0,1.4094628242311558e-18,1.0241770907539241e-19,0.0,9.217593816785318e-18
paper_rank15,15,pchip,fitting,11,90,1.927470528863119e-20,0.0,1.734723475976807e-18,1.2605256501586758e-19,0.0,1.1344730851428083e-17
paper_rank15,15,pchip,fitting,12,90,0.0,0.0,0.0,0.0,0.0,0.0
paper_rank15,15,pchip,fitting,13,90,1.927470528863119e-20,0.0,1.734723475976807e-18,1.2605256501586758e-19,0.0,1.1344730851428083e-17
paper_rank15,15,pchip,fitting,14,90,9.637352644315595e-21,0.0,8.673617379884035e-19,6.302628250793379e-20,0.0,5.6723654257140415e-18
paper_rank15,15,pchip,fitting,15,90,5.4337803546812406e-17,0.0,1.177877240188252e-15,3.7359141826953905e-16,0.0,7.862204300359154e-15
paper_rank15,15,pchip,internal_validation,1,10,0.034133348086621315,0.03544985089237507,0.08202032442647678,0.24350199272681733,0.26047803522003715,0.5799925923628354
paper_rank15,15,pchip,internal_validation,2,10,0.061096572356847324,0.05190617263204032,0.13767122576249213,0.4319022046888584,0.3653817047097906,0.9735183527021183
paper_rank15,15,pchip,internal_validation,3,10,0.04493274114515133,0.030227669407842203,0.13136370199213587,0.32864721241327766,0.21191026587398692,1.041208946348962
paper_rank15,15,pchip,internal_validation,4,10,0.055991177505074666,0.044627623784432635,0.15801710625066656,0.412850052803735,0.30733668313673634,1.2524679360377502
paper_rank15,15,pchip,internal_validation,5,10,0.029127313611258053,0.022953167981255358,0.0796839905068015,0.21535003153534768,0.17507268301583057,0.6287437683429106
paper_rank15,15,pchip,internal_validation,6,10,0.0396083796900827,0.031002109440305386,0.11265692715917852,0.2905020514385192,0.2314070792112815,0.89293616613623
paper_rank15,15,pchip,internal_validation,7,10,0.03610394331578419,0.02348596751991333,0.08865748202218132,0.26199551439308155,0.16577285019293128,0.623099432849308
paper_rank15,15,pchip,internal_validation,8,10,0.03496945530210178,0.034688925099338686,0.06833729180100713,0.25434649708800056,0.24608063445104383,0.5416519062223735
paper_rank15,15,pchip,internal_validation,9,10,0.029404348410380345,0.022789393716512257,0.07956943340157197,0.20808003972887246,0.16289507698760106,0.562661538760291
paper_rank15,15,pchip,internal_validation,10,10,0.03476093232688167,0.030683421218365974,0.09048107971063106,0.2531715160530985,0.21336390669062782,0.7171669817562123
paper_rank15,15,pchip,internal_validation,11,10,0.020170868735012587,0.017628821488935704,0.03956818947715207,0.146379137788037,0.12746374559210152,0.2871386623938134
paper_rank15,15,pchip,internal_validation,12,10,0.012780656999282363,0.011557538829273125,0.025131949393212442,0.09260723127621276,0.08510590095956228,0.19919970395603417
paper_rank15,15,pchip,internal_validation,13,10,0.01273278802579455,0.011866935814256262,0.0215388568223554,0.09202610972215788,0.09094170520935768,0.15630329866455472
paper_rank15,15,pchip,internal_validation,14,10,0.014142847798668697,0.013584227363524205,0.02252677682118598,0.10158225809495165,0.09485942220112806,0.1602611458248718
paper_rank15,15,pchip,internal_validation,15,10,0.018510136576144757,0.014283945916917222,0.04676416506232501,0.134724491368799,0.10091435684789554,0.37065997907357456
paper_rank15,15,piecewise_linear,external,1,10,0.02541682460432817,0.025248776894096103,0.04458805743385241,0.18429858354832668,0.1867372338461776,0.3326199649726152
paper_rank15,15,piecewise_linear,external,2,10,0.03565544552588598,0.044324369158422694,0.06640737485599368,0.25547607869738276,0.29959141254873944,0.495388675124336
paper_rank15,15,piecewise_linear,external,3,10,0.05052217667530159,0.03260742010185222,0.1372833497400106,0.3664859613550778,0.23248745684337888,1.0849416369151816
paper_rank15,15,piecewise_linear,external,4,10,0.036451472771269464,0.027465182856609226,0.14492464940006253,0.27216397780042134,0.20700302366436701,1.1453303452111006
paper_rank15,15,piecewise_linear,external,5,10,0.031345108585511726,0.02765733247987609,0.06732650916627798,0.225436599089396,0.18674690682966405,0.4664527042904145
paper_rank15,15,piecewise_linear,external,6,10,0.027946914230948628,0.024850556442750818,0.06720481728959792,0.20421106734173308,0.1761363092439312,0.5216671727326333
paper_rank15,15,piecewise_linear,external,7,10,0.027695004740997658,0.0190050146483004,0.08819695998509669,0.20138921380537464,0.1271311366041257,0.6970150008605565
paper_rank15,15,piecewise_linear,external,8,10,0.031625650654078734,0.030873177641939305,0.06142398730216981,0.22460043482415606,0.21911170774379884,0.42555874855528514
paper_rank15,15,piecewise_linear,external,9,10,0.029948153643993926,0.025629748142148818,0.07133948556624428,0.21193211596660078,0.1899266871133064,0.4881808492208826
paper_rank15,15,piecewise_linear,external,10,10,0.02024537788107992,0.02336866740383969,0.031708142600703204,0.1452025230828658,0.16147958298401188,0.22994973320582518
paper_rank15,15,piecewise_linear,external,11,10,0.016123386513200635,0.018089572093529037,0.035123043238955806,0.11621768609646685,0.13377564117006874,0.27263728112341884
paper_rank15,15,piecewise_linear,external,12,10,0.013712930417155069,0.007548796917273605,0.04411443508002946,0.10308083087979067,0.055688214504339625,0.34863359247830644
paper_rank15,15,piecewise_linear,external,13,10,0.013718053884218689,0.010770222065885529,0.0356375355502803,0.09991599785801125,0.07897742118770862,0.2816411912206965
paper_rank15,15,piecewise_linear,external,14,10,0.012500645640565614,0.014311581857998943,0.020052936753351208,0.08773569205346032,0.10262704094901272,0.13893110891081745
paper_rank15,15,piecewise_linear,external,15,10,0.014295463429502178,0.011428504148006672,0.03739688103510625,0.10497531158792768,0.08115299004833984,0.2955451873995579
paper_rank15,15,piecewise_linear,fitting,1,90,0.0,0.0,0.0,0.0,0.0,0.0
paper_rank15,15,piecewise_linear,fitting,2,90,3.276699899067302e-19,0.0,1.3877787807814457e-17,2.320157737143317e-18,0.0,9.867218705553163e-17
paper_rank15,15,piecewise_linear,fitting,3,90,5.396917480816733e-19,0.0,2.7755575615628914e-17,4.064638737754302e-18,0.0,2.1814127144392878e-16
paper_rank15,15,piecewise_linear,fitting,4,90,8.818177669548769e-19,0.0,2.0816681711721685e-17,6.460377975276874e-18,0.0,1.636059535829466e-16
paper_rank15,15,piecewise_linear,fitting,5,90,2.202737413766383e-18,0.0,1.3877787807814457e-17,1.545178711228378e-17,0.0,1.0687884417410383e-16
paper_rank15,15,piecewise_linear,fitting,6,90,2.238275151642297e-18,0.0,2.0816681711721685e-17,1.5743096241863983e-17,0.0,1.397893191076311e-16
paper_rank15,15,piecewise_linear,fitting,7,90,1.5082456888353906e-18,0.0,6.938893903907228e-18,1.0643377608873777e-17,0.0,5.540213522224457e-17
paper_rank15,15,piecewise_linear,fitting,8,90,1.249241836519409e-18,0.0,8.673617379884035e-18,8.840496295209704e-18,0.0,5.827959300790617e-17
paper_rank15,15,piecewise_linear,fitting,9,90,1.085105674295909e-18,0.0,6.938893903907228e-18,7.723034163129617e-18,0.0,5.436768288534864e-17
paper_rank15,15,piecewise_linear,fitting,10,90,1.05574186545776e-18,0.0,1.0408340855860843e-17,7.602687433136143e-18,0.0,8.266645388812161e-17
