model,rank,evaluation_role,method,case_count,mean_rom_difference_percent,median_rom_difference_percent,maximum_absolute_rom_difference_percent,mean_coefficient_difference_percent,maximum_absolute_coefficient_difference_percent
paper_rank15,15,external,piecewise_linear,10,0.1126524090808754,0.06731168079956326,0.5417130724694867,0.12193418532834999,0.5666033089226237
paper_rank15,15,external,pchip,10,0.15189114664884706,0.12550378876518117,0.6136696045370826,0.16533620945137179,0.6408299286422918
paper_rank15,15,fitting,piecewise_linear,90,-0.5249380638657967,-0.491133924182931,1.1726257516024954,-0.7616885838797163,1.5161275864316803
paper_rank15,15,fitting,pchip,90,-0.5249380638657966,-0.491133924182931,1.1726257516024954,-0.7616885838797163,1.5161275864316803
paper_rank15,15,internal_validation,piecewise_linear,10,0.1361600699505734,0.17325534274543902,0.5723985979772227,0.14477942271677197,0.5878525572441698
paper_rank15,15,internal_validation,pchip,10,0.16755952271739094,0.2510587354449268,0.6486930467515643,0.17684002852015532,0.6652231261023352
validation_selected_rank,6,external,piecewise_linear,10,0.045511789039248664,-0.0020721576876016057,0.47567138689704347,0.05487244182587596,0.5378633949426279
validation_selected_rank,6,external,pchip,10,0.07297611125747369,0.02211306061012286,0.511578414280252,0.09302952112647342,0.5769546641400591
validation_selected_rank,6,fitting,piecewise_linear,90,-0.31823742750261974,-0.29080387882649217,1.0761995656779315,-0.6376208618697229,1.5598044477906914
validation_selected_rank,6,fitting,pchip,90,-0.31823742750261974,-0.29080387882649217,1.0761995656779315,-0.637620861869723,1.5598044477906914
validation_selected_rank,6,internal_validation,piecewise_linear,10,0.08382836606095968,0.09168558264294957,0.5071940920310046,0.10694000864815396,0.6147378118869862
validation_selected_rank,6,internal_validation,pchip,10,0.10628375831344941,0.16593008793059777,0.5740687550890035,0.12359126157220954,0.6879928830305131
