formulation,rank,mean_test_projection_error_percent,median_test_projection_error_percent,maximum_test_projection_error_percent,minimum_test_projection_error_percent
Mean-centred POD,1,2.461134560488783,2.812935547331126,3.827530593264951,1.125609713674355
Mean-centred POD,2,0.7940739129600125,0.7724086388513127,1.2405080583024914,0.516168283644098
Mean-centred POD,3,0.6311065303599173,0.5538442021860204,1.1383729548631791,0.4519848351034023
Mean-centred POD,4,0.5586559762685382,0.5327331409708728,0.8066839663642608,0.44415097839503376
Mean-centred POD,6,0.5034891678365879,0.4624301363236195,0.7215174135645699,0.3677131272604547
Mean-centred POD,8,0.42958768875878356,0.38273223541711415,0.6967983574624349,0.2765583576770953
Mean-centred POD,10,0.4033258274531777,0.3527972968685151,0.6155665193184617,0.2647949235271358
Mean-centred POD,15,0.3556290562901982,0.321720462739515,0.4953209531577432,0.24703677821766185
Mean-centred POD,20,0.3274864531008477,0.3000611383127172,0.4670455367972231,0.2408543039952599
Mean-centred POD,30,0.29168123355592085,0.2695754636360884,0.4170224338007033,0.22346147329243415
Mean-centred POD,50,0.24620044804268648,0.22779216788115123,0.36437258739894485,0.18568203506186595
Mean-centred POD,75,0.21267633035120603,0.19427948811506388,0.309199834808866,0.16532317777859923
Mean-centred POD,99,0.19550813347606347,0.1806789567529946,0.2857640102838618,0.1497192392275021
Paper-style uncentred POD,1,11.239078616349529,8.58306546924096,29.872446602656122,3.7505951212951567
Paper-style uncentred POD,2,2.4596879951762793,2.8129629922972175,3.830991643175205,1.1213471133756716
Paper-style uncentred POD,3,0.7921946494708167,0.7714995247818511,1.2401734162585119,0.5124751007591433
Paper-style uncentred POD,4,0.6295620290132541,0.5527963326337744,1.1371147319737314,0.4518099048171545
Paper-style uncentred POD,6,0.5333208527841324,0.5006543861033772,0.729809895703949,0.438774107755357
Paper-style uncentred POD,8,0.45433297017837515,0.43194523885466873,0.6971424513787087,0.27772604488915437
Paper-style uncentred POD,10,0.41166769948544596,0.36164011466892404,0.6391114202921824,0.2752895202252865
Paper-style uncentred POD,15,0.36116830204825934,0.32658038759268915,0.49751977093339306,0.2534171914795483
Paper-style uncentred POD,20,0.3296749764724704,0.3011417492328455,0.4668556177249727,0.2410692364810609
Paper-style uncentred POD,30,0.29344669673244733,0.2705494097998622,0.42102014411967104,0.2234968672888316
Paper-style uncentred POD,50,0.24690735204388276,0.22852215328047296,0.363967383925404,0.18640939295195752
Paper-style uncentred POD,75,0.21374514290167188,0.19684008060077388,0.31105320105763684,0.1659701650266775
Paper-style uncentred POD,99,0.1958753616859733,0.18107380172649987,0.2866506809020739,0.15006905740571833
