rank,training_count,random_seed,closure_calls,fitting_raw_coefficient_mse,validation_raw_coefficient_mse,validation_mean_field_error_percent,validation_maximum_field_error_percent
1,10,11,625,7.629762272431687e-05,0.002435451440177067,10.34146198770092,31.687336618392862
1,10,47,626,8.028951451908435e-05,0.002320931729040569,10.340762051390447,31.68730182848398
1,10,131,625,2.2187823915770175e-09,0.002433640188183844,10.342012726327313,31.687474057685332
2,10,11,597,2.869943821406772e-05,0.005181011197780691,3.1810270063069144,5.397975626358211
2,10,47,587,1.6742186742909483e-05,0.005156043727622421,3.179455984690397,5.399199842811775
2,10,131,608,4.448294736995637e-05,0.005110134502487371,3.180190950265096,5.399454707466487
3,10,11,579,6.684652223265437e-05,0.004264543456814916,1.1950673052445135,1.8995284237442238
3,10,47,576,0.00010463033176263233,0.0044611486414147155,1.2064420226997274,1.881061379765145
3,10,131,565,2.2419789128662934e-05,0.004294232078697957,1.1971851693859408,1.8914297841749503
4,10,11,546,4.7872352133275194e-05,0.005228929000822847,1.2470418104914751,2.3624853525471825
4,10,47,574,0.0005580751973331806,0.004211385509707191,1.1767868405063588,2.092117517938965
4,10,131,536,1.3229097244930804e-05,0.004768888237834172,1.215936067098176,2.2755915165058593
6,10,11,533,4.7754026063542204e-05,0.0040730137959435805,1.2290158347902227,2.2662004893817653
6,10,47,523,4.0850179634628444e-05,0.004055907092071043,1.2291651655700546,2.192138026192246
6,10,131,548,0.00012037551606017974,0.003917863017284037,1.207125770016976,2.0488869125390488
10,10,11,516,9.266472406863928e-05,0.003164719738765578,1.2751322860758296,2.5383342416016235
10,10,47,520,6.810096364048227e-05,0.0032369088864293277,1.294374309418533,2.5576094124618955
10,10,131,515,8.977239440225826e-05,0.0032143634676946786,1.2949681786198315,2.517465666337748
15,10,11,510,7.660764342856606e-05,0.0022888186068143555,1.307551072657477,2.591200033922416
15,10,47,511,8.41533649908856e-05,0.002276173318808751,1.3032967584120139,2.5602583163186097
15,10,131,510,6.719550746161327e-05,0.0022536804559365425,1.300634578964435,2.5944275424193517
20,10,11,515,7.114167618975315e-05,0.0017541576642043498,1.3081103003911516,2.5803246660991745
20,10,47,511,7.332776165557608e-05,0.0017447524456139657,1.3013423078508142,2.593746719290706
20,10,131,509,5.898387826225816e-05,0.0017416629038713705,1.307935089373462,2.5857589304641255
1,20,11,613,0.0003001946430280893,0.002307342065468559,10.33995361387334,31.688719890274854
1,20,47,621,0.0003339538167284469,0.0025434445211943543,10.339853493508567,31.690117087686065
1,20,131,617,0.00028763785254776696,0.0021314821157105484,10.33972951471895,31.68785540830602
2,20,11,602,0.0010966404933589358,0.004142925226823027,3.1582962813486777,5.4212635857854545
2,20,47,600,0.0013199216853445293,0.004220187003907875,3.161480957222256,5.426646945689574
2,20,131,610,0.0013941335412600297,0.004168807731024586,3.155363027131209,5.41975360919427
3,20,11,600,0.001063696986031882,0.004148237292516076,1.1961437143540374,1.811403356133343
3,20,47,570,0.0007311149833238155,0.004284273640257318,1.207774738479321,1.876384968900679
3,20,131,566,0.00074050065994959,0.004381860672891918,1.2109760851418576,1.9128647645013777
4,20,11,560,0.0008695973118551817,0.004348227074931916,1.1815202260809237,2.1599070087416123
4,20,47,575,0.0010390634607824905,0.004166999775943201,1.1727964841329195,2.1202643732715694
4,20,131,562,0.0010503293759060032,0.0041095491411386265,1.166027698919017,2.129067366738934
6,20,11,527,0.000748287301989671,0.0037886219367679235,1.1958622363700722,2.125110818313677
6,20,47,536,0.0007619286428454276,0.003920119640354234,1.209220544555002,2.1324768086356714
6,20,131,562,0.0010675351283882246,0.0037487528229386224,1.1914621190150703,2.1056045286333007
10,20,11,525,0.0006520584271416174,0.0028587333531167104,1.216494177470437,2.2958316468431064
10,20,47,512,0.000552203343316859,0.0028885516283738244,1.234899842441034,2.336007823808958
10,20,131,522,0.0006074290351143361,0.0028983472572176815,1.2276679486284399,2.3440989702885573
15,20,11,509,0.0004448903413727771,0.00208477454057805,1.2554851929808575,2.3329329629883073
15,20,47,510,0.000518998906167475,0.0020385723476165235,1.2419137199014236,2.294178317650897
15,20,131,516,0.0004549312525455433,0.0020429505284736476,1.2386908782355603,2.3101324898565623
20,20,11,510,0.00038517334442213463,0.001567546974890745,1.2357076388431067,2.358214274395911
20,20,47,516,0.0003568811834435199,0.0015808925383294084,1.245530173220832,2.4150981832048033
20,20,131,510,0.00037501054237980383,0.0015662564661408156,1.2361857529362137,2.348775795321004
1,90,11,625,0.0008793755443948435,0.0012505675090196163,10.335895905465616,31.687458332352048
1,90,47,615,0.000873260509094984,0.0012750367894590034,10.336210492705714,31.687362434247035
1,90,131,625,0.0008700591772545603,0.0012916600536204696,10.336391961887607,31.687425414113555
2,90,11,598,0.001969570119307203,0.0026278029940887786,3.123389762008507,5.399855808293939
2,90,47,619,0.0020038850666295226,0.0026139985511269615,3.122449905491486,5.406545400146371
2,90,131,625,0.0021008788233008767,0.002650162409123899,3.124641723645296,5.403958888155241
3,90,11,583,0.0018404927701654867,0.0025601768556055347,1.0973353481220842,1.7367999026191465
3,90,47,578,0.0018525177281481348,0.002665400519354569,1.1046146131483585,1.756989663655796
3,90,131,579,0.0018498022068637128,0.0026329380463835993,1.1020109560061238,1.7577478920613236
4,90,11,574,0.0016306900214855557,0.002690558852997387,1.0348675395833684,1.9513967482554913
4,90,47,582,0.0016692593782489955,0.0027654851709039098,1.0482997794735736,1.956327016456584
4,90,131,576,0.0016568679705146537,0.002808160982690487,1.0491249919163237,1.9816417977335226
6,90,11,534,0.0015241182550844669,0.00251998074547426,1.0194736751469566,1.9503305285621764
6,90,47,537,0.0015470427027793566,0.0025177921575613204,1.0224597886209343,1.9062972817144233
6,90,131,542,0.0015584207484922042,0.002495691179062397,1.0187103306887637,1.9058406526792586
10,90,11,521,0.0011786704026340424,0.0019661524672120825,1.0268484031742946,1.9598692494850707
10,90,47,516,0.0011789886673730088,0.0019529237454892735,1.0236774392440589,1.9422170020284961
10,90,131,522,0.001192700802954275,0.001987760985351337,1.0285871183113788,1.975883419255099
15,90,11,519,0.0008396421231134388,0.0013914548767071824,1.0326288199122038,1.9654877842373755
15,90,47,512,0.0008482328703009632,0.0014013695376882817,1.0365884005085262,1.9789849443524403
15,90,131,514,0.0008468316215872278,0.0013978265674086565,1.0317408610904748,1.988498379578852
20,90,11,523,0.0006587333363774508,0.0010900144019449413,1.0355486958001325,1.985997679715004
20,90,47,514,0.000661869625721904,0.0010899778727103673,1.0360928544016037,1.9762307505904062
20,90,131,521,0.000663850527509327,0.0010917225901187688,1.0403896089341562,1.9671553809734903
