rank,training_count,random_seed,closure_calls,fitting_raw_coefficient_mse,validation_raw_coefficient_mse,validation_mean_field_error_percent,validation_maximum_field_error_percent
1.0,10.0,47.0,626.0,8.028951451908435e-05,0.002320931729040569,10.340762051390447,31.68730182848398
2.0,10.0,131.0,608.0,4.448294736995637e-05,0.005110134502487371,3.180190950265096,5.399454707466487
3.0,10.0,11.0,579.0,6.684652223265437e-05,0.004264543456814916,1.1950673052445135,1.8995284237442238
4.0,10.0,47.0,574.0,0.0005580751973331806,0.004211385509707191,1.1767868405063588,2.092117517938965
6.0,10.0,131.0,548.0,0.00012037551606017974,0.003917863017284037,1.207125770016976,2.0488869125390488
10.0,10.0,11.0,516.0,9.266472406863928e-05,0.003164719738765578,1.2751322860758296,2.5383342416016235
15.0,10.0,131.0,510.0,6.719550746161327e-05,0.0022536804559365425,1.300634578964435,2.5944275424193517
20.0,10.0,131.0,509.0,5.898387826225816e-05,0.0017416629038713705,1.307935089373462,2.5857589304641255
1.0,20.0,131.0,617.0,0.00028763785254776696,0.0021314821157105484,10.33972951471895,31.68785540830602
2.0,20.0,11.0,602.0,0.0010966404933589358,0.004142925226823027,3.1582962813486777,5.4212635857854545
3.0,20.0,11.0,600.0,0.001063696986031882,0.004148237292516076,1.1961437143540374,1.811403356133343
4.0,20.0,131.0,562.0,0.0010503293759060032,0.0041095491411386265,1.166027698919017,2.129067366738934
6.0,20.0,131.0,562.0,0.0010675351283882246,0.0037487528229386224,1.1914621190150703,2.1056045286333007
10.0,20.0,11.0,525.0,0.0006520584271416174,0.0028587333531167104,1.216494177470437,2.2958316468431064
15.0,20.0,47.0,510.0,0.000518998906167475,0.0020385723476165235,1.2419137199014236,2.294178317650897
20.0,20.0,131.0,510.0,0.00037501054237980383,0.0015662564661408156,1.2361857529362137,2.348775795321004
1.0,90.0,11.0,625.0,0.0008793755443948435,0.0012505675090196163,10.335895905465616,31.687458332352048
2.0,90.0,47.0,619.0,0.0020038850666295226,0.0026139985511269615,3.122449905491486,5.406545400146371
3.0,90.0,11.0,583.0,0.0018404927701654867,0.0025601768556055347,1.0973353481220842,1.7367999026191465
4.0,90.0,11.0,574.0,0.0016306900214855557,0.002690558852997387,1.0348675395833684,1.9513967482554913
6.0,90.0,131.0,542.0,0.0015584207484922042,0.002495691179062397,1.0187103306887637,1.9058406526792586
10.0,90.0,47.0,516.0,0.0011789886673730088,0.0019529237454892735,1.0236774392440589,1.9422170020284961
15.0,90.0,11.0,519.0,0.0008396421231134388,0.0013914548767071824,1.0326288199122038,1.9654877842373755
20.0,90.0,47.0,514.0,0.000661869625721904,0.0010899778727103673,1.0360928544016037,1.9762307505904062
