mode,case_count,mean_coefficient_error_percent,mean_modal_variability_percent,median_error_to_variability_ratio,maximum_error_to_variability_ratio,fraction_error_not_above_variability
1,10,0.1957735285463294,0.06523214081307037,2.9135167552857038,5.832610295122963,0.2
2,10,0.2876389263283074,0.12248166215865111,2.429240840794795,3.6008709053583834,0.2
3,10,0.2903863638057468,0.1578581739810781,1.2334485037165828,6.8548330720237365,0.4
4,10,0.18973387681492132,0.1687145656502232,0.6678965207455008,3.3807016786031405,0.7
5,10,0.23344399883487799,0.14498073815622844,1.1499782875095195,3.30181956481006,0.4
6,10,0.1558802607430369,0.19427804316042174,0.7626905563977991,1.8226716765758664,0.8
7,10,0.16563529600884697,0.202151112532363,0.7296040035764406,1.892094617647026,0.6
8,10,0.18493968208185424,0.144482921114969,1.0105031737755528,2.620539740435241,0.5
9,10,0.13578152803808308,0.16816899570004076,1.04181441840341,1.5929285350451794,0.4
10,10,0.0964457881070695,0.11439081187856708,0.6089074529502434,2.981412036471676,0.8
11,10,0.10591974174723781,0.10100294417795305,0.9373551400782354,2.7878459154036324,0.6
12,10,0.06579694310097105,0.09446504748341258,0.5241715734036456,2.4479948004831926,0.9
13,10,0.08221392349761789,0.14359383406122028,0.556445877686635,1.0018473358959836,0.9
14,10,0.0643433503095881,0.09883876556349602,0.7151213795195315,1.1072702157537926,0.7
15,10,0.08608701597682006,0.16653493032932362,0.5025481981398718,0.932156318417102,1.0
