model,rank,method,operation,block,calls_per_block,time_per_query_ms
validation_selected_rank,6,frozen_nn,coefficient_prediction,0,40,0.13415805
validation_selected_rank,6,frozen_nn,coefficient_prediction,1,40,0.11381842499999999
validation_selected_rank,6,frozen_nn,coefficient_prediction,2,40,0.11258925
validation_selected_rank,6,frozen_nn,coefficient_prediction,3,40,0.132985025
validation_selected_rank,6,frozen_nn,coefficient_prediction,4,40,0.120254475
validation_selected_rank,6,frozen_nn,coefficient_prediction,5,40,0.112420775
validation_selected_rank,6,frozen_nn,coefficient_prediction,6,40,0.10052512499999999
validation_selected_rank,6,frozen_nn,coefficient_prediction,7,40,0.1033721
validation_selected_rank,6,frozen_nn,coefficient_prediction,8,40,0.10127824999999999
validation_selected_rank,6,frozen_nn,coefficient_prediction,9,40,0.10599675
validation_selected_rank,6,frozen_nn,coefficient_prediction,10,40,0.09390509999999999
validation_selected_rank,6,frozen_nn,coefficient_prediction,11,40,0.09858130000000001
validation_selected_rank,6,frozen_nn,coefficient_prediction,12,40,0.09176095
validation_selected_rank,6,frozen_nn,coefficient_prediction,13,40,0.099747725
validation_selected_rank,6,frozen_nn,coefficient_prediction,14,40,0.094569975
validation_selected_rank,6,frozen_nn,coefficient_prediction,15,40,0.103309175
validation_selected_rank,6,frozen_nn,coefficient_prediction,16,40,0.11041464999999999
validation_selected_rank,6,frozen_nn,coefficient_prediction,17,40,0.10291945
validation_selected_rank,6,frozen_nn,coefficient_prediction,18,40,0.10451455000000001
validation_selected_rank,6,frozen_nn,coefficient_prediction,19,40,0.09892182499999999
validation_selected_rank,6,frozen_nn,coefficient_prediction,20,40,0.09741215
validation_selected_rank,6,frozen_nn,coefficient_prediction,21,40,0.101600775
validation_selected_rank,6,frozen_nn,coefficient_prediction,22,40,0.097973275
validation_selected_rank,6,frozen_nn,coefficient_prediction,23,40,0.095732825
validation_selected_rank,6,frozen_nn,coefficient_prediction,24,40,0.093919425
validation_selected_rank,6,frozen_nn,full_field_prediction,0,40,0.14533095000000001
validation_selected_rank,6,frozen_nn,full_field_prediction,1,40,0.1524367
