route,rank,mean_error_percent,standard_deviation_percent,minimum_error_percent,maximum_error_percent
CG then POD,0,8.450817570638424,1.8824544502200193,6.590947520531947,11.163556141501337
CG then POD,8,7.941634094885169,1.9327013416732963,5.996268595743866,10.749232646685003
CG then POD,14,7.7147557627575924,1.964421172325395,5.728392011606181,10.550154424788648
CG then POD,27,7.355052785722771,1.9365227550553237,5.374077288933678,10.139796721930512
CG then POD,100,6.433060552487788,1.8216401366701522,4.556878570587827,9.04242063358271
Particle POD then CG,0,511.7228806865211,38.701665803759056,483.9510111394502,577.2949362480311
Particle POD then CG,8,131.07771312523045,24.372944566795574,100.95378311605164,158.72661504731803
Particle POD then CG,14,128.87885177083749,22.54691041385118,100.68120508544382,153.3657385471839
Particle POD then CG,27,126.89892752137175,22.11414442599418,98.59197926315916,150.18558221690694
Particle POD then CG,100,122.12212383487056,21.169525242295474,94.76122134959655,144.19937615496386
