case_id,size_ratio,simulation_number,particle_count,small_particle_count,training_snapshot_count,validation_snapshot_count,rank,continuum_training_energy_percent,particle_training_energy_percent
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,0,0.0,0.0
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,8,28.31747224617576,95.94373237165978
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,14,42.20591811890116,99.11669261000333
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,27,64.3620626824363,99.93949216931344
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,100,99.99999999999991,99.99999999999996
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,0,0.0,0.0
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,8,30.87281922589538,95.7637026438003
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,14,44.7675243906159,99.09148400949908
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,27,65.90185622490593,99.93838073414452
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,100,100.00000000000004,99.99999999999996
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,0,0.0,0.0
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,8,36.21980616847737,95.61515077391518
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,14,50.4539827628958,99.09882098439866
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,27,70.01111124216173,99.94054825407856
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,100,100.00000000000004,100.0
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,0,0.0,0.0
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,8,38.86668178221266,95.41174664595154
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,14,53.16770980923916,99.099743881264
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,27,72.11476181638973,99.94107348924528
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,100,100.00000000000004,99.99999999999989
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,0,0.0,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,8,39.16986664334652,95.3059320145791
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,14,53.89766258505103,99.11646573633634
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,27,73.11228214149693,99.94364252790643
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,100,100.0,100.00000000000004
