rank,spacetime_relative_l2_error_percent,mean_snapshot_l2_error_percent,median_snapshot_l2_error_percent,p95_snapshot_l2_error_percent,maximum_snapshot_l2_error_percent,time_averaged_l2_error_percent,minimum_volume_fraction,maximum_volume_fraction,grid_fraction_phi_lt_zero_percent,training_energy_percent,case_id,size_ratio,pod_numerical_rank,training_snapshot_count,validation_snapshot_count
0,577.2949362480311,577.2984688894023,576.8608207478256,579.9780440168639,580.3185513946415,580.7255460367717,0.0,17.23128908574338,0.0,0.0,ratio_1_000000_num_1,1.0,100,101,99
8,103.36406708990162,98.12560835283128,79.9261697481299,143.6068448883477,145.9328270957494,84.92130425718013,0.0,2.02586697378796,0.0,96.00016275553895,ratio_1_000000_num_1,1.0,100,101,99
14,101.16047511999689,95.71971237952218,81.40775610972354,144.57108372355026,145.34403710628104,80.63967052999543,0.0,2.372336349157161,0.0,99.12142020842155,ratio_1_000000_num_1,1.0,100,101,99
27,98.91132659045165,92.94812103729599,80.25551960375293,143.82611985571182,144.8385339583891,78.51297998989821,0.0,2.266410284617691,0.0,99.94233432715137,ratio_1_000000_num_1,1.0,100,101,99
100,93.30159094696675,87.08830463112763,71.58849228040997,137.22325676800116,138.67429475755281,74.8164808121877,0.0,2.042361816819678,0.0,100.00000000000003,ratio_1_000000_num_1,1.0,100,101,99
0,515.5909349918852,515.5935743225929,515.2889963383357,517.8924962852205,518.817389081353,517.8226510155854,0.0,14.928933509133273,0.0,0.0,ratio_1_252525_num_26,1.252525,100,101,99
8,139.1684986158319,127.45203383003066,96.25465829129236,210.49472234742427,219.86105442782232,111.69762011757534,0.0,4.703956942439246,0.0,95.58035723428051,ratio_1_252525_num_26,1.252525,100,101,99
14,135.73381684139545,123.41258784690211,92.3255344407504,219.9577270144607,228.3438761968927,106.14798217636121,0.0,5.543217655630251,0.0,99.07486797858547,ratio_1_252525_num_26,1.252525,100,101,99
27,133.8117123164479,120.56647796080254,93.02475997702669,220.2775352562474,232.43551607971392,103.58133157739775,0.0,5.816625120132372,0.0,99.93723914680852,ratio_1_252525_num_26,1.252525,100,101,99
100,126.13838445515786,112.74846023675869,89.22954205397156,210.0101134458862,220.73040704323554,99.3501777139398,0.0,5.18641794296887,0.0,100.00000000000003,ratio_1_252525_num_26,1.252525,100,101,99
0,495.2027821688011,495.2050415146145,495.16580214867105,496.77549603345136,497.25154500323265,496.5088776226956,0.0,15.796482537722712,0.0,0.0,ratio_1_494949_num_50,1.494949,100,101,99
8,162.38960785950437,146.56853039205322,116.03742101635312,254.1722095065285,261.4238605258085,128.18246828666403,0.0,6.874363631765558,0.0,95.36624309455578,ratio_1_494949_num_50,1.494949,100,101,99
14,155.90288276903607,139.18677651612123,105.36527267841116,256.3077411132743,263.0050102871406,120.15200347206205,0.0,6.999041379569842,0.0,99.07463616544699,ratio_1_494949_num_50,1.494949,100,101,99
27,153.97444659080557,136.3067346779592,104.21391032021414,256.1012880814797,262.63925492867355,117.27245876230198,0.0,6.9532933268326165,0.0,99.93929108665685,ratio_1_494949_num_50,1.494949,100,101,99
100,145.3066390794289,127.88306858437913,100.56073621722551,244.06261869148543,248.42589837287247,111.8275829918119,0.0,6.351227083291297,0.0,99.99999999999999,ratio_1_494949_num_50,1.494949,100,101,99
0,486.57473888443764,486.57738586958175,486.6832935509539,487.8259194229884,488.6886719475661,487.8260449599905,0.0,15.899682551993331,0.0,0.0,ratio_1_747475_num_75,1.747475,100,101,99
8,166.37189275295822,150.53715814530972,134.93508017023768,250.2695044642865,276.827156102813,129.3418375445956,0.0,7.180618872192491,0.0,95.230633032695,ratio_1_747475_num_75,1.747475,100,101,99
14,158.19218249110347,141.8309187626016,121.12584010596261,247.9384074312663,258.76326901281453,121.36233492055973,0.0,6.26087000121579,0.0,99.07234340367293,ratio_1_747475_num_75,1.747475,100,101,99
27,153.7023575528777,136.79801468505315,107.46292080844181,240.81325117362536,245.0103046923744,118.04280746084281,0.0,6.077743586114921,0.0,99.94116419127637,ratio_1_747475_num_75,1.747475,100,101,99
100,145.0349640234215,128.26520262534643,97.20531119528178,230.86046087985306,232.2786141294998,112.59343453117705,0.0,5.628501105545567,0.0,99.99999999999989,ratio_1_747475_num_75,1.747475,100,101,99
0,483.9510111394502,483.95237044752764,483.9562017370557,485.105374030318,485.88856512388566,484.8956333910481,0.0,16.015546120578957,0.0,0.0,ratio_2_000000_num_100,2.0,100,101,99
8,168.5277995250785,152.17293202810905,150.44212656373273,254.90496843387476,296.61381382771384,129.55296677100372,0.0,8.915291011111702,0.0,95.211112451621,ratio_2_000000_num_100,2.0,100,101,99
14,159.00230335232487,141.94091703249197,131.5630888422264,249.51307281852195,276.06963241139226,121.2627100953814,0.0,7.661816001112405,0.0,99.0952429951004,ratio_2_000000_num_100,2.0,100,101,99
27,154.08110104856203,136.9669683519266,112.05875915345503,243.55098181653003,252.4286277819311,117.0183148181429,0.0,6.4863509476775185,0.0,99.94470438091008,ratio_2_000000_num_100,2.0,100,101,99
100,145.6136731058213,128.47883780111877,99.17660644288458,234.21995989063586,237.41066174943813,111.84831621036287,0.0,5.874786772170074,0.0,100.0,ratio_2_000000_num_100,2.0,100,101,99
