snapshot_number,byte_offset,particle_count,time,x_min,y_min,z_min,x_max,y_max,z_max
0,0,10792,0.0,-30.0,-5.0,-30.0,30.0,5.0,30.0
1,2222885,10792,1.720516059,-30.0,-5.0,-30.0,30.0,5.0,30.0
2,4353329,10792,3.441032118,-30.0,-5.0,-30.0,30.0,5.0,30.0
3,6490113,10792,5.161548178,-30.0,-5.0,-30.0,30.0,5.0,30.0
4,8627985,10792,6.882064237,-30.0,-5.0,-30.0,30.0,5.0,30.0
5,10764065,10792,8.602580296,-30.0,-5.0,-30.0,30.0,5.0,30.0
6,12898542,10792,10.32309636,-30.0,-5.0,-30.0,30.0,5.0,30.0
7,15034448,10792,12.04361241,-30.0,-5.0,-30.0,30.0,5.0,30.0
8,17168030,10792,13.76412847,-30.0,-5.0,-30.0,30.0,5.0,30.0
9,19301567,10792,15.48464453,-30.0,-5.0,-30.0,30.0,5.0,30.0
10,21433506,10792,17.20516059,-30.0,-5.0,-30.0,30.0,5.0,30.0
11,23564162,10792,18.92567665,-30.0,-5.0,-30.0,30.0,5.0,30.0
12,25691039,10792,20.64619271,-30.0,-5.0,-30.0,30.0,5.0,30.0
13,27815398,10792,22.36670877,-30.0,-5.0,-30.0,30.0,5.0,30.0
14,29936872,10792,24.08722483,-30.0,-5.0,-30.0,30.0,5.0,30.0
15,32052401,10792,25.80774089,-30.0,-5.0,-30.0,30.0,5.0,30.0
16,34164358,10792,27.52825695,-30.0,-5.0,-30.0,30.0,5.0,30.0
17,36267796,10792,29.24877301,-30.0,-5.0,-30.0,30.0,5.0,30.0
18,38363945,10792,30.96928907,-30.0,-5.0,-30.0,30.0,5.0,30.0
19,40452385,10792,32.68980512,-30.0,-5.0,-30.0,30.0,5.0,30.0
20,42534469,10792,34.41032118,-30.0,-5.0,-30.0,30.0,5.0,30.0
21,44608296,10792,36.13083724,-30.0,-5.0,-30.0,30.0,5.0,30.0
22,46672791,10792,37.8513533,-30.0,-5.0,-30.0,30.0,5.0,30.0
23,48732128,10792,39.57186936,-30.0,-5.0,-30.0,30.0,5.0,30.0
24,50786866,10792,41.29238542,-30.0,-5.0,-30.0,30.0,5.0,30.0
25,52837771,10792,43.01290148,-30.0,-5.0,-30.0,30.0,5.0,30.0
26,54890332,10792,44.73341754,-30.0,-5.0,-30.0,30.0,5.0,30.0
27,56944185,10792,46.4539336,-30.0,-5.0,-30.0,30.0,5.0,30.0
28,59001237,10792,48.17444966,-30.0,-5.0,-30.0,30.0,5.0,30.0
29,61061081,10792,49.89496572,-30.0,-5.0,-30.0,30.0,5.0,30.0
30,63122419,10792,51.61548178,-30.0,-5.0,-30.0,30.0,5.0,30.0
31,65187292,10792,53.33599783,-30.0,-5.0,-30.0,30.0,5.0,30.0
32,67256020,10792,55.05651389,-30.0,-5.0,-30.0,30.0,5.0,30.0
33,69326060,10792,56.77702995,-30.0,-5.0,-30.0,30.0,5.0,30.0
34,71398481,10792,58.49754601,-30.0,-5.0,-30.0,30.0,5.0,30.0
35,73472416,10792,60.21806207,-30.0,-5.0,-30.0,30.0,5.0,30.0
36,75545274,10792,61.93857813,-30.0,-5.0,-30.0,30.0,5.0,30.0
37,77619336,10792,63.65909419,-30.0,-5.0,-30.0,30.0,5.0,30.0
38,79694071,10792,65.37961025,-30.0,-5.0,-30.0,30.0,5.0,30.0
39,81767587,10792,67.10012631,-30.0,-5.0,-30.0,30.0,5.0,30.0
40,83841187,10792,68.82064237,-30.0,-5.0,-30.0,30.0,5.0,30.0
41,85913709,10792,70.54115843,-30.0,-5.0,-30.0,30.0,5.0,30.0
42,87986050,10792,72.26167449,-30.0,-5.0,-30.0,30.0,5.0,30.0
43,90057178,10792,73.98219054,-30.0,-5.0,-30.0,30.0,5.0,30.0
44,92128661,10792,75.7027066,-30.0,-5.0,-30.0,30.0,5.0,30.0
45,94200729,10792,77.42322266,-30.0,-5.0,-30.0,30.0,5.0,30.0
46,96273735,10792,79.14373872,-30.0,-5.0,-30.0,30.0,5.0,30.0
47,98344570,10792,80.86425478,-30.0,-5.0,-30.0,30.0,5.0,30.0
48,100415202,10792,82.58477084,-30.0,-5.0,-30.0,30.0,5.0,30.0
49,102487126,10792,84.3052869,-30.0,-5.0,-30.0,30.0,5.0,30.0
50,104556942,10792,86.02580296,-30.0,-5.0,-30.0,30.0,5.0,30.0
51,106626516,10792,87.74631902,-30.0,-5.0,-30.0,30.0,5.0,30.0
52,108696433,10792,89.46683508,-30.0,-5.0,-30.0,30.0,5.0,30.0
53,110766448,10792,91.18735114,-30.0,-5.0,-30.0,30.0,5.0,30.0
54,112836888,10792,92.9078672,-30.0,-5.0,-30.0,30.0,5.0,30.0
55,114908357,10792,94.62838326,-30.0,-5.0,-30.0,30.0,5.0,30.0
56,116980515,10792,96.34889931,-30.0,-5.0,-30.0,30.0,5.0,30.0
57,119052396,10792,98.06941537,-30.0,-5.0,-30.0,30.0,5.0,30.0
58,121124814,10792,99.78993143,-30.0,-5.0,-30.0,30.0,5.0,30.0
59,123197587,10792,101.5104475,-30.0,-5.0,-30.0,30.0,5.0,30.0
60,125270121,10792,103.2309636,-30.0,-5.0,-30.0,30.0,5.0,30.0
61,127341702,10792,104.9514796,-30.0,-5.0,-30.0,30.0,5.0,30.0
62,129414451,10792,106.6719957,-30.0,-5.0,-30.0,30.0,5.0,30.0
63,131485242,10792,108.3925117,-30.0,-5.0,-30.0,30.0,5.0,30.0
64,133556828,10792,110.1130278,-30.0,-5.0,-30.0,30.0,5.0,30.0
65,135627554,10792,111.8335438,-30.0,-5.0,-30.0,30.0,5.0,30.0
66,137697352,10792,113.5540599,-30.0,-5.0,-30.0,30.0,5.0,30.0
67,139768014,10792,115.274576,-30.0,-5.0,-30.0,30.0,5.0,30.0
68,141837036,10792,116.995092,-30.0,-5.0,-30.0,30.0,5.0,30.0
69,143907547,10792,118.7156081,-30.0,-5.0,-30.0,30.0,5.0,30.0
70,145977709,10792,120.4361241,-30.0,-5.0,-30.0,30.0,5.0,30.0
71,148047760,10792,122.1566402,-30.0,-5.0,-30.0,30.0,5.0,30.0
72,150117261,10792,123.8771563,-30.0,-5.0,-30.0,30.0,5.0,30.0
73,152188160,10792,125.5976723,-30.0,-5.0,-30.0,30.0,5.0,30.0
74,154260052,10792,127.3181884,-30.0,-5.0,-30.0,30.0,5.0,30.0
75,156331590,10792,129.0387044,-30.0,-5.0,-30.0,30.0,5.0,30.0
76,158402678,10792,130.7592205,-30.0,-5.0,-30.0,30.0,5.0,30.0
77,160473966,10792,132.4797366,-30.0,-5.0,-30.0,30.0,5.0,30.0
78,162545920,10792,134.2002526,-30.0,-5.0,-30.0,30.0,5.0,30.0
79,164617880,10792,135.9207687,-30.0,-5.0,-30.0,30.0,5.0,30.0
80,166690288,10792,137.6412847,-30.0,-5.0,-30.0,30.0,5.0,30.0
81,168763939,10792,139.3618008,-30.0,-5.0,-30.0,30.0,5.0,30.0
82,170836651,10792,141.0823169,-30.0,-5.0,-30.0,30.0,5.0,30.0
83,172908576,10792,142.8028329,-30.0,-5.0,-30.0,30.0,5.0,30.0
84,174980723,10792,144.523349,-30.0,-5.0,-30.0,30.0,5.0,30.0
85,177051810,10792,146.243865,-30.0,-5.0,-30.0,30.0,5.0,30.0
86,179123104,10792,147.9643811,-30.0,-5.0,-30.0,30.0,5.0,30.0
87,181194811,10792,149.6848971,-30.0,-5.0,-30.0,30.0,5.0,30.0
88,183264689,10792,151.4054132,-30.0,-5.0,-30.0,30.0,5.0,30.0
89,185335972,10792,153.1259293,-30.0,-5.0,-30.0,30.0,5.0,30.0
90,187407365,10792,154.8464453,-30.0,-5.0,-30.0,30.0,5.0,30.0
91,189479110,10792,156.5669614,-30.0,-5.0,-30.0,30.0,5.0,30.0
92,191550249,10792,158.2874774,-30.0,-5.0,-30.0,30.0,5.0,30.0
93,193623071,10792,160.0079935,-30.0,-5.0,-30.0,30.0,5.0,30.0
94,195694071,10792,161.7285096,-30.0,-5.0,-30.0,30.0,5.0,30.0
95,197765805,10792,163.4490256,-30.0,-5.0,-30.0,30.0,5.0,30.0
96,199836974,10792,165.1695417,-30.0,-5.0,-30.0,30.0,5.0,30.0
97,201908022,10792,166.8900577,-30.0,-5.0,-30.0,30.0,5.0,30.0
98,203979954,10792,168.6105738,-30.0,-5.0,-30.0,30.0,5.0,30.0
99,206052283,10792,170.3310899,-30.0,-5.0,-30.0,30.0,5.0,30.0
100,208123809,10792,172.0516059,-30.0,-5.0,-30.0,30.0,5.0,30.0
101,210195446,10792,173.772122,-30.0,-5.0,-30.0,30.0,5.0,30.0
102,212268665,10792,175.492638,-30.0,-5.0,-30.0,30.0,5.0,30.0
103,214341428,10792,177.2131541,-30.0,-5.0,-30.0,30.0,5.0,30.0
104,216412748,10792,178.9336702,-30.0,-5.0,-30.0,30.0,5.0,30.0
105,218484131,10792,180.6541862,-30.0,-5.0,-30.0,30.0,5.0,30.0
106,220557196,10792,182.3747023,-30.0,-5.0,-30.0,30.0,5.0,30.0
107,222627626,10792,184.0952183,-30.0,-5.0,-30.0,30.0,5.0,30.0
108,224697954,10792,185.8157344,-30.0,-5.0,-30.0,30.0,5.0,30.0
109,226770067,10792,187.5362505,-30.0,-5.0,-30.0,30.0,5.0,30.0
110,228842804,10792,189.2567665,-30.0,-5.0,-30.0,30.0,5.0,30.0
111,230915272,10792,190.9772826,-30.0,-5.0,-30.0,30.0,5.0,30.0
112,232986939,10792,192.6977986,-30.0,-5.0,-30.0,30.0,5.0,30.0
113,235058769,10792,194.4183147,-30.0,-5.0,-30.0,30.0,5.0,30.0
114,237131727,10792,196.1388307,-30.0,-5.0,-30.0,30.0,5.0,30.0
115,239203183,10792,197.8593468,-30.0,-5.0,-30.0,30.0,5.0,30.0
116,241274747,10792,199.5798629,-30.0,-5.0,-30.0,30.0,5.0,30.0
117,243345010,10792,201.3003789,-30.0,-5.0,-30.0,30.0,5.0,30.0
118,245417217,10792,203.020895,-30.0,-5.0,-30.0,30.0,5.0,30.0
119,247487986,10792,204.741411,-30.0,-5.0,-30.0,30.0,5.0,30.0
120,249558818,10792,206.4619271,-30.0,-5.0,-30.0,30.0,5.0,30.0
121,251629788,10792,208.1824432,-30.0,-5.0,-30.0,30.0,5.0,30.0
122,253700479,10792,209.9029592,-30.0,-5.0,-30.0,30.0,5.0,30.0
123,255771505,10792,211.6234753,-30.0,-5.0,-30.0,30.0,5.0,30.0
124,257842020,10792,213.3439913,-30.0,-5.0,-30.0,30.0,5.0,30.0
