split,data_group,filename,extension,logical_size_bytes,relative_path,logical_size_MiB,size_ratio,simulation_number,parameter_parsed
test,raw_simulation_files,StartSpheresBi_Con,<none>,55411815,bidisperse_mixtures_test_set/StartSpheresBi_Con,52.84482479095459,,,False
test,raw_simulation_files,rotating_drum_bidisperse_size_ratio_1_062500_num_8.data,.data,2088195239,bidisperse_mixtures_test_set/rotating_drum_bidisperse_size_ratio_1_062500_num_8.data,1991.4581670761108,1.0625,8,True
test,raw_simulation_files,rotating_drum_bidisperse_size_ratio_1_062500_num_8.ene,.ene,136402,bidisperse_mixtures_test_set/rotating_drum_bidisperse_size_ratio_1_062500_num_8.ene,0.1300830841064453,1.0625,8,True
test,raw_simulation_files,rotating_drum_bidisperse_size_ratio_1_062500_num_8.restart,.restart,12708669,bidisperse_mixtures_test_set/rotating_drum_bidisperse_size_ratio_1_062500_num_8.restart,12.1199312210083,1.0625,8,True
test,raw_simulation_files,rotating_drum_bidisperse_size_ratio_1_062500_num_8.txt,.txt,7,bidisperse_mixtures_test_set/rotating_drum_bidisperse_size_ratio_1_062500_num_8.txt,6.67572021484375e-06,1.0625,8,True
test,raw_simulation_files,rotating_drum_bidisperse_size_ratio_1_062500_num_8.xballs,.xballs,272,bidisperse_mixtures_test_set/rotating_drum_bidisperse_size_ratio_1_062500_num_8.xballs,0.0002593994140625,1.0625,8,True
test,raw_simulation_files,rotating_drum_bidisperse_size_ratio_1_125000_num_4.data,.data,2119591007,bidisperse_mixtures_test_set/rotating_drum_bidisperse_size_ratio_1_125000_num_4.data,2021.39950466156,1.125,4,True
test,raw_simulation_files,rotating_drum_bidisperse_size_ratio_1_125000_num_4.ene,.ene,136402,bidisperse_mixtures_test_set/rotating_drum_bidisperse_size_ratio_1_125000_num_4.ene,0.1300830841064453,1.125,4,True
test,raw_simulation_files,rotating_drum_bidisperse_size_ratio_1_125000_num_4.restart,.restart,12729110,bidisperse_mixtures_test_set/rotating_drum_bidisperse_size_ratio_1_125000_num_4.restart,12.139425277709961,1.125,4,True
test,raw_simulation_files,rotating_drum_bidisperse_size_ratio_1_125000_num_4.txt,.txt,7,bidisperse_mixtures_test_set/rotating_drum_bidisperse_size_ratio_1_125000_num_4.txt,6.67572021484375e-06,1.125,4,True
test,raw_simulation_files,rotating_drum_bidisperse_size_ratio_1_125000_num_4.xballs,.xballs,272,bidisperse_mixtures_test_set/rotating_drum_bidisperse_size_ratio_1_125000_num_4.xballs,0.0002593994140625,1.125,4,True
test,raw_simulation_files,rotating_drum_bidisperse_size_ratio_1_250000_num_2.data,.data,2233950424,bidisperse_mixtures_test_set/rotating_drum_bidisperse_size_ratio_1_250000_num_2.data,2130.4611434936523,1.25,2,True
test,raw_simulation_files,rotating_drum_bidisperse_size_ratio_1_250000_num_2.ene,.ene,136402,bidisperse_mixtures_test_set/rotating_drum_bidisperse_size_ratio_1_250000_num_2.ene,0.1300830841064453,1.25,2,True
test,raw_simulation_files,rotating_drum_bidisperse_size_ratio_1_250000_num_2.restart,.restart,13253133,bidisperse_mixtures_test_set/rotating_drum_bidisperse_size_ratio_1_250000_num_2.restart,12.639172554016113,1.25,2,True
test,raw_simulation_files,rotating_drum_bidisperse_size_ratio_1_250000_num_2.txt,.txt,7,bidisperse_mixtures_test_set/rotating_drum_bidisperse_size_ratio_1_250000_num_2.txt,6.67572021484375e-06,1.25,2,True
test,raw_simulation_files,rotating_drum_bidisperse_size_ratio_1_250000_num_2.xballs,.xballs,273,bidisperse_mixtures_test_set/rotating_drum_bidisperse_size_ratio_1_250000_num_2.xballs,0.00026035308837890625,1.25,2,True
test,raw_simulation_files,rotating_drum_bidisperse_size_ratio_1_312500_num_10.data,.data,2313710622,bidisperse_mixtures_test_set/rotating_drum_bidisperse_size_ratio_1_312500_num_10.data,2206.5263957977295,1.3125,10,True
test,raw_simulation_files,rotating_drum_bidisperse_size_ratio_1_312500_num_10.ene,.ene,136402,bidisperse_mixtures_test_set/rotating_drum_bidisperse_size_ratio_1_312500_num_10.ene,0.1300830841064453,1.3125,10,True
test,raw_simulation_files,rotating_drum_bidisperse_size_ratio_1_312500_num_10.restart,.restart,13466369,bidisperse_mixtures_test_set/rotating_drum_bidisperse_size_ratio_1_312500_num_10.restart,12.842530250549316,1.3125,10,True
test,raw_simulation_files,rotating_drum_bidisperse_size_ratio_1_312500_num_10.txt,.txt,6,bidisperse_mixtures_test_set/rotating_drum_bidisperse_size_ratio_1_312500_num_10.txt,5.7220458984375e-06,1.3125,10,True
test,raw_simulation_files,rotating_drum_bidisperse_size_ratio_1_312500_num_10.xballs,.xballs,273,bidisperse_mixtures_test_set/rotating_drum_bidisperse_size_ratio_1_312500_num_10.xballs,0.00026035308837890625,1.3125,10,True
test,raw_simulation_files,rotating_drum_bidisperse_size_ratio_1_375000_num_6.data,.data,2405152730,bidisperse_mixtures_test_set/rotating_drum_bidisperse_size_ratio_1_375000_num_6.data,2293.732385635376,1.375,6,True
test,raw_simulation_files,rotating_drum_bidisperse_size_ratio_1_375000_num_6.ene,.ene,136402,bidisperse_mixtures_test_set/rotating_drum_bidisperse_size_ratio_1_375000_num_6.ene,0.1300830841064453,1.375,6,True
