grid_size,cutoff,rank,mean_continuum_error,mean_particle_error,minimum_route_ratio,median_route_ratio,maximum_route_ratio
75,2.0,27,2.070136781929199,101.15108103395148,33.80706270016031,56.03594824609983,60.56875994743783
75,2.0,100,1.9564445995606896,97.56141186663702,33.61896278075038,60.12106135889712,60.32187246921646
75,3.0,27,1.510983155554608,98.04234753566834,46.62496290575782,72.47918675164446,79.36221284672939
75,3.0,100,1.4049686423324657,94.76433562548812,47.25548936546578,79.58385714187074,79.84014159953271
75,4.0,27,1.1434375824534084,94.55182495711381,58.756007424097696,96.50102813273303,97.92899031472712
75,4.0,100,1.0218151618058033,91.54434104787659,62.873732347049106,103.1709696330096,108.69004082793356
100,2.0,27,2.069455555440807,101.15026575421003,33.82601517771814,56.044138828717756,60.5811913030336
100,2.0,100,1.9556794130698647,97.56064527463673,33.63945362525218,60.13635788154319,60.3353528263998
100,3.0,27,1.5109399125851963,98.04229405812161,46.62945144344213,72.47848207675675,79.36105654164795
100,3.0,100,1.4048641049992916,94.76430083484546,47.262270732445344,79.5904191676761,79.83811989245169
100,4.0,27,1.1434606277910853,94.55179812792085,58.757477435693694,96.49199131955157,97.92940491950802
100,4.0,100,1.0217949107265587,91.54432503989824,62.874430380443556,103.17266945364443,108.69359381086984
125,2.0,27,2.0695500475390527,101.15062509678478,33.82702624743108,56.045175141573395,60.56833011966049
125,2.0,100,1.9557124397029308,97.56086969553076,33.64268350973156,60.12260214401053,60.33804067040977
125,3.0,27,1.510957971868088,98.04227669953474,46.6293683638222,72.47726555055118,79.35947849637762
125,3.0,100,1.404889338312029,94.76428356620973,47.26206943628033,79.5883633476718,79.83592808330789
125,4.0,27,1.1434570734646288,94.55180014684231,58.757603633288426,96.49290728793106,97.92911643027338
125,4.0,100,1.021794053621899,91.54432479349435,62.87470642622198,103.17211363471479,108.69385069037781
