table,case_id,metric,maximum_absolute_difference,passed
average,ratio_1_000000_num_1,relative_l2_error_percent,1.4210854715202004e-14,True
average,ratio_1_000000_num_1,normalised_l1_error_percent,7.105427357601002e-15,True
average,ratio_1_000000_num_1,active_bed_rmse,8.326672684688674e-17,True
average,ratio_1_000000_num_1,correlation,2.220446049250313e-16,True
average,ratio_1_000000_num_1,field_integral,1.7053025658242404e-13,True
average,ratio_1_000000_num_1,integral_error_percent,4.0023540037736893e-14,True
average,ratio_1_000000_num_1,field_centroid_error,3.885780586188048e-15,True
average,ratio_1_000000_num_1,maximum_volume_fraction,2.220446049250313e-16,True
average,ratio_1_000000_num_1,grid_fraction_phi_gt_one_percent,0.0,True
average,ratio_1_000000_num_1,error_multiple_of_cycle_variation,3.3306690738754696e-16,True
average,ratio_1_000000_num_1,maximum_over_true_maximum,4.440892098500626e-16,True
average,ratio_1_000000_num_1,minimum_volume_fraction,8.355578559165672e-19,True
average,ratio_1_000000_num_1,grid_fraction_phi_lt_zero_percent,0.08999999999999997,False
average,ratio_1_000000_num_1,size_ratio,0.0,True
average,ratio_1_494949_num_50,relative_l2_error_percent,4.440892098500626e-16,True
average,ratio_1_494949_num_50,normalised_l1_error_percent,1.4210854715202004e-14,True
average,ratio_1_494949_num_50,active_bed_rmse,8.977193988179977e-17,True
average,ratio_1_494949_num_50,correlation,5.551115123125783e-16,True
average,ratio_1_494949_num_50,field_integral,1.7053025658242404e-13,True
average,ratio_1_494949_num_50,integral_error_percent,4.007905118896815e-14,True
average,ratio_1_494949_num_50,field_centroid_error,3.795574965437254e-15,True
average,ratio_1_494949_num_50,maximum_volume_fraction,1.1102230246251565e-16,True
average,ratio_1_494949_num_50,grid_fraction_phi_gt_one_percent,0.0,True
average,ratio_1_494949_num_50,error_multiple_of_cycle_variation,2.842170943040401e-14,True
average,ratio_1_494949_num_50,maximum_over_true_maximum,1.7763568394002505e-15,True
average,ratio_1_494949_num_50,minimum_volume_fraction,2.2520433144631375e-18,True
average,ratio_1_494949_num_50,grid_fraction_phi_lt_zero_percent,0.039999999999999925,False
average,ratio_1_494949_num_50,size_ratio,0.0,True
average,ratio_2_000000_num_100,relative_l2_error_percent,1.4210854715202004e-14,True
average,ratio_2_000000_num_100,normalised_l1_error_percent,1.4210854715202004e-14,True
average,ratio_2_000000_num_100,active_bed_rmse,1.1102230246251565e-16,True
average,ratio_2_000000_num_100,correlation,1.4432899320127035e-15,True
average,ratio_2_000000_num_100,field_integral,2.2737367544323206e-13,True
average,ratio_2_000000_num_100,integral_error_percent,4.010680676458378e-14,True
average,ratio_2_000000_num_100,field_centroid_error,5.55805401702969e-15,True
average,ratio_2_000000_num_100,maximum_volume_fraction,4.440892098500626e-16,True
average,ratio_2_000000_num_100,grid_fraction_phi_gt_one_percent,2.220446049250313e-16,True
average,ratio_2_000000_num_100,error_multiple_of_cycle_variation,1.4210854715202004e-14,True
average,ratio_2_000000_num_100,maximum_over_true_maximum,8.881784197001252e-16,True
average,ratio_2_000000_num_100,minimum_volume_fraction,6.776263578034403e-19,True
average,ratio_2_000000_num_100,grid_fraction_phi_lt_zero_percent,0.06,False
average,ratio_2_000000_num_100,size_ratio,0.0,True
time,ratio_1_000000_num_1,spacetime_relative_l2_error_percent,1.4210854715202004e-14,True
time,ratio_1_000000_num_1,mean_snapshot_l2_error_percent,1.4210854715202004e-14,True
time,ratio_1_000000_num_1,median_snapshot_l2_error_percent,1.4210854715202004e-14,True
time,ratio_1_000000_num_1,p95_snapshot_l2_error_percent,2.842170943040401e-14,True
time,ratio_1_000000_num_1,maximum_snapshot_l2_error_percent,1.7763568394002505e-15,True
time,ratio_1_000000_num_1,mean_spatial_correlation,3.3306690738754696e-16,True
time,ratio_1_000000_num_1,minimum_spatial_correlation,1.1102230246251565e-16,True
time,ratio_1_000000_num_1,time_averaged_l2_error_percent,1.4210854715202004e-14,True
time,ratio_1_000000_num_1,mean_absolute_integral_error_percent,5.717648576819556e-15,True
time,ratio_1_000000_num_1,maximum_volume_fraction,1.6653345369377348e-16,True
time,ratio_1_000000_num_1,minimum_volume_fraction,1.9081958235744878e-17,True
time,ratio_1_000000_num_1,grid_time_fraction_phi_gt_one_percent,5.551115123125783e-17,True
time,ratio_1_000000_num_1,grid_time_fraction_phi_lt_tolerance_percent,5.551115123125783e-17,True
time,ratio_1_000000_num_1,average_field_consistency_percent,0.0,True
time,ratio_1_000000_num_1,size_ratio,0.0,True
time,ratio_1_494949_num_50,spacetime_relative_l2_error_percent,2.842170943040401e-14,True
time,ratio_1_494949_num_50,mean_snapshot_l2_error_percent,1.7763568394002505e-15,True
time,ratio_1_494949_num_50,median_snapshot_l2_error_percent,4.263256414560601e-14,True
time,ratio_1_494949_num_50,p95_snapshot_l2_error_percent,5.684341886080802e-14,True
time,ratio_1_494949_num_50,maximum_snapshot_l2_error_percent,5.684341886080802e-14,True
time,ratio_1_494949_num_50,mean_spatial_correlation,3.3306690738754696e-16,True
