rank,continuum_training_energy_percent,particle_training_energy_percent,case_id,size_ratio,grid_size,cutoff,evaluation_role,runtime_seconds
27,49.39296022031526,99.93949216931345,ratio_1_000000_num_1,1.0,75,2.0,training_case_diagnostic,5.107038730999193
100,99.99999999999997,99.99999999999997,ratio_1_000000_num_1,1.0,75,2.0,training_case_diagnostic,5.107038730999193
27,64.3618051022338,99.93949216931345,ratio_1_000000_num_1,1.0,75,3.0,training_case_diagnostic,8.810507656999107
100,99.99999999999991,99.99999999999997,ratio_1_000000_num_1,1.0,75,3.0,training_case_diagnostic,8.810507656999107
27,74.80057719122436,99.93949216931345,ratio_1_000000_num_1,1.0,75,4.0,training_case_diagnostic,13.868348255000456
100,100.00000000000004,99.99999999999997,ratio_1_000000_num_1,1.0,75,4.0,training_case_diagnostic,13.868348255000456
27,49.39528788432803,99.93949216931345,ratio_1_000000_num_1,1.0,100,2.0,training_case_diagnostic,7.24784392699803
100,100.00000000000004,99.99999999999997,ratio_1_000000_num_1,1.0,100,2.0,training_case_diagnostic,7.24784392699803
27,64.36206268243627,99.93949216931345,ratio_1_000000_num_1,1.0,100,3.0,training_case_diagnostic,14.25636283499989
100,99.99999999999996,99.99999999999997,ratio_1_000000_num_1,1.0,100,3.0,training_case_diagnostic,14.25636283499989
27,74.80068136820907,99.93949216931345,ratio_1_000000_num_1,1.0,100,4.0,training_case_diagnostic,25.046296190001158
100,100.0,99.99999999999997,ratio_1_000000_num_1,1.0,100,4.0,training_case_diagnostic,25.046296190001158
27,49.394562075402746,99.93949216931345,ratio_1_000000_num_1,1.0,125,2.0,training_case_diagnostic,11.13605837400246
100,99.99999999999997,99.99999999999997,ratio_1_000000_num_1,1.0,125,2.0,training_case_diagnostic,11.13605837400246
27,64.36236256058154,99.93949216931345,ratio_1_000000_num_1,1.0,125,3.0,training_case_diagnostic,23.77661834399987
100,99.99999999999997,99.99999999999997,ratio_1_000000_num_1,1.0,125,3.0,training_case_diagnostic,23.77661834399987
27,74.80075674317388,99.93949216931345,ratio_1_000000_num_1,1.0,125,4.0,training_case_diagnostic,38.15514239999902
100,100.0,99.99999999999997,ratio_1_000000_num_1,1.0,125,4.0,training_case_diagnostic,38.15514239999902
27,54.57686397710258,99.94054825407855,ratio_1_494949_num_50,1.494949,75,2.0,training_case_diagnostic,8.742475835999358
100,100.00000000000003,100.0,ratio_1_494949_num_50,1.494949,75,2.0,training_case_diagnostic,8.742475835999358
27,70.01178014401309,99.94054825407855,ratio_1_494949_num_50,1.494949,75,3.0,training_case_diagnostic,16.611105773001327
100,100.00000000000007,100.0,ratio_1_494949_num_50,1.494949,75,3.0,training_case_diagnostic,16.611105773001327
27,80.4079272682966,99.94054825407855,ratio_1_494949_num_50,1.494949,75,4.0,training_case_diagnostic,28.934412179998617
100,99.99999999999997,100.0,ratio_1_494949_num_50,1.494949,75,4.0,training_case_diagnostic,28.934412179998617
27,54.574908229894646,99.94054825407855,ratio_1_494949_num_50,1.494949,100,2.0,training_case_diagnostic,14.25491696699828
100,100.00000000000003,100.0,ratio_1_494949_num_50,1.494949,100,2.0,training_case_diagnostic,14.25491696699828
27,70.01111124216169,99.94054825407855,ratio_1_494949_num_50,1.494949,100,3.0,training_case_diagnostic,28.48449421800251
