case_id,size_ratio,grid_size,cutoff,grid_shape,runtime_seconds,continuum_numerical_rank,particle_numerical_rank,training_snapshot_count,validation_snapshot_count,finite
ratio_1_000000_num_1,1.0,75,2.0,"(75, 75)",5.107038730999193,100,100,101,99,True
ratio_1_000000_num_1,1.0,75,3.0,"(75, 75)",8.810507656999107,100,100,101,99,True
ratio_1_000000_num_1,1.0,75,4.0,"(75, 75)",13.868348255000456,100,100,101,99,True
ratio_1_000000_num_1,1.0,100,2.0,"(100, 100)",7.24784392699803,100,100,101,99,True
ratio_1_000000_num_1,1.0,100,3.0,"(100, 100)",14.25636283499989,100,100,101,99,True
ratio_1_000000_num_1,1.0,100,4.0,"(100, 100)",25.046296190001158,100,100,101,99,True
ratio_1_000000_num_1,1.0,125,2.0,"(125, 125)",11.13605837400246,100,100,101,99,True
ratio_1_000000_num_1,1.0,125,3.0,"(125, 125)",23.77661834399987,100,100,101,99,True
ratio_1_000000_num_1,1.0,125,4.0,"(125, 125)",38.15514239999902,100,100,101,99,True
ratio_1_494949_num_50,1.494949,75,2.0,"(75, 75)",8.742475835999358,100,100,101,99,True
ratio_1_494949_num_50,1.494949,75,3.0,"(75, 75)",16.611105773001327,100,100,101,99,True
ratio_1_494949_num_50,1.494949,75,4.0,"(75, 75)",28.934412179998617,100,100,101,99,True
ratio_1_494949_num_50,1.494949,100,2.0,"(100, 100)",14.25491696699828,100,100,101,99,True
ratio_1_494949_num_50,1.494949,100,3.0,"(100, 100)",28.48449421800251,100,100,101,99,True
ratio_1_494949_num_50,1.494949,100,4.0,"(100, 100)",49.4260650599972,100,100,101,99,True
ratio_1_494949_num_50,1.494949,125,2.0,"(125, 125)",20.661949655997887,100,100,101,99,True
ratio_1_494949_num_50,1.494949,125,3.0,"(125, 125)",45.804739074999816,100,100,101,99,True
ratio_1_494949_num_50,1.494949,125,4.0,"(125, 125)",74.8031973449979,100,100,101,99,True
ratio_2_000000_num_100,2.0,75,2.0,"(75, 75)",15.214878391001548,100,100,101,99,True
ratio_2_000000_num_100,2.0,75,3.0,"(75, 75)",30.047394222001458,100,100,101,99,True
ratio_2_000000_num_100,2.0,75,4.0,"(75, 75)",49.971867035998,100,100,101,99,True
ratio_2_000000_num_100,2.0,100,2.0,"(100, 100)",24.25188968799921,100,100,101,99,True
ratio_2_000000_num_100,2.0,100,3.0,"(100, 100)",50.28495824199854,100,100,101,99,True
ratio_2_000000_num_100,2.0,100,4.0,"(100, 100)",81.61611575500137,100,100,101,99,True
ratio_2_000000_num_100,2.0,125,2.0,"(125, 125)",36.373236232000636,100,100,101,99,True
ratio_2_000000_num_100,2.0,125,3.0,"(125, 125)",74.38110345300083,100,100,101,99,True
ratio_2_000000_num_100,2.0,125,4.0,"(125, 125)",137.46620111399898,100,100,101,99,True
