field,rank,relative_l2_error_percent,normalised_l1_error_percent,active_bed_rmse,correlation,field_integral,integral_error_percent,field_centroid_error,maximum_volume_fraction,grid_fraction_phi_gt_one_percent,route,error_multiple_of_cycle_variation,maximum_over_true_maximum,minimum_volume_fraction,grid_fraction_phi_lt_zero_percent,case_id,size_ratio,grid_size,cutoff,evaluation_role,runtime_seconds
CG then POD,27,2.3579679355675283,1.9356151733375977,0.005332865943175697,0.9996227983694871,282.7916377688741,0.001065427709242722,0.03294828480116672,0.30601825092375434,0.0,CG then POD,0.9609957172701293,1.0173788804944393,-2.643606878258385e-18,0.8355555555555555,ratio_1_000000_num_1,1.0,75,2.0,training_case_diagnostic,5.107038730999193
Particle POD then CG,27,79.715969842699,63.10983023879728,0.18032286344687917,0.7505515532135397,281.87646567606333,-0.3225586548585152,0.0653112669288959,1.0436617360961593,0.08888888888888889,Particle POD then CG,32.48844246833679,3.4697257613858628,0.0,0.0,ratio_1_000000_num_1,1.0,75,2.0,training_case_diagnostic,5.107038730999193
CG then POD,100,2.2853753310279905,1.8877426159146093,0.005169091654215489,0.9996456417142429,282.7924547147573,0.0013543169400510795,0.031879993720248946,0.3056524502554934,0.0,CG then POD,0.931410420109933,1.016162750824931,-5.219504750593954e-18,0.9777777777777777,ratio_1_000000_num_1,1.0,75,2.0,training_case_diagnostic,5.107038730999193
Particle POD then CG,100,76.83194819387509,61.48141886556138,0.1737928513101736,0.7616018961372462,281.90015177287063,-0.3141827533105021,0.05922285511793854,0.9934049311444378,0.0,Particle POD then CG,31.313052247278915,3.3026435308173694,0.0,0.0,ratio_1_000000_num_1,1.0,75,2.0,training_case_diagnostic,5.107038730999193
CG then POD,27,1.6717445663386,1.3545996431042786,0.003626716226250701,0.9998092651336241,282.7980097377456,4.924613209549747e-05,0.023856922583946633,0.3022803127511641,0.0,CG then POD,0.9251332090539874,1.0119893223398195,-4.016308050986142e-18,0.9422222222222223,ratio_1_000000_num_1,1.0,75,3.0,training_case_diagnostic,8.810507656999107
Particle POD then CG,27,77.94502839343942,61.79687655049264,0.1691336633691656,0.763541059868115,281.8341751386737,-0.3407717782509897,0.06683153604014164,0.9637299442985138,0.0,Particle POD then CG,43.13430155502686,3.2264238592742727,0.0,0.0,ratio_1_000000_num_1,1.0,75,3.0,training_case_diagnostic,8.810507656999107
CG then POD,100,1.5918182570311474,1.2998928952921052,0.0034530546828319,0.9998271097896345,282.79806820158996,6.991950006359613e-05,0.027227658034398323,0.30157804888414586,0.0,CG then POD,0.8809024787699995,1.009638247840725,-1.2407952413529803e-06,1.1555555555555554,ratio_1_000000_num_1,1.0,75,3.0,training_case_diagnostic,8.810507656999107
Particle POD then CG,100,75.22215071688966,60.183050329971024,0.16322162980862517,0.7737635680807734,281.8637382679885,-0.33031797629499005,0.06017920432896587,0.9255063694656008,0.0,Particle POD then CG,41.62747771752815,3.098457041850712,0.0,0.0,ratio_1_000000_num_1,1.0,75,3.0,training_case_diagnostic,8.810507656999107
CG then POD,27,1.292778586055871,1.0555239431533956,0.0026913632579946526,0.9998851803702237,282.79838198802634,-1.3359860755681648e-05,0.021183977465252274,0.2985814253163667,0.0,CG then POD,0.8749601630669896,1.0043100296281748,-4.591723787206073e-18,0.8533333333333334,ratio_1_000000_num_1,1.0,75,4.0,training_case_diagnostic,13.868348255000456
Particle POD then CG,27,75.95850820001327,60.4632694484128,0.15817217915630893,0.7768174009244146,281.77084947161427,-0.3633578641368297,0.06862675014676922,0.9232594451978776,0.0,Particle POD then CG,51.40916583695377,3.1054802547703764,0.0,0.0,ratio_1_000000_num_1,1.0,75,4.0,training_case_diagnostic,13.868348255000456
CG then POD,100,1.1674493152150949,0.9879459743916517,0.0024285428796429393,0.9999065493631588,282.79835966424355,-2.1253746020304378e-05,0.022935710379748068,0.29938226331483403,0.0,CG then POD,0.7901365742214569,1.0070037324702583,-7.117073636406738e-05,1.6177777777777778,ratio_1_000000_num_1,1.0,75,4.0,training_case_diagnostic,13.868348255000456
Particle POD then CG,100,73.40189577357964,58.88145711123096,0.15284596648411822,0.786204087492487,281.80714212857714,-0.3505244625243129,0.061195144802063416,0.8765195932149489,0.0,Particle POD then CG,49.67883548521419,2.948265846405709,0.0,0.0,ratio_1_000000_num_1,1.0,75,4.0,training_case_diagnostic,13.868348255000456
CG then POD,27,2.3566101588929182,1.9350629645477053,0.005326701194257001,0.999623224701158,282.8000078546714,-9.716364422155592e-05,0.03294157080529886,0.30692078890021696,0.0,CG then POD,0.961018530408689,1.019877643854563,-4.478295517248499e-18,0.5700000000000001,ratio_1_000000_num_1,1.0,100,2.0,training_case_diagnostic,7.24784392699803
Particle POD then CG,27,79.71473100267661,63.10485287551031,0.1802100492906636,0.7505450362513607,281.87558915672736,-0.32697756465898253,0.06549161674069935,1.035409447860155,0.09,Particle POD then CG,32.5074273956727,3.4405976600421226,0.0,0.0,ratio_1_000000_num_1,1.0,100,2.0,training_case_diagnostic,7.24784392699803
CG then POD,100,2.283955320669845,1.8816345716872833,0.005162962729297024,0.9996460732066511,282.8001661733456,-4.1181142105525946e-05,0.03186787010787906,0.3054876314436851,0.0,CG then POD,0.9313901060412834,1.0151153556587136,-6.8798764537789715e-18,0.5,ratio_1_000000_num_1,1.0,100,2.0,training_case_diagnostic,7.24784392699803
Particle POD then CG,100,76.83100909182123,61.45192872785338,0.17368497031385702,0.7615926356943783,281.89900099033383,-0.3186989896206415,0.05934847932250644,0.9877002586119288,0.0,Particle POD then CG,31.331454279194464,3.2820631544615595,0.0,0.0,ratio_1_000000_num_1,1.0,100,2.0,training_case_diagnostic,7.24784392699803
CG then POD,27,1.6715817418897696,1.3537971123221435,0.0036262191441347722,0.9998093019673262,282.79828886346803,1.5854778352539448e-06,0.023868618924561553,0.3026358242827247,0.0,CG then POD,0.9251334631501403,1.0127713287847038,-5.048403366805249e-18,0.5499999999999999,ratio_1_000000_num_1,1.0,100,3.0,training_case_diagnostic,14.25636283499989
Particle POD then CG,27,77.94493966719342,61.80524591888885,0.16911774554600129,0.7635420859851394,281.83145455138066,-0.3418796653960314,0.06690593991127802,0.967091990166215,0.0,Particle POD then CG,43.13846589866292,3.2363750797152098,0.0,0.0,ratio_1_000000_num_1,1.0,100,3.0,training_case_diagnostic,14.25636283499989
CG then POD,100,1.5915891820559365,1.2969631683487544,0.0034525361737817346,0.9998271587603774,282.7982902945302,2.091514205591169e-06,0.027228143557592857,0.3014027556563933,0.0,CG then POD,0.8808617460986873,1.008644862414993,-3.8186891554238164e-06,0.67,ratio_1_000000_num_1,1.0,100,3.0,training_case_diagnostic,14.25636283499989
Particle POD then CG,100,75.22211881715891,60.174788782274355,0.16320639741345444,0.7737640763619714,281.86128960234237,-0.331329724816603,0.06022011672595808,0.9276471767526054,0.0,Particle POD then CG,41.63152632197069,3.104372940876399,0.0,0.0,ratio_1_000000_num_1,1.0,100,3.0,training_case_diagnostic,14.25636283499989
CG then POD,27,1.2927453491401346,1.0558487548862334,0.002686708066726529,0.9998851863451758,282.79835779938117,-3.122226109311787e-06,0.021185497242077113,0.29878872739821805,0.0,CG then POD,0.8749616096091204,1.004781988487583,-4.903461108606215e-18,0.44999999999999996,ratio_1_000000_num_1,1.0,100,4.0,training_case_diagnostic,25.046296190001158
Particle POD then CG,27,75.95845568219943,60.46799406425023,0.15789985089460376,0.7768187522447766,281.7678942706187,-0.36438412663070263,0.06867877563798395,0.9259735234073199,0.0,Particle POD then CG,51.41053703370613,3.1139110442277325,0.0,0.0,ratio_1_000000_num_1,1.0,100,4.0,training_case_diagnostic,25.046296190001158
CG then POD,100,1.1674359486507258,0.9886517508620506,0.0024246386976869076,0.9999065516043912,282.7983171159114,-1.7508260317281527e-05,0.02293205013605572,0.29930073781717104,0.0,CG then POD,0.7901491484199973,1.0065038032674167,-7.794503786238764e-05,1.18,ratio_1_000000_num_1,1.0,100,4.0,training_case_diagnostic,25.046296190001158
Particle POD then CG,100,73.40187027706713,58.87563537390076,0.15258309250036614,0.7862052023105717,281.80444859567547,-0.3514581944577134,0.06122415509841653,0.8759427078795853,0.0,Particle POD then CG,49.680177622499876,2.9456648632243443,0.0,0.0,ratio_1_000000_num_1,1.0,100,4.0,training_case_diagnostic,25.046296190001158
