model,rank,evaluation_role,uncertainty_source,prediction_source,duration_scaling,size_ratio,source_simulation,quantity,mode,loo_eligible,exclusion_reason,observed_absolute,predicted_absolute,absolute_error,relative_error_percent
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.0,1,mode,1,False,endpoint_requires_extrapolation,0.007590022103831441,,,
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.0,1,mode,2,False,endpoint_requires_extrapolation,0.012494560351392013,,,
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.0,1,mode,3,False,endpoint_requires_extrapolation,0.019107283549369056,,,
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.0,1,mode,4,False,endpoint_requires_extrapolation,0.030659906419936732,,,
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.0,1,mode,5,False,endpoint_requires_extrapolation,0.014464645360723867,,,
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.0,1,mode,6,False,endpoint_requires_extrapolation,0.026008573538561362,,,
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.0,1,modal_vector_summary,0,False,endpoint_requires_extrapolation,0.049035828565945114,,,
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.0,1,field,0,False,endpoint_requires_extrapolation,0.1445121491044985,,,
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.10101,11,mode,1,True,,0.013685220884157221,0.009293477793513845,0.0043917430906433765,32.09113778885005
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.10101,11,mode,2,True,,0.02648388827690764,0.01631640368433451,0.01016748459257313,38.39120784027233
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.10101,11,mode,3,True,,0.013734466328124544,0.025694742769089257,0.011960276440964713,87.08220731134809
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.10101,11,mode,4,True,,0.02651321630253734,0.028535204275886863,0.002021987973349522,7.626339823418615
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.10101,11,mode,5,True,,0.02175676403903246,0.014032906717310419,0.00772385732172204,35.500947235835014
