model,rank,evaluation_role,uncertainty_source,duration_scaling,size_ratio,source_simulation,quantity,mode,duration,target_duration,duration_difference_from_target,relative_duration_difference_percent,field_count,variance_degrees_of_freedom,direct_absolute_sd,primary_estimate_absolute,direct_to_primary_ratio,one_degree_of_freedom_warning
validation_selected_rank,6,fitting,variable_duration_diagnostic,direct_n2_sensitivity,1.30303,31,mode,1,344.145,343.72,0.4249999999999545,0.12364715466075715,2,1,0.03635057084962018,0.008956380436272154,4.058622912265449,True
validation_selected_rank,6,fitting,variable_duration_diagnostic,direct_n2_sensitivity,1.30303,31,mode,2,344.145,343.72,0.4249999999999545,0.12364715466075715,2,1,0.07368708404643555,0.016285723453415002,4.5246429645705355,True
validation_selected_rank,6,fitting,variable_duration_diagnostic,direct_n2_sensitivity,1.30303,31,mode,3,344.145,343.72,0.4249999999999545,0.12364715466075715,2,1,0.02189833887085042,0.028603280067488752,0.7655883807445095,True
validation_selected_rank,6,fitting,variable_duration_diagnostic,direct_n2_sensitivity,1.30303,31,mode,4,344.145,343.72,0.4249999999999545,0.12364715466075715,2,1,0.09382647356737514,0.02936388456526799,3.1953018122934047,True
validation_selected_rank,6,fitting,variable_duration_diagnostic,direct_n2_sensitivity,1.30303,31,mode,5,344.145,343.72,0.4249999999999545,0.12364715466075715,2,1,0.05895464026893023,0.024716174248335387,2.385265602863306,True
validation_selected_rank,6,fitting,variable_duration_diagnostic,direct_n2_sensitivity,1.30303,31,mode,6,344.145,343.72,0.4249999999999545,0.12364715466075715,2,1,0.07122743451021386,0.04088168916492688,1.7422820819087177,True
validation_selected_rank,6,fitting,variable_duration_diagnostic,direct_n2_sensitivity,1.30303,31,field,0,344.145,343.72,0.4249999999999545,0.12364715466075715,2,1,0.1725538562077486,0.13966988065197172,1.2354407077766243,True
paper_rank15,15,fitting,variable_duration_diagnostic,direct_n2_sensitivity,1.30303,31,mode,1,344.145,343.72,0.4249999999999545,0.12364715466075715,2,1,0.03635057084962018,0.008956380436272154,4.058622912265449,True
paper_rank15,15,fitting,variable_duration_diagnostic,direct_n2_sensitivity,1.30303,31,mode,2,344.145,343.72,0.4249999999999545,0.12364715466075715,2,1,0.07368708404643555,0.016285723453415002,4.5246429645705355,True
paper_rank15,15,fitting,variable_duration_diagnostic,direct_n2_sensitivity,1.30303,31,mode,3,344.145,343.72,0.4249999999999545,0.12364715466075715,2,1,0.02189833887085042,0.028603280067488752,0.7655883807445095,True
paper_rank15,15,fitting,variable_duration_diagnostic,direct_n2_sensitivity,1.30303,31,mode,4,344.145,343.72,0.4249999999999545,0.12364715466075715,2,1,0.09382647356737514,0.02936388456526799,3.1953018122934047,True
paper_rank15,15,fitting,variable_duration_diagnostic,direct_n2_sensitivity,1.30303,31,mode,5,344.145,343.72,0.4249999999999545,0.12364715466075715,2,1,0.05895464026893023,0.024716174248335387,2.385265602863306,True
paper_rank15,15,fitting,variable_duration_diagnostic,direct_n2_sensitivity,1.30303,31,mode,6,344.145,343.72,0.4249999999999545,0.12364715466075715,2,1,0.07122743451021386,0.04088168916492688,1.7422820819087177,True
paper_rank15,15,fitting,variable_duration_diagnostic,direct_n2_sensitivity,1.30303,31,mode,7,344.145,343.72,0.4249999999999545,0.12364715466075715,2,1,0.010732087493217203,0.022806972667465238,0.470561685222117,True
paper_rank15,15,fitting,variable_duration_diagnostic,direct_n2_sensitivity,1.30303,31,mode,8,344.145,343.72,0.4249999999999545,0.12364715466075715,2,1,0.0061977173780130455,0.017285224929451976,0.35855578410512146,True
paper_rank15,15,fitting,variable_duration_diagnostic,direct_n2_sensitivity,1.30303,31,mode,9,344.145,343.72,0.4249999999999545,0.12364715466075715,2,1,0.008124376060086067,0.019948921690057287,0.40725890784038343,True
paper_rank15,15,fitting,variable_duration_diagnostic,direct_n2_sensitivity,1.30303,31,mode,10,344.145,343.72,0.4249999999999545,0.12364715466075715,2,1,0.007380451285314433,0.019101009136412956,0.3863906473530138,True
paper_rank15,15,fitting,variable_duration_diagnostic,direct_n2_sensitivity,1.30303,31,mode,11,344.145,343.72,0.4249999999999545,0.12364715466075715,2,1,0.025383292172865408,0.018388694008581268,1.3803749282586377,True
paper_rank15,15,fitting,variable_duration_diagnostic,direct_n2_sensitivity,1.30303,31,mode,12,344.145,343.72,0.4249999999999545,0.12364715466075715,2,1,0.022386373579331587,0.011249202240860671,1.9900409913528958,True
paper_rank15,15,fitting,variable_duration_diagnostic,direct_n2_sensitivity,1.30303,31,mode,13,344.145,343.72,0.4249999999999545,0.12364715466075715,2,1,0.006473384972121874,0.02125933550980093,0.3044961103858363,True
paper_rank15,15,fitting,variable_duration_diagnostic,direct_n2_sensitivity,1.30303,31,mode,14,344.145,343.72,0.4249999999999545,0.12364715466075715,2,1,0.0122312415171621,0.019175246832436807,0.637866183629603,True
paper_rank15,15,fitting,variable_duration_diagnostic,direct_n2_sensitivity,1.30303,31,mode,15,344.145,343.72,0.4249999999999545,0.12364715466075715,2,1,0.00029458576006771475,0.020761996576503634,0.014188700926822118,True
paper_rank15,15,fitting,variable_duration_diagnostic,direct_n2_sensitivity,1.30303,31,field,0,344.145,343.72,0.4249999999999545,0.12364715466075715,2,1,0.1725538562077486,0.13966988065197172,1.2354407077766243,True
