case_id,size_ratio,simulation_number,particle_count,small_particle_count,training_snapshot_count,validation_snapshot_count,rank,xz_training_energy_percent
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,0,0.0
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,8,96.03476167206948
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,14,99.12363981552252
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,27,99.9425113661597
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,100,100.00000000000004
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,0,0.0
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,8,95.86445377957484
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,14,99.09916359922592
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,27,99.94169164799808
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,100,99.99999999999996
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,0,0.0
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,8,95.74148849196467
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,14,99.10770408924384
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,27,99.94419137835108
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,100,100.00000000000011
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,0,0.0
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,8,95.54170992811493
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,14,99.10891019455562
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,27,99.94493528113496
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,100,99.99999999999991
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,0,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,8,95.45254600571398
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,14,99.12521871077058
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,27,99.94748530487476
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,100,99.99999999999996
